رقم,اسم_المدرسة,المنطقة_التربوية,نوع_التعليم,طبيعة,جنس_الطلاب,العنوان,الهاتف,المالك,اللغة_الأجنبية
714,لقمان الرسمية المختمطة,طرابلس المدينة,رسمي,رسمي,مختلطة,الممولة - شارع المواء فؤاد شياب مختمطة,,,
024,سميمان البستاني المتوسطة الرسمية لمبنات,طرابلس المدينة,رسمي,رسمي,,القبة - شارع االميركان لمبنات,18048360,خاص,فرنسية+فرنسية
224,القبة الرسمية لمبنات,طرابلس المدينة,رسمي,رسمي,,القبة - شارع الحاووظ لمبنات,,,
324,ابن رشد الرسمية لمبنات,طرابلس المدينة,رسمي,رسمي,,القبة - البقار - شارع حارة لطيفة لمبنات 3,84658360,خاص,فرنسية+فرنسية
424,روضة ضير المغر الرسمية,طرابلس المدينة,رسمي,رسمي,مختلطة,القبة - شارع الحاووظ مختمطة,57309360,خاص,
524,الضياء الرسمية لمبنات,طرابلس المدينة,رسمي,رسمي,,القبة - شارع الارىبات لمبنات 2 4,95468360,خاص,
724,سميمان البستاني الرسمية لمبنين,طرابلس المدينة,رسمي,رسمي,مختلطة,القبة - شارع الزيتون مختمطة,,,
034,روضة القبة الرسمية,طرابلس المدينة,رسمي,رسمي,مختلطة,القبة - شارع ابن سينا مختمطة,87868360,خاص,فرنسية+فرنسية
234,ابن سينا الرسمية التكميمية لمصبيان,طرابلس المدينة,رسمي,رسمي,,القبة - شارع ابن سينا لمبنين,,,
844,ثانوية جورج صارف الرسمية,طرابلس المدينة,رسمي,رسمي,مختلطة,ابوسمار - جامعة المنار قرب الزىارء - شارع زيتون ابي سمارء مختمطة,00503460,الدولة,
7331,روضة لقمان الرسمية المختمطة,طرابلس المدينة,رسمي,رسمي,مختلطة,التبانة - سوق الخضرة - شارع التبانة مختمطة 3,05058360,خاص,فرنسية+فرنسية
8331,مجمع روضة بعل محسن الرسمية المختمطة,طرابلس المدينة,رسمي,رسمي,مختلطة,القبة - بعل محسن العالي مختمطة,82848360,خاص,
3731,روضو التبانة الثانية الرسمية,طرابلس المدينة,رسمي,رسمي,مختلطة,التبانة - شارع دنيا االطفال مستديرة دوار ابو عمي مختمطة 3 1,66509360,الدولة,
4731,تكميمية المربي سميح مولوي المختمطة,طرابلس المدينة,رسمي,رسمي,مختلطة,ابوسمار - حي النزىة مختمطة,,,
6731,روضة النشىء الجديد,طرابلس المدينة,رسمي,رسمي,مختلطة,التل والمدينة الوسطى - التل مختمطة,60432460,خاص,فرنسية+فرنسية
8731,حي النزىة الرسمية المختمطة,طرابلس المدينة,رسمي,رسمي,مختلطة,ابوسمار - النزىة - شارع ابي سمارء مختمطة,,,
2931,متوسطة التبانة الرسمية المختمطة,طرابلس المدينة,رسمي,رسمي,مختلطة,التبانة - شارع دوار أبو عمي مختمطة,,,
8931,القبة الرسمية المتوسطة لمبنات,طرابلس المدينة,رسمي,رسمي,,القبة - شارع خمف مدرسة الارىبات لمبنات 2 5,91878360,خاص,فرنسية+فرنسية
6541,بعل محسن الرسمية المختمطة,طرابلس المدينة,رسمي,رسمي,مختلطة,,,,
8841,ناتالي عاازر الرسمية لمبنات,طرابلس المدينة,رسمي,رسمي,,الميناء - شارع فرح انطون لمبنات 4 3,18260260,خاص,
2451,القبة الجديدة الرسمية المختمطة,طرابلس المدينة,رسمي,رسمي,مختلطة,القبة - الشعارني - شارع الميجرين مختمطة,00848360,الدولة,فرنسية+فرنسية
5551,ثانوية القبو الجديده الرسمية المختمطة,طرابلس المدينة,رسمي,رسمي,مختلطة,القبة - جامع قبة النصر - شارع البقار مختمطة,,,
7061,مي االولى الرسمية لمبنات,طرابلس المدينة,رسمي,رسمي,,طاربمس (م) - التل - شارع محمد كارني-البمدية لمبنات,48123460,الدولة,فرنسية+فرنسية
9261,مدرسة الازىرية التبانة الرسمية لمبنات,طرابلس المدينة,رسمي,رسمي,,,,,
1361,ثانوية عدنان الجسر الرسمية المختمطة,طرابلس المدينة,رسمي,رسمي,مختلطة,,52187030,,فرنسية+إنكليزية
4361,روضة الميناء المختمطة الرسمية,طرابلس المدينة,رسمي,رسمي,مختلطة,,10050260,الدولة,
144,البداوي الرسمية لمبنات,طرابلس الضواحي,رسمي,رسمي,,,,,
344,روضة البداوي الرسمية المختمطة االولى,طرابلس الضواحي,رسمي,رسمي,مختلطة,البداوي - شارع العام مختمطة,76978360,,فرنسية+فرنسية
544,القممون الرسمية لمبنات,طرابلس الضواحي,رسمي,رسمي,,القممون - شارع الحي الداخمي مقابل الجامع البحري لمبنات,,,
744,روضة القممون الرسمية,طرابلس الضواحي,رسمي,رسمي,مختلطة,القممون - طريق البممند - شارع طريق البممند-التجمع التربوي مختمطة,34800460,الدولة,
3041,وادي النحمة الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,وادي النحمة - شارع المسجد مختمطة 4 2,,,
9141,البداوي االبتدائية الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,البداوي - البدواي - شارع الجبل مختمطة,56609360,خاص,
0241,ثانوية البداوي الرسمية,طرابلس الضواحي,رسمي,رسمي,مختلطة,البداوي - الجبل - شارع الشييد رشيد كارمي مختمطة 6 51,99958360,خاص,
0251,روضة البداوي الثانية الرسمية,طرابلس الضواحي,رسمي,رسمي,مختلطة,البداوي - وادي النحمة - شارع العام مختمطة,55388360,الدولة,فرنسية+فرنسية
434,ثانوية المنيو الرسميو,طرابلس الضواحي,رسمي,رسمي,مختلطة,المنية - الحكر - شارع الطريق القديم مختمطة,,,
734,روضة المنية الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,المنية مقالع - شارع الكنيسة القديمة مختمطة,44616460,خاص,فرنسية+فرنسية
934,المنية ببلط الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,المنية ببلط - شارع الببلط مختمطة,,,
944,النبي يوشع الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,النبي يوشع - شارع العام مختمطة,,,
054,مركبتا الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,,,,
154,عدوة الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,,,,
254,النبي كزيبر الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,النبي كزبير - شارع العام مختمطة 51 4,,,
354,بحنين الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,بحنين - شارع العام مختمطة,,,
554,دير عمار الرسمية لمبنات,طرابلس الضواحي,رسمي,رسمي,,دير عمار - البيادر - شارع العام لمبنات,,,
954,تكميمية بخعون الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,بخعون - شارع مسجد العين مختمطة,,,
164,ثانوية بخعون الرسمية,طرابلس الضواحي,رسمي,رسمي,مختلطة,بخعون - الجورة - شارع العام مختمطة,,,
264,حقميت الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,حقميت - شارع العام مختمطة 4 6,,,
364,حرف السياد الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,حرف السياد - شارع ساحة البمدة مختمطة,,,
464,مدرسة المطل الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,الواطية - المطل - شارع العام مختمطة 2 1,,,
664,حقل العزيمة الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,حقل العزيمة - الطريق العام - شارع العام مختمطة,,,
964,حرف بيت زود الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,حرف بيت زود - شارع العام مختمطة,,,
174,ثانوية سير الضنية الرسمية - فرع كفرحبو,طرابلس الضواحي,رسمي,رسمي,مختلطة,,53205260,خاص,فرنسية+فرنسية
374,ابن الييثم الرسمية المتوسطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,السفيرة - ابن الييثم - شارع العام مختمطة,,,
474,السفيرة المتوسطة الرسمية,طرابلس الضواحي,رسمي,رسمي,مختلطة,السفيرة - شارع العام مختمطة 4 3,,,
674,بيت الفقس الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,بيت الفقس - شارع العام مختمطة,,,
774,ثانوية بيت الفقس الرسمية,طرابلس الضواحي,رسمي,رسمي,مختلطة,بيت الفقس - شارع العام مختمطة 1 12,,,
974,عين التينة المختمطة الرسمية,طرابلس الضواحي,رسمي,رسمي,مختلطة,عين التينة - شارع العام مختمطة,,,
184,نمرين الرسميو المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,نمرين - الببلنو مختمطة,,,
484,حواره الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,حوارة - المسجد مختمطة,,,
784,قرحيا الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,قرحيا - شارع العام مختمطة,,,
884,جيرون الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,جيرون - المسجد مختمطة 4,,,
984,القمامين المختمطة الرسمية,طرابلس الضواحي,رسمي,رسمي,مختلطة,القمامين - العين - شارع العام مختمطة,,,
094,ثانوية سير الضنية الرسمية,طرابلس الضواحي,رسمي,رسمي,مختلطة,سير الضنية - أول مدخل بمدة سير - شارع العام مختمطة 6 9,70309460,الدولة,
194,تكميمية سير الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,سير الضنية - أول طمعة السقي مختمطة,,,
494,مدرسة روضة فتحية فتفت الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,سير الضنية - المقاىي - شارع سير - الطريق العام مختمطة,03809460,الدولة,فرنسية+فرنسية
694,بقرصونا االولى الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,بقرصونا - شارع بيت شوك مختمطة,,,
894,عاصون الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,عاصون - الكنيسة - شارع الطريق لعام مختمطة,,,
994,ايازل الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,ايازل - الطريق العام - شارع العام مختمطة 2,,,
005,القطين الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,القطين - الشميس - شارع العام مختمطة,,,
105,طاارن الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,طاارن - الطريق العام بطرماز مختمطة 6 4,,,
205,بطرماز الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,بطرماز - الجنوبي - شارع العام مختمطة,,,
705,تكميمية حرف بيت حسنة المختمطة الرسمية,طرابلس الضواحي,رسمي,رسمي,مختلطة,حرف بيت حسنا - الجامع - شارع العام مختمطة,,,
6331,المنية الرسمية المختمطة - انكميزي,طرابلس الضواحي,رسمي,رسمي,مختلطة,المنية - الببلط - شارع عين البيضا مختمطة,,,
3831,مدرسة وادي سري - عصيموت الرسميو,طرابلس الضواحي,رسمي,رسمي,مختلطة,عصيوت - وادي سري - شارع العام مختمطة,,,
4831,متوسطة قرصيتا الرسميو الثانية,طرابلس الضواحي,رسمي,رسمي,مختلطة,قرصيتا - ضير الشير- التمع - شارع عام مختمطة 4 2,,,
5831,الريحانية الرسمية المختمطة-المنيو,طرابلس الضواحي,رسمي,رسمي,مختلطة,الريحانية - شارع العام مختمطة,,,
2041,كفربيتا الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,كفربيتا - شارع بحنين مختمطة 4,,,
2251,ثانوية بيت الفقس - فرع قرصيتا,طرابلس الضواحي,رسمي,رسمي,مختلطة,قرصيتا - الجسر - شارع قرصيتا العام مختمطة,04206260,خاص,فرنسية+فرنسية
5451,ثانوية مارح السارج,طرابلس الضواحي,رسمي,رسمي,مختلطة,مارح السارج - شارع العام مختمطة,05204260,خاص,فرنسية+فرنسية
8451,ثانوية طاارن الرسمية,طرابلس الضواحي,رسمي,رسمي,مختلطة,طاارن - حجر الصيوان - شارع الثانوية مختمطة,05409460,خاص,فرنسية+فرنسية
6851,ثانوية الشييد الارئد وسام عيد الرسمية,طرابلس الضواحي,رسمي,رسمي,مختلطة,دير عمار - البواب دير عمار - شارع البواب مختمطة,77846460,الدولة,
0061,دبعل الغربية الرسمية المختمطة,طرابلس الضواحي,رسمي,رسمي,مختلطة,دبعل - دبعل الغربية - شارع العام - الشرفة مختمطة 1,,,
4261,ثانوية سير الضنية الرسمية - فرع ايازل,طرابلس الضواحي,رسمي,رسمي,مختلطة,ايازل - شارع العام مختمطة,47071017,خاص,
5261,ثانوية المنية الرسمية - فرع االنكميزي,طرابلس الضواحي,رسمي,رسمي,مختلطة,المنية - الشمبة قرب مستشفى الحكومي مختمطة 3 5,39116460,الدولة,
905,رفيق الحريري الرسمية المختمطة - تل عباس الغربي,عكار,رسمي,رسمي,مختلطة,,,,
315,الشيخ عياش الرسمية,عكار,رسمي,رسمي,مختلطة,الشيخ عياش - عبودية الشيخ عياش - شارع العام مختمطة,,,
515,تمبيرة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
715,الحيصا المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,حيصا - شارع طريق طاربمس - حمص مختمطة,,,
815,رفيق الحريري الرسمية - تممعيان,عكار,رسمي,رسمي,مختلطة,تل معيان تل كرى - تممعيان - شارع جانب المسجد القديم مختمطة 4,,,
915,القميعات الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
025,الشيخ زناد الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,شيخ زناد - شارع العام مختمطة 1 1,,,
125,جوزف دوناتو الرسمية المختمطة - تمبيبو,عكار,رسمي,رسمي,مختلطة,تل بيبي - شارع العام مختمطة,,,
325,العريضة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,العريضة - شارع الطريق العام مختمطة,,,
525,مدرسة المربي سميمان عزيز العمي الرسمية - حكر الضاىري,عكار,رسمي,رسمي,مختلطة,حكر الضاىري - شارع العام مختمطة,,,
725,حكر الحوشب الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
825,حمبا الرسميو المختمطة,عكار,رسمي,رسمي,مختلطة,حمبا - شارع طريق عام حمبا القيبات مختمطة 4 02,,,
035,ثانوية حمبا الرسمية,عكار,رسمي,رسمي,مختلطة,حمبا - شارع الطريق العام مختمطة,12929660,خاص,
135,روضة حمبا الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,حمبا - السوق - شارع المدارس مختمطة 6 1,06509660,الدولة,
235,عدبل الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
535,كروم عرب الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,كروم العرب - الزوق مختمطة,,,
735,بيت الحاج كوشا الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,كوشا - الجامع - شارع الجامع مختمطة,,,
935,جديدة الجومة التكميمية الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
145,مدرسة الدكتور يعقوب الصارف الرسمية,عكار,رسمي,رسمي,مختلطة,منيارة - شارع العام مختمطة 6 32,,,
245,منيارة الرسمية لمبنات,عكار,رسمي,رسمي,,منيارة - شارع الشرقي لمبنات,,,
345,ثانوية منيارة الرسمية,عكار,رسمي,رسمي,مختلطة,,81309660,الدولة,
645,الحاكور الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,الحاكور - شارع التمة مختمطة,,,
845,المباركية المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,,,,
155,ذوق الحبالصة المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,ذوق الحبالصة - شارع الشارع العام مختمطة,,,
455,ثانوية الشييد رفيق الحريري الرسمية - ببنين عكار,عكار,رسمي,رسمي,مختلطة,ببنين - ضيررّيا - شارع الطريق العام مختمطة,17707460,الدولة,
555,مدرسة المربي محمد خير الدين الرفاعي الرسمية-ببنين,عكار,رسمي,رسمي,,ببنين - الجواىرة (ريا) - شارع الداخمي لمبنين 5 7,,,
655,ببنين الرسمية لمبنات,عكار,رسمي,رسمي,,ببنين - المزارب - شارع العام لمبنات,44907460,خاص,
755,روضة ببنين الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,ببنين - كرم المزارب - شارع مفرق وادي الجاموس مختمطة 4,64507460,خاص,
855,المربي جورج نجيب فرح المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,العبدة - السيدة - شارع العام مختمطة,,,
065,قبة شمار الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
265,القرقف المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,قرقف - شارع العام مختمطة,,,
465,رفيق الحريري الرسمية - برقايل,عكار,رسمي,رسمي,مختلطة,برقايل - الكروم - شارع المدارس مختمطة,,,
565,ثانوية برقايل الرسمية,عكار,رسمي,رسمي,,برقايل - شارع العام لمبنين 8 72,,,
665,بازل المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,بازل - شارع العام مختمطة,,,
765,سفينة القيطع الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,سفينة القيطع - الجسر - شارع الجسر مختمطة 4 3,,,
865,حبشيت الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
075,عرب المفرق المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,برج العرب - حي الري - شارع العام مختمطة,,,
275,تكميمية الفاضل الرسمية - رماح,عكار,رسمي,رسمي,مختلطة,,,,
775,الكواشرة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,كواشرة - الشرقي - شارع الحي الشرقي مختمطة,,,
975,عمار البيكات الرسميةالمختمطة,عكار,رسمي,رسمي,مختلطة,عمار البيكات - الكرم - شارع العام مختمطة 2 1,,,
085,مدرسة قشمق الرسمية,عكار,رسمي,رسمي,مختلطة,قشمق - شارع العام مختمطة,,,
185,وادي الحور الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
385,التميل الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,التميل - شارع الطريق القديم مختمطة,,,
585,خربة شار الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
985,البيرة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,البيرة - شارع الطريق العام مختمطة,,,
195,مزرعة بمدة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
395,السويسة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,السويسة - 0 - شارع العام مختمطة 3,,,
495,رحبة الرسمية لمصبيان,عكار,رسمي,رسمي,مختلطة,رحبة - شارع الضيعة مختمطة,,,
595,رحبة الرسمية لمبنات,عكار,رسمي,رسمي,مختلطة,رحبة - الشريفة مختمطة 4 1,,,
695,ثانوية رحبة الرسمية,عكار,رسمي,رسمي,مختلطة,,20609860,الدولة,فرنسية+فرنسية
895,مدرسة ايبلت الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,ايبلت - المدرسة - شارع العام مختمطة,,,
006,حيزوق المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,حيزوق - شارع عام مختمطة,,,
306,ثانوية العيون الرسمية,عكار,رسمي,رسمي,مختلطة,العيون - شارع العام مختمطة,45206360,خاص,
806,بزبينا الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,بزبينا - شارع العام مختمطة 2 5,,,
906,تجمع صفوف الروضة الرسمية بزبينا,عكار,رسمي,رسمي,مختلطة,بزبينا - شارع الطريق العام مختمطة,92040917,الدولة,
016,عين يعقوب الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,عين يعقوب - شارع الطريق العام مختمطة 2 4,,,
216,البرج الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,البرج - الميدان - شارع العام مختمطة,,,
416,قوس عكار الرسمية المختمطو,عكار,رسمي,رسمي,مختلطة,عكار العتيقة - قوس عكار - شارع العام مختمطة,,,
616,ثانوية عكار العتيقة الرسمية,عكار,رسمي,رسمي,مختلطة,,11770507,,فرنسية+فرنسية
816,مشمش الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,مشمش - ضير الزيتونة - شارع العام مختمطة,,,
916,وطى مشمش الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,مشمش - وطى مشمش - شارع حي بدرة مختمطة 3 1,,,
026,فنيدق المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,فنيدق - شارع العام مختمطة,,,
126,تكميمية فنيدق المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,فنيدق - شارع المدارس مختمطة 51 4,,,
226,فنيدق الغربية المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,فنيدق - شارع الغربية مختمطة,,,
526,القرنة المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,قرنة - شارع العام مختمطة,,,
826,بيت يونس المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,بيت يونس - شارع حي الجامع مختمطة,,,
036,الزعرورة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,الزعرورة - شارع بيت كساب مختمطة,,,
136,عيون السمك الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,عيون السمك - الطريق العام - شارع الرئيسي مختمطة 1 3,,,
236,خربة الجرد الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
336,شان الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,شان - الطنان - شارع العام مختمطة 3,,,
436,الحويش الرسميةالمختمطة,عكار,رسمي,رسمي,مختلطة,حويش - شارع العام مختمطة,,,
636,القبيات الذوق الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
046,مدرسة السنديانة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
546,المونسة الرسمية,عكار,رسمي,رسمي,مختلطة,المونسة - الشرقي - شارع الجامع مختمطة,,,
846,مشتى حسن المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,مشتى حسن - شارع الطريق العام مختمطة 4 7,,,
946,ثانوية مشتى حسن الرسمية,عكار,رسمي,رسمي,مختلطة,مشتى حسن - شارع العام مختمطة,82206860,,
056,المربي مزيد الدندشمي - مشتى حمود المختمطة الرسمية,عكار,رسمي,رسمي,مختلطة,مشتى حمود - شارع العام مختمطة 4 6,,,
156,المقيبمة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
456,قرحة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,قرحة - شارع العام مختمطة,,,
656,مدرسة رفيق الحريري الرسمية المختمطة - رجم حسين -عكار,عكار,رسمي,رسمي,مختلطة,,,,
166,رجم عيسى الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,وادي خالد - قيطبو مختمطة,,,
266,الييشة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,الييشة - شارع شارع البمدية مختمطة 5,,,
366,ثانوية الييشة الرسمية,عكار,رسمي,رسمي,مختلطة,,15007860,خاص,
2331,الكفرون الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,قبعيت - الكفرون - شارع العام مختمطة 2 1,,,
4331,تكميمة الحويش الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,حويش - نوح مختمطة,,,
6831,رجم خمف الكمخة الرسمية,عكار,رسمي,رسمي,مختلطة,وادي خالد - رجم خمف - شارع الكمخة مختمطة,,,
8831,مدرسة حنيدر الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,حنيدر - شارع العام مختمطة,,,
0931,ثانوية حارر الرسمية,عكار,رسمي,رسمي,مختلطة,حارر - البيادر - شارع الطريق العام مختمطة,13056860,خاص,
8041,ابارىيم عبد اهلل تامر الرسمية الحميرة -عكار,عكار,رسمي,رسمي,مختلطة,,,,
9041,مدرسة تمحميره المتوسطة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
5341,ثانوية الحيصة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,حيصا - شارع الطريق العام مختمطة 6 72,,,
9341,روضو عين الذىب الرسمية (دنبو),عكار,رسمي,رسمي,مختلطة,دنبو (عين الذىب) - الساحة - شارع العام مختمطة,24190860,الدولة,فرنسية+فرنسية
0641,ثانوية بقرزال الرسمية,عكار,رسمي,رسمي,مختلطة,بقرزال - الساحة - شارع العام مختمطة,46250860,خاص,فرنسية+فرنسية
2641,ثانوية القبيات الرسمية لمبنات,عكار,رسمي,رسمي,مختلطة,القبيات - الحموف لمبنات,22125360,الدولة,فرنسية+فرنسية
9841,متوسطة عيات الرسمية,عكار,رسمي,رسمي,مختلطة,,,,
0941,ثانوية كفرتون الرسمية,عكار,رسمي,رسمي,مختلطة,كفرتون - شارع وادي الشعير مختمطة 7 61,81205860,خاص,فرنسية+فرنسية
1941,ثانوية وادي خالد الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,وادي خالد - 0 - شارع 0 مختمطة,21107860,خاص,
2941,الفرض الرسمية - وادي خالد,عكار,رسمي,رسمي,مختلطة,وادي خالد - الفرض - شارع العام مختمطة 3,,,
4941,تل الزارعة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,العبدة - الزارعة مختمطة,,,
9451,مدرسة بني صخر الرسمية االبتدائية,عكار,رسمي,رسمي,مختلطة,,,,
1551,نبع العواده الرسمية,عكار,رسمي,رسمي,مختلطة,العوادة - نبع العوادة - شارع العام مختمطة,,,
3551,مدرسة البقيعة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,البقيعة - البقعية - شارع العام مختمطة,,,
4551,متوسطة المقيطع الرسمية,عكار,رسمي,رسمي,مختلطة,مقيطع - البحر - شارع حي البحر مختمطة 1 1,,,
0751,ثانوية مشحا الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,مشحة - وسط القرية - شارع الطريق العام مختمطة,00249660,خاص,
2751,ثانوية الشييد وليد عيدو- البقيعة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,مشتى حمود - البقيعة - شارع العام مختمطة 6 9,10121107,خاص,
5751,ثانوية الشيخ عياش الرسمية,عكار,رسمي,رسمي,مختلطة,الشيخ عياش - شارع العام مختمطة,04451860,خاص,فرنسية+فرنسية
3851,المحمرة الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,,,,
5851,ثانوية الكواشرة الرسمية,عكار,رسمي,رسمي,مختلطة,كواشرة - الشرقي مختمطة,66213860,الدولة,فرنسية+فرنسية
4951,مدرسة الشييد رفيق الحريري المتوسطة المختمطة -القرقف,عكار,رسمي,رسمي,مختلطة,قرقف - القرقف - شارع وادي الحور مختمطة,,,
7951,بارعم المستقبل الرسمية,عكار,رسمي,رسمي,مختلطة,وادي خالد - المحطة - شارع العام مختمطة 4,,,
2061,ثانوية بيية الحريري الرسمية لمبنات,عكار,رسمي,رسمي,,وادي خالد - المحطة - شارع العام لمبنات,88407860,خاص,
4061,عين الذىب الرسمية المختمطة,عكار,رسمي,رسمي,مختلطة,دنبو (عين الذىب) - عين الذىب مختمطة 3,,,
8061,ثانوية حارر الرسمية فرع قبعيت,عكار,رسمي,رسمي,مختلطة,قبعيت - شارع العام مختمطة,47943207,خاص,
2161,ثانوية برقايل الرسمية لمبنات,عكار,رسمي,رسمي,,برقايل - األمندي - شارع رفيق الحريري لمبنات,,,
7161,ثانوية وادي خالد-فرع الوعر,عكار,رسمي,رسمي,مختلطة,وادي خالد - الوعر - شارع العامرية مختمطة,66253907,خاص,فرنسية+فرنسية
2261,ثانوية فنيدق الرسمية-فرع القرنة,عكار,رسمي,رسمي,مختلطة,قرنة - رمل مختمطة,75959860,خاص,
3261,مدرسة الحصنية الرسمية,عكار,رسمي,رسمي,مختلطة,زوق الحصنية - ضير عياص مختمطة 5,,,
6261,ثانوية برقايل الرسمية - فرع القرقف,عكار,رسمي,رسمي,مختلطة,قرقف - وادي الحور - شارع وادي الحور مختمطة,61607360,,
8261,وادي خالد الرسمية - الفرع االنكميزي,عكار,رسمي,رسمي,مختلطة,,,,
