code_ecole,nom_ecole,nature,autorite,niveau,genre,region,gouvernorat,liwa,qada,adresse,type_zone,periode,directorate,code_directorate
110263,ام السماق الجنوبي الثانوية للبنات,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,ام السماق - الحي:اسكان السلطة - الشارع:شارع اسكان السلطه الرئيسي,مدينة,فترة واحدة,ناعور,1109
110264,ام البرك الاساسيه المختلطه,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء ام البساتين,ام البرك - الحي:ام البرك - الشارع:ام البرك,قرية,فترة واحدة,ناعور,1109
110265,الدبه الثانويه المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,ابو السوس - الحي:ابو السوس - الشارع:_____,قرية,فترة واحدة,لواء وادي السير ,1108
110266,عراق الامير الثانوية المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,عراق الامير - الحي: - الشارع:,قرية,فترة واحدة,لواء وادي السير ,1108
110267,الفقهاء الثانويه بنات,publique,وزارة التربية و التعليم,المرحلة الثانوية,اناث,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,البصة - الحي:ام الخنازير - الشارع:شارع المدرسة,قرية,فترة واحدة,لواء وادي السير ,1108
110268,زبود الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,زبود -شارع المدارس,قرية,فترة واحدة,ناعور,1109
110269,الروضة الثانوية للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء حسبان,الروضة - الحي:الزقيبة - الشارع:البريد,مدينة,فترة واحدة,ناعور,1109
110270,البراء بن مالك الثانويه بنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,ام السماق - الحي:أم السماق الجنوبي - الشارع:,مدينة,فترة واحدة,ناعور,1109
110271,ام البساتين الثانوية للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء ام البساتين,ام البساتين - الحي:الشرقي - الشارع:الرئيسي,مدينة,فترة واحدة,ناعور,1109
110272,المنصورة الثانوية للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,المنصورة - الحي:الغربي - الشارع:غير مسمى,قرية,فترة واحدة,ناعور,1109
