source,nom,nom_en,longitude,latitude,ville,province,district,telephone,giga_id,niveau
Giga,Trường THPT Công Nghiệp,Trường THPT Công Nghiệp,105.34504699707031,20.819259643554688,,,,,1575880c-1c10-3bea-8555-1ee12020ff09,Unknown
Giga,Trường THPT Công nghiệp Việt Trì,Trường THPT Công nghiệp Việt Trì,105.41783905029297,21.309232711791992,,,,,b5dbb076-9ebd-3c7e-9de3-4ccebb24a281,Unknown
Giga,Trường THPT Cô Tô,Trường THPT Cô Tô,107.75949096679688,20.981409072875977,,,,,a32a43f2-64f5-3e9a-974a-ce24748e709f,Unknown
Giga,Trường THPT C Phủ Lý,Trường THPT C Phủ Lý,105.95398712158203,20.582300186157227,,,,,2405a8b8-2c1f-3121-93c1-598baccb3859,Unknown
Giga,Trường THPT C Thanh Liêm,Trường THPT C Thanh Liêm,105.89848327636719,20.47870445251465,,,,,19a2904c-f227-3ffe-9599-71ba5f2e0ba0,Unknown
Giga,Trường THPT Cửa Lò,Trường THPT Cửa Lò,105.72711944580078,18.792957305908203,,,,,af5e20cf-b033-3f2d-9c5f-2aa92567bf8e,Unknown
Giga,Trường THPT Cửa Lò 2,Trường THPT Cửa Lò 2,105.7205581665039,18.802135467529297,,,,,32d35be4-d943-3199-a29e-f9bdf8323364,Unknown
Giga,Trường THPT Củ Chi,Trường THPT Củ Chi,106.49018096923828,10.971810340881348,,,,,798fc6da-0012-3190-b224-bca17ce64293,Unknown
Giga,Trường THPT Cù Chính Lan,Trường THPT Cù Chính Lan,105.6601333618164,20.670793533325195,,,,,6d645fa7-a163-3bee-a4d2-849655016bb8,Unknown
Giga,Trường THPT Đà Bắc,Trường THPT Đà Bắc,105.26073455810547,20.877771377563477,,,,,04f638c5-2a62-3b50-bf95-4054d9c2acd0,Unknown
Giga,Trường THPT Đạ Huoai,Trường THPT Đạ Huoai,107.53211975097656,11.385988235473633,,,,,8ec437fa-839a-343a-9390-5fafb949eee8,Unknown
Giga,Trường THPT Đại Đồng,Trường THPT Đại Đồng,105.51447296142578,20.421743392944336,,,,,20e85583-e50b-3275-8d1d-492304cf8146,Unknown
Giga,Trường THPT Đại Mỗ,Trường THPT Đại Mỗ,105.75611114501953,21.00201988220215,,,,,a81ff314-7f98-3ad8-a7da-ad9c6b2814a7,Unknown
Giga,Trường THPT Đăk Glong,Trường THPT Đăk Glong,107.80752563476562,11.898513793945312,,,,,29b87632-5289-3c0b-8a9d-bf68a484ff6b,Unknown
Giga,Trường THPT Đầm Dơi,Trường THPT Đầm Dơi,105.19793701171875,8.9967622756958,,,,,5f33daf8-d333-3208-98d1-8409e8a67071,Unknown
Giga,Trường THPT Đặng Thai Mai,Trường THPT Đặng Thai Mai,105.85335540771484,21.3176212310791,,,,,576e40c2-8fc8-3799-8cf1-580fcb83f42e,Unknown
Giga,TrườngTHPT Đặng Thai Mai,TrườngTHPT Đặng Thai Mai,105.79610443115234,19.67333984375,,,,,306eaaad-fb00-388e-a8ca-7706423f9851,Unknown
Giga,Trường THPT Đặng Trần Côn,Trường THPT Đặng Trần Côn,107.57349395751953,16.463977813720703,,,,,a81c15ce-3091-39c9-a45b-eb06daade36f,Unknown
Giga,Trường THPT Dân Lập Trí Đức 1,Trường THPT Dân Lập Trí Đức 1,106.6115493774414,10.805879592895508,,,,,e9944dc0-1eb8-3c6d-92b7-1e2e04d381c8,Unknown
Giga,Trường THPT Dân tộc Nội trú Lào Cai,Trường THPT Dân tộc Nội trú Lào Cai,103.97509002685547,22.483020782470703,,,,,24cde211-5903-3773-a50d-f30d43bd4042,Unknown
Giga,Trường THPT Dân tộc nội trú Ninh Thuận,Trường THPT Dân tộc nội trú Ninh Thuận,108.99034118652344,11.578296661376953,,,,,5d4a49e8-4cbb-3261-aa8c-7c4202419339,Unknown
Giga,Trường THPT Dân tộc Nội trú N'Trang Lơng,Trường THPT Dân tộc Nội trú N'Trang Lơng,107.69883728027344,11.992380142211914,,,,,e31af59f-5a8f-356c-aaf5-b2db2e7a3997,Unknown
Giga,Trường THPT Dân tộc Nội trú tỉnh Bình Phước,Trường THPT Dân tộc Nội trú tỉnh Bình Phước,106.87667846679688,11.529298782348633,,,,,68444d96-ed3d-3030-ae0c-aeb460141981,Unknown
Giga,Trường THPT Dân tộc nội trú tỉnh Lạng Sơn,Trường THPT Dân tộc nội trú tỉnh Lạng Sơn,106.77251434326172,21.845333099365234,,,,,97cddbef-5866-3148-be57-90b37acef5c2,Unknown
Giga,Trường THPT Dân tộc nội trú tỉnh Thanh Hoá,Trường THPT Dân tộc nội trú tỉnh Thanh Hoá,105.79546356201172,19.791627883911133,,,,,6cee3d56-d67f-3ef6-9f06-5e9cd86a66f8,Unknown
Giga,Trường THPT Đào Duy Từ,Trường THPT Đào Duy Từ,106.62335968017578,17.47222328186035,,,,,f360b69f-8a81-3001-9880-c56f52b7dc72,Unknown
Giga,Trường THPT Đào Duy Từ,Trường THPT Đào Duy Từ,106.62353515625,17.47175407409668,,,,,3a8c6929-5bfa-340c-b8d8-dc30b9feefc3,Unknown
Giga,Trường THPT Đào Sơn Tây,Trường THPT Đào Sơn Tây,106.77302551269531,10.877959251403809,,,,,fb2e92f2-f9de-38bf-9e24-72f6830ffc2c,Unknown
Giga,Trường THPT Đa Phúc,Trường THPT Đa Phúc,105.85076141357422,21.257902145385742,,,,,5aff8b00-a2c8-3f93-b4f7-f57d771219ef,Unknown
Giga,Trường THPT Đa Phước,Trường THPT Đa Phước,106.64839935302734,10.669055938720703,,,,,3ee1b25d-0568-3158-944d-f67dfb147dc7,Unknown
