id,الاسم,الاسم_بالانجليزي,نوع_الملكية,المرحلة_الدراسية,نوع_المنشأة,المحافظة,القضاء,الناحية,adm4,المدينة,العنوان,خط_الطول,خط_العرض,adm0_pcode,adm1_pcode,adm2_pcode,adm3_pcode,adm4_pcode,المصدر
way/1151927180,ثانوية ميناخان,Mina Khan Preparatory School,غير محددة,ثانوية,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.399426, 35.4979658], [44.3995774, 35.4975768], [44.4004535, 35.4977718], [44.4003142, 35.4981793], [44.399426, 35.4979658]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
relation/11741273,,,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,كركوك,,"[[44.4003763, 35.4979296], [44.399908, 35.4978184], [44.399878, 35.4979021], [44.4000493, 35.4979428], [44.4000398, 35.4979691], [44.399802, 35.4979126], [44.3997697, 35.4980026], [44.4003046, 35.4981296], [44.4003763, 35.4979296]]","[[44.4002763, 35.4979865], [44.4002576, 35.4980367], [44.4001552, 35.4980115], [44.4001739, 35.4979612], [44.4002763, 35.4979865]]",IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1363864979,مدرسة اسوس,Assos School,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.3966652, 35.4947536], [44.3964637, 35.4947432], [44.3962586, 35.4948636], [44.3961573, 35.4948873], [44.3958891, 35.4948649], [44.3959556, 35.4944262], [44.3966838, 35.4944795], [44.3966652, 35.4947536]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
node/12960105335,مدرسة سكرمة,Sagrma School,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,44.4100678,35.496105,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
node/12960105336,sagram high school,Sagram High School,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,44.4141908,35.4994882,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1244628326,خوێندنگەی سەرەتایی گردی نەورۆز - قانع,Grdi Newroz-Qani' Primary School,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.4117656, 35.4842633], [44.4110536, 35.4842185], [44.4111638, 35.4835215], [44.4114492, 35.4835449], [44.4119338, 35.4835846], [44.4118668, 35.4838548], [44.4117656, 35.4842633]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1246283809,خوێندنگەی دەروازە,Darwaza School,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.41288, 35.4756876], [44.4134722, 35.4757732], [44.4140773, 35.4750288], [44.4130323, 35.4748838], [44.41288, 35.4756876]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1246088362,اعدادية 11 اذار,11 Azar Preparatory School,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.4092804, 35.4776786], [44.4092601, 35.4774909], [44.4091717, 35.4772958], [44.409103, 35.4771442], [44.4090473, 35.4770214], [44.4091137, 35.4767183], [44.4097548, 35.4767925], [44.4095545, 35.4777079], [44.4092804, 35.4776786]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1246088365,خوێندنگەی سەرەتایی ئازادی,azadi primary school,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.4103924, 35.4778301], [44.4096208, 35.4777206], [44.4097369, 35.4771995], [44.4104915, 35.4773044], [44.4103924, 35.4778301]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1246283810,,,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.4102202, 35.4756613], [44.4102681, 35.4756885], [44.4102764, 35.4756926], [44.4102852, 35.4756957], [44.4102926, 35.4756966], [44.4103, 35.4756965], [44.4103073, 35.4756956], [44.4103147, 35.4756937], [44.4103218, 35.4756903], [44.4103279, 35.4756866], [44.4103319, 35.4756834], [44.4103355, 35.4756795], [44.4103428, 35.4756705], [44.4103467, 35.4756617], [44.4103509, 35.4756489], [44.4104581, 35.4749693], [44.409953, 35.4749003], [44.4098264, 35.4755375], [44.4099631, 35.4755689], [44.4100785, 35.4756038], [44.4101524, 35.475631], [44.4102202, 35.4756613]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1246088363,متوسطة الاسكان للبنات,Iskan Secondary School For Girls,غير محددة,متوسطة,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.4098832, 35.4761693], [44.4092299, 35.4760954], [44.4091936, 35.4762898], [44.4091737, 35.4763968], [44.4091137, 35.4767183], [44.4097548, 35.4767925], [44.4098832, 35.4761693]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
