id,الاسم_بالعربية,الاسم_بالانجليزية,نوع_الملكية,المرحلة_الدراسية,نوع_المنشأة,المحافظة_AR,المنطقة_AR,الناحية_AR,المحافظة_EN,المنطقة_EN,الناحية_EN,adm0_pcode,adm1_pcode,adm2_pcode,adm3_pcode,adm4_pcode,المدينة,العنوان,خط_الطول,خط_العرض,المصدر
node/10060891840,مدرسة أحمد شوقي للبنات,مدرسة أحمد شوقي للبنات,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة أحمد شوقي للبنات, شارع الصنوبري, حي السليمانيه, Sheikh Kheder district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.171831,36.217745,
way/203546689,مدرسة أحمد شوقي للبنات,مدرسة أحمد شوقي للبنات,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة أحمد شوقي للبنات, شارع الصنوبري, حي السليمانيه, Sheikh Kheder district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.171904,36.21775,
way/203569191,عبد المطلب القد,,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"شارع غرناطة, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.166927,36.217088,
way/203569268,عبد المطلب القد,عبد المطلب القد,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"عبد المطلب القد, شارع غرناطة, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.167017,36.217122,
way/1149211363,مدرسة العدالة للبنات,مدرسة العدالة للبنات,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة العدالة للبنات, شارع غرناطة, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.16872,36.215085,
node/2156751956,مدرسة العدالة للبنات,مدرسة العدالة للبنات,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة العدالة للبنات, شارع غرناطة, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.16872,36.215069,
node/2158133548,ثانوية الحسن ابن الهيثم,ثانوية الحسن ابن الهيثم,غير محددة,ثانوية,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"ثانوية الحسن ابن الهيثم, Maysalun Street, Qarleq district, Sheikh Kheder district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.169196,36.214045,
way/203770040,مدرسة الحسن ابن الهيثم,ثانوية الحسن ابن الهيثم,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"ثانوية الحسن ابن الهيثم, Maysalun Street, Qarleq district, Sheikh Kheder district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.16901,36.214145,
node/2156751958,مدرسة الشرعية للبنات,مدرسة الشرعية للبنات,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة الشرعية للبنات, Maysalun Street, Qarleq district, Sheikh Kheder district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.169084,36.213053,
way/203546721,مدرسة محمد الشعار,دار الكتب الوطنية,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"دار الكتب الوطنية, نزلة الفرابي, Almaji district, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.165981,36.209975,
