CCT,NOMBRE,SECTOR,ESTADO,MUNICIPIO,LOCALIDAD,AMBITO,VIALIDAD,NUM_EXT,COLONIA,CP,LATITUD,LONGITUD
09DPR0849Z,JOSÉ AZUETA,PÚBLICO,CIUDAD DE MÉXICO,TLALPAN,TLALPAN,URBANO,AVENIDA FUENTES BROTANTES,36,JARDINES EN LA MONTAÑA,14210,19.289021,-99.175474
09DPR0850O,GUSTAVO PEDRO MAHR,PÚBLICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,CUAUHTÉMOC,URBANO,CALLE ZARAGOZA,231,BUENAVISTA,6350,19.449104,-99.147901
09DPR0851N,MACHTITEOPAN,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE XOCHITLÁN SUR,1,ARENAL 4A SECCIÓN,15640,19.428432,-99.057083
09DPR0855J,LIC. ALVARO GALVEZ Y FUENTES,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,AVENIDA RIO CHURUBUSCO ,1606,INPI PICOS,8760,19.386772,-99.100788
09DPR0858G,PROFR. ANGEL SALAS BONILLA,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,CAMINO VIEJO A ZAPOTITLA ,0,SANTA CRUZ MEYEHUALCO,9290,19.359,-99.0926
09DPR0860V,PROFR. LUIS ÁLVAREZ BARRET,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,CERRADA 1RA. DE GUADALUPE MAGAÑA,1,UNIDAD VICENTE GUERRERO,9200,19.357194,-99.059985
09DPR0861U,30 DE ABRIL,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,AVENIDA HIDALGO,1,SAN MIGUEL,9360,19.354339,-99.073625
09DPR0862T,VICENTE GUERRERO,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,CALLE SUPER MANZANA 4,1,UNIDAD VICENTE GUERRERO,9200,19.360483,-99.050659
09DPR0863S,DR. PEDRO DE ALBA,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,CALLE TOLTECAS,1,GRANJAS DE SAN ANTONIO,9070,19.359146,-99.104645
09DPR0864R,MADRE MEXICANA,PÚBLICO,CIUDAD DE MÉXICO,ÁLVARO OBREGÓN,ÁLVARO OBREGÓN,URBANO,CALLE RAFAEL CHECA,59,SANTA ROSA XOCHIAC,1830,19.327282,-99.284364
09DPR0865Q,RICARDO FLORES MAGON,PÚBLICO,CIUDAD DE MÉXICO,TLÁHUAC,TLÁHUAC,URBANO,AVENIDA TLAHUAC,1,LA CONCHITA ZAPOTITLÁN,13360,19.296001,-99.035649
09DPR0866P,RAMON MANTEROLA,PÚBLICO,CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,CUAJIMALPA DE MORELOS,URBANO,AVENIDA JUÁREZ,8,CUAJIMALPA,5000,19.35678,-99.298235
09DPR0867O,LIC. FELIPE RIVERA,PÚBLICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,CUAUHTÉMOC,URBANO,CALLE DR. IGNACIO MORONES PRIETO,89,DOCTORES,6720,19.407517,-99.148099
09DPR0868N,NETZAHUALCOYOTL,PÚBLICO,CIUDAD DE MÉXICO,COYOACÁN,COYOACÁN,URBANO,CALLE ZAPOTECAS,1,AJUSCO,4300,19.325589,-99.159349
09DPR0871A,JOSÉ VASCONCELOS,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,CALLE LIRIO,1,LOS ÁNGELES APANOAYA,9710,19.342413,-99.059478
09DPR0873Z,PROFRA. CARMEN DOMÍNGUEZ AGUIRRE,PÚBLICO,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,LA MAGDALENA CONTRERAS,URBANO,CALLE OLIN,37,BARROS SIERRA,10380,19.315788,-99.248178
09DPR0874Y,PROFRA. CARMEN DOMÍNGUEZ AGUIRRE,PÚBLICO,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,LA MAGDALENA CONTRERAS,URBANO,CALLE OLIN,37,BARROS SIERRA,10380,19.315788,-99.248178
09DPR0875X,GEORGES CUISENAIRE,PÚBLICO,CIUDAD DE MÉXICO,AZCAPOTZALCO,AZCAPOTZALCO,URBANO,PRIVADA ÁNGELES,1,SANTA BÁRBARA,2230,19.497209,-99.18237
09DPR0877V,LUIS PASTEUR,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,AVENIDA TEXCOCO,1,ERMITA ZARAGOZA,9180,19.371568,-98.999465
