nom_ar,nom_en,muhafaza_ar,muhafaza_en,wilaya_ar,wilaya_en,type
مدرسة أشبال الغد الخاصة,مدرسة أشبال الغد الخاصة,محافظة شمال الباطنة ,Al Batinah North,شـناص,Shinas,خاصة / Private
مدرسة رواد عمان الخاصة,مدرسة رواد عمان الخاصة,محافظة شمال الباطنة ,Al Batinah North,شـناص,Shinas,خاصة / Private
مدرسة أرض المكارم الخاصة ALMAKARIM LAND,ALMAKARIM LAND School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
المثابره للتعليم الاساسى الصفوف (1-4),ALmuthbrah,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
عبدالله بن عمرو بن العاص للتعليم الاساسى للبنين الصفوف (5-10),Abdullah bin Amru,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
عبدالله بن بشير الحضرمى للتعليم الاساسى للبنين الصفوف (5-9),Abdullah bin Basheer,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
ابو المنذر الرحيلى للتعليم الاساسى للبنين الصفوف (5-12),Abu Almonther,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
ابوحمزه الشـارى للتعليم الاساسى للبنين الصفوف (5-10),Abu Hamza Alshari,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
ابو مالك الصلانى للتعليم الاساسى للبنين الصفوف (5-10),Abu Maleek alsalani,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
مدرسة الغد الخاصة,Al Ghad Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة المواكب الخاصة,Al Mawakib Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة الموسوعة العلمية الخاصة,Al Mawsooa Al Elmeyya Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة المرشد الخاصة,Al Murshid Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة الطفل الخاصة,Al Tifil Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة الزهور الحمراء الخاصة,Al Zohoor Al Hamraa Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
العصماء بنت الحارث للتعليم الاساسى للبنات الصفوف (10-12),Al assmaa bint Alharith,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الحكمه للتعليم الاساسى الصفوف (1-4),Al hkmah,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
مدرسة المعراج الخاصة,Al-Maraj private school,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
"Al-Saada private Kindergarten School, Sohar, Oman","Al-Saada private Kindergarten School, Sohar, Oman",محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
العهد الزاهر للتعليم الاساسى الصفوف (1-4),Alahd alzahr,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الامام احمد بن سعيــد للتعليم الاساسى للبنين الصفوف (5-10),Alemam Ahmed bin Said,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الفتــــح للتعليم الاساسى الصفوف (1-9),Alfath,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
على بن ابى طالب للتعليم الاساسى للبنين الصفوف (5-9),Ali bin Abi Talib,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الكرامه للتعليم الاساسى الصفوف (1-4),Alkrama,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الرخاء للتعليم الاساسى الصفوف (1-4),Alraka,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الرساله للتعليم الاساسى الصفوف (1-9),Alrisala,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الصفـــا للتعليم الاساسى للبنات الصفوف (5-9),Alsafaa,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الشفاء بنت عبدالله للتعليم الاساسى للبنات الصفوف (5-9),Alshefaa,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الصويحره للتعليم الاساسى الصفوف (1-4),Alswuhra,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الطريـــف للتعليم الاساسى للبنات الصفوف (5-9),Altireef,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الزهور للتعليم الاساسى الصفوف (1-4),Alzahoor,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
انيسه بنت خبيب للتعليم الاساسى للبنات الصفوف (5-7),Anisaa Bint Khobib,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
عائشه بنت سعد بن ابى وقاص للتعليم الاساسى الصفوف (1-12),Aysha bint Abi Waqas,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
بهجة الأنظـار للتعليم الأساسي الصفوف (1-4),Bahjat Al Andaar,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
بلقيس للتعليم الاساسى للبنات الصفوف (8-10),Balqees,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
مدرسة ضمام بن السائب للتعليم الأساسي,Bin colligation School Saa'ib,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
ضمام بن السائــب للتعليم الاساسى الصفوف (5-12),Damam bin Alsaeb,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
ضرار بن الخطاب للتعليم الاساسى للبنين الصفوف (5-7),Dhirar bin Al-Khattab,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
فيض العلوم للتعليم الاساسى الصفوف (1-3),Fiagh Alaloom,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
حواء بنت يزيد للتعليم الأساسي للبنات الصفوف (10-12),Hawa bint Yazid,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
هند بنت المهلب للتعليم الاساسى للبنات الصفوف (4-10),Hind Bint Al Mohal'lab,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
المدرسة الهندية بصحار,Indian School Sohar,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة اشراقة صحار الخاصة,Ishraqat Sohar Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
خلفان بن جميل السيابى للتعليم الاساسى للبنين الصفوف (5-10),Khalfan bin Jumeel,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
Khwarizmi Private School,Khwarizmi Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
Knowledge Rays Private School,Knowledge Rays Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة أثير المعارف الخاصة,Knowledge Rays Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
لبنى بنت ثابت الانصاريه للتعليم الاساسى الصفوف (1-12),Lubna bint Thabet,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
محبوب بن الرحيل للتعليم الاساسى للبنين الصفوف (5-9),Mahbob bin alraheal,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
مالك بن هبيره للتعليم الاساسى للبنين الصفوف (5-7),Malik bin Hubira,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
مدرسة مناهل الخير الخاصة,Manahel Al Khair Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة مناهل صحار الخاصة,Manahil Sohar Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة مشاعل الفكر الخاصة,Mashael Alfikr Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مسعود بن رمضان للتعليم الاساسى للبنين الصفوف (10-12),Masood bin Ramadan,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
ماسة صحار للتعليم الاساسي الصفوف (1-4),Mast Suhar,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
محمد بن ابراهيم الكندى للتعليم الاساسى للبنين الصفوف (5-12),Mohammed bin Ibrahim,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
محمد بن محبوب الرحيلى للتعليم الاساسى للبنين الصفوف (5-9),Mohammed bin Mahboob,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
نعيم بن مسعود  للتعليم الاساسى للبنين الصفوف (10-12),Naeem bin Masood,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
مدرسة نور المناهل الخاصة,Noor Al Manahel Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة نجوم المستقبل الخاصة,Nujoom Al Mustaqbal Private School,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
رياض الإبداع للتعليم الاساسى الصفوف (1-4),Reyadh Alebdaa,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
سيف بن هبيــره للتعليم الاساسى للبنين الصفوف (8-10),Saif bin Hubira,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
شموخ المجد للتعليم الاساسي الصفوف (1-4),Shmokh Al Majd,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
شموع الوطن للتعليم الاساسى الصفوف (1-3),Shomooa Alwatan,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
صحار  للتعليم الاساسى للبنين الصفوف (10-12),Sohar,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
Sohar Beach private school,Sohar Beach private school,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
سليمان بن عبـاد للتعليم الاساسى للبنين الصفوف (8-10),Sulieman bin Abaad,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
تبوك للتعليم الاساسى للبنات الصفوف (5-12),Tabook,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
ام سلمـــه للتعليم الاساسى للبنات الصفوف (10-12),Um Salama,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
ام سليــم للتعليم الاساسى للبنات الصفوف (5-10),Um Saleem,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
وادى الحلتـى للتعليم الاساسى الصفوف (1-12),Wadi Alhalti,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
وادى الجـزى للتعليم الاساسى الصفوف (1-12),Wadi Aljizi,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
وادى حيبــى للتعليم الاساسى الصفوف (1-10),Wadi Hibi,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الاستقامــه للتعليم الاساسى الصفوف (1-12),alastqama,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الاشراق للتعليم الاساسى الصفوف (1-4),aleshraq,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
الهمبار للتعليم الاساسى الصفوف (1-4),alhmbar,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
رياض العلم للتعليم الاساسى الصفوف (1-4),reyad alealm,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
ام عماره للتعليم الاساسى للبنات الصفوف (4-9),um emara,محافظة شمال الباطنة,Al Batinah North,صــحار,,حكومية / Public
مدرسة أمجاد صحار الخاصة,مدرسة أمجاد صحار الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة أنوار المجد الخاصة,مدرسة أنوار المجد الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة إشراقة صحار الخاصة,مدرسة إشراقة صحار الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة الامل الخاصة,مدرسة الامل الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة البوابة الذهبية الخاصة,مدرسة البوابة الذهبية الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة الجدارة الخاصة,مدرسة الجدارة الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة روضة الفلج الخاصة,مدرسة روضة الفلج الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
Rawdat Al Falaj Private School - Al Tareef Branch,مدرسة روضة الفلج الخاصة ( فرع الطريف ),محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة فيض النور الخاصة,مدرسة فيض النور الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة منبع النور الخاصة للتعليم المبكر (تعليم القرآن الكريم),مدرسة منبع النور الخاصة للتعليم المبكر (تعليم القرآن الكريم),محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة واحة المعرفة الخاصة,مدرسة واحة المعرفة الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة واحة صحار الخاصة,مدرسة واحة صحار الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
مدرسة وحي الايمان الخاصة,مدرسة وحي الايمان الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحار,Sohar,خاصة / Private
الامام الشافعى للتعليم الاساسى للبنين الصفوف (9-12),AL Emam Alshafaee,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
عبدالرحمن بن عوف للتعليم الاساسى للبنين الصفوف (5-9),Abdualrhman bin Owf,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
عفراء بنت عبيد الانصاريه للتعليم الاساسى للبنات الصفوف (6-9),Afraa bint Obaid Alansariah,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
الحسين بن على للتعليم الاساسى للبنين الصفوف (8-10),Ahohsin bin Ali,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
مدرسة أجيال الباطنة الخاصة,Ajyal Al Batinah Private School,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
مدرسة أجيال العلم الخاصة للتعليم المبكّر (روضة),Ajyal Al Ilm Private School,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
مدرسة النماء الخاصة,Al Namaa Private School,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
الغيث للتعليم الاساسى الصفوف (1-4),Al ghaith,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
البلد الأمين للتعليم الأساسي الصفوف (1-4),Al-Balad Al-Amin,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
النور المبين للتعليم الأساسي الصفوف (1-4),Al-Noor Almoubin,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
الارقم بن ابى الارقم للتعليم الاساسى للبنين الصفوف (5-7),Alarqam bin Abi Alarqam,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
الضيـــاء للتعليم الاساسى للبنات الصفوف (5-9),Aldya,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
الابداع للتعليم الاساسى للبنين الصفوف (5-8),Alebdaa,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
الابتكار للتعليم الاساسى الصفوف (1-4),Alebtekar,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
الاخلاص للتعليم الاساسى الصفوف (1-4),Alekhlass,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
الاسراء للتعليم الاساسى الصفوف (1-4),Alesra,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
الخمائل للتعليم الاساسى للبنين الصفوف (5-7),Alkmail,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
اروى للتعليم الاساسى للبنات الصفوف (5-9),Arwa,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
عاتكه للتعليم الاساسى للبنات الصفوف (10-12),Atika,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
بلج بن عقبه الفراهيدى للتعليم الاساسى للبنين الصفوف (5-8),Balaj bin Oqbah Alfrahidi,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
مدرسة بناة المجد الخاصة,Bunaat Al Majd Private School,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
دقـــال للتعليم الاساسى الصفوف (1-12),Doqal,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
درة بنت أبي سلمة للتعليم الاساسى للبنات الصفوف (5-9),Dura bint Abi Salama,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
هلال بن عطيه للتعليم الاساسى للبنين الصفوف (8-10),Hilal bin Atiah,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
حنيــــن للتعليم الاساسى للبنات الصفوف (5-10),Honin,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
المدرسة الهندية بصحم,Indian School Saham,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
جعفر بن ابى طالب للتعليم الاساسى للبنين الصفوف (5-10),Jafar bin Abi Talib,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
مدرسة جوهرة النهضةالخاصة ثنائية اللغة,Jawharat Al-Nahdha Private Bilingual School ,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
جنان المعرفة للتعليم الاساسى الصفوف (1-4),Jenan almarefa,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
جمانه بنت ابى طالب للتعليم الاساسى الصفوف (5-10),Jomana bint Abi Talib,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
كعب بن برشه للتعليم الاساسى للبنين الصفوف (9-12),Kaab bin Barsha,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
Kawakeb AlBatinah Private School,Kawakeb AlBatinah Private School,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
خديجه الكبـرى للتعليم الاساسى للبنات  الصفوف (5-9),Khadija Alkobra,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
مدرسة منار العقول الخاصة,Manar Al Oqool Private School,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
معاذه العدويه للتعليم الاساسى للبنات الصفوف (5-9),Moathah Aladawiah,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
نفيسه بنت الحسـن للتعليم الاساسى للبنات الصفوف (10-12),Nafeesa,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
مدرسة نهل الوفاء الخاصة,Nahl Al Wafa Private School,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
مدرسة نبراس صحم الخاصة,Nibras Saham Private School,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
ابى بن كعـب للتعليم الاساسى للبنين الصفوف (5-12),Obai bin Kaab,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
رحيق العلم للتعليم الاساسى الصفوف (1-4),Raheeq Alelem,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
ركائز المستقبل للتعليم الاساسى الصفوف (1-4),Rakayiz Al Mustaqbl,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
مدرسة رياض الأوائل الخاصة,Riyadh Al Awail Private School,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
صحــم  للتعليم الاساسى للبنات الصفوف (10-12),Saham,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
Saham Private School,Saham Private School,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
سعيد بن زيد للتعليم الاساسى الصفوف (1-12),Said bin Zaid,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
Science's Future Private School,Science's Future Private School,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
شوامخ العلم للتعليم الاساسى الصفوف (1-5),Shawamikh Al Elm,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
شيـــده للتعليم الاساسى الصفوف (1-10),Shedah,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
ام القـــرى للتعليم الاساسى الصفوف (1-4),Um Alqura,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
وادى بنى عمـر للتعليم الاساسى الصفوف (1-12),Wadi Bani Omar,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
يعرب بن بلعرب للبنين الصفوف (11-12),Yaarob bin Blarab,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
زهور الادب للتعليم الاساسى الصفوف (1-4),Zohoor Aladab,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
الفرقان للتعليم الاساسى الصفوف (1-4),alforqan,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
المعانى للتعليم الاساسى الصفوف (1-4),alma'ani,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
المصباح  للتعليم الاساسى الصفوف (1-4),almisbah,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
النظائر للتعليم الاساسى الصفوف (1-4),alnathaer,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
الصرح للتعليم الاساسى الصفوف (1-4),alsarh,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
مجز الصغرى للتعليم الاساسى الصفوف (1-4),magaz alsogra,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
منارة العلم للتعليم الاساسى الصفوف (1-4),manart alealm,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
شواطئ المعرفه للتعليم الاساسى الصفوف (1-4),shawate Almarefa,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
واحه العلم للتعليم الاساسى الصفوف (1-4),wahat ale'elm,محافظة شمال الباطنة,Al Batinah North,صــحم,,حكومية / Public
world of learning private school,world of learning private school,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
مدرسة الإسناد الخاصة - ثنائية اللغة,مدرسة الإسناد الخاصة - ثنائية اللغة,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
مدرسة دار العلوم الخاصة,مدرسة دار العلوم الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
مدرسة شروق المعرفة الخاصة,مدرسة شروق المعرفة الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
مدرسة وحي المعرفة الخاصة,مدرسة وحي المعرفة الخاصة,محافظة شمال الباطنة ,Al Batinah North,صــحم,Saham,خاصة / Private
مدرسة الفجر الباسم الخاصة,Al Fajr al Basm Private School,محافظة شمال الباطنة ,Al Batinah North,لـوى,Liwa,خاصة / Private
مدرسة الأشبال الخاصة,Al-Ashpal Private School,محافظة شمال الباطنة ,Al Batinah North,لـوى,Liwa,خاصة / Private
الباطنة للتعليم الأساسي للبنين الصفوف (9-12),Al-Batina,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
الركن اليماني للتعليم الأساسي الصفوف (1-4),Al-Roken Al-Yamani,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
المؤمنـه للتعليم الاساسى للبنات الصفوف (5-12),Almoamena,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
اسماء بنت ابى بكر للتعليم الأساسي الصفوف (1-4),Asmma bint Abi Baker,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
بلوغ الأمل للتعليم الأساسي للبنات الصفوف (9-12),Bolwg Al-Amal,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
حصون العز للتعليم الأساسي للبنين الصفوف (5-8),Husoon Al-ez,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
اميه بنت قيس  للتعليم الاساسى الصفوف (1-4),Omaia bint Qais,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
رياض الازهار للتعليم الاساسى للبنات الصفوف (5-9),Reyadh Al-Azhar,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
طلائع الغد للتعليم الاساسى الصفوف (1-4),Talaea Algahd,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
زمزم للتعليم الاساسى الصفوف (1-4),Zamzam,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
الامام الربيع بن حبيب للتعليم الاساسى للبنين الصفوف (9-12),alemam alrabea bin habib,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
حافظ بن سيف للتعليم الاساسى للبنين الصفوف (5-9),hafidh bin saif,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
لوى للتعليم الاساسى الصفوف (5-8),liwa,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
قيس بن سعد بن عباده للتعليم الاساسى للبنين الصفوف (5-8),qais bin saad bin obada,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
رحب للتعليم الاساسى الصفوف (1-12),rahb,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
صفيه الثقفيه للتعليم الاساسى الصفوف (1-8),safia althaqafia,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
صحار بن العبــاس للتعليم الاساسى للبنين الصفوف (5-10),sohar bin alabass,محافظة شمال الباطنة,Al Batinah North,لـوى,,حكومية / Public
مدرسة الخزامى الخاصة,مدرسة الخزامى الخاصة,محافظة شمال الباطنة ,Al Batinah North,لـوى,Liwa,خاصة / Private
مدرسة الصباح الخاصة,مدرسة الصباح الخاصة,محافظة شمال الباطنة ,Al Batinah North,لـوى,Liwa,خاصة / Private
مدرسة المنى الخاصة,مدرسة المنى الخاصة,محافظة شمال الباطنة ,Al Batinah North,لـوى,Liwa,خاصة / Private
مدرسة غراس الخاصة بلوى,مدرسة غراس الخاصة بلوى,محافظة شمال الباطنة ,Al Batinah North,لـوى,Liwa,خاصة / Private
مدرسة مرايا العلم الخاصة للتعليم المبكر(روضة),مدرسة مرايا العلم الخاصة للتعليم المبكر(روضة),محافظة شمال الباطنة ,Al Batinah North,لـوى,Liwa,خاصة / Private
الشيخ ابوقحطان الهجارى للتعليم الاساسى للبنين الصفوف (5-12),A'Sheikh Abo Qahtan Al Hijari 5-12 School (Boys,محافظة جنوب الباطنة,Al Batinah South,العـوابي,,حكومية / Public
العوابى للتعليم الاساسى الصفوف (1-4),Al Awabi 1-4 School,محافظة جنوب الباطنة,Al Batinah South,العـوابي,,حكومية / Public
المعالم للتعليم الاساسى الصفوف(1-4),Al Ma'alim 1-4 School,محافظة جنوب الباطنة,Al Batinah South,العـوابي,,حكومية / Public
مدرسة مهد العلم الخاصة,Mahd Al Ilm Private School,محافظة جنوب الباطنة,Al Batinah South,العـوابي,Al Awabi,خاصة / Private
ام حكيم للتعليم الاساسى الصفوف (1-12),Omm Hakeem 1-12 School,محافظة جنوب الباطنة,Al Batinah South,العـوابي,,حكومية / Public
سلمى بنت قيس للتعليم الاساسى للبنات الصفوف (5-12),Salma Bint Qais 5-12 School (Girls,محافظة جنوب الباطنة,Al Batinah South,العـوابي,,حكومية / Public
