id,nom_ecole,type_code,type_nom,statut,annee,latitude,longitude,commune_code,commune_fi,commune_sv,seutukunta_code,seutukunta_fi,seutukunta_sv,maakunta_code,maakunta_fi,maakunta_sv
03022,Mellunmäen ala-asteen koulu,11,Peruskoulut,0,2025,60.232463,25.120958,091,Helsinki,Helsingfors,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
04243,Meltauksen koulu,11,Peruskoulut,0,2025,66.903021,25.370738,698,Rovaniemi,Rovaniemi,191,Rovaniemi,Rovaniemi,19,Lappi,Lappland
07887,Merenkurkun koulu,11,Peruskoulut,0,2025,63.091367,21.613701,905,Vaasa,Vasa,152,Vaasa,Vasa,15,Pohjanmaa,Österbotten
03882,Merenojan yhtenäiskoulu,11,Peruskoulut,0,2025,64.260611,23.954185,208,Kalajoki,Kalajoki,177,Ylivieska,Ylivieska,17,Pohjois-Pohjanmaa,Norra Österbotten
08377,Meri-Halikon koulu,11,Peruskoulut,2,2025,60.327443,22.942449,734,Salo,Salo,022,Salo,Salo,02,Varsinais-Suomi,Egentliga Finland
05766,Meri-Porin Yhtenäiskoulu,11,Peruskoulut,0,2025,61.556636,21.596425,609,Pori,Björneborg,043,Pori,Björneborg,04,Satakunta,Satakunta
06942,Merikaarron koulu,11,Peruskoulut,0,2025,63.062493,21.962799,905,Vaasa,Vasa,152,Vaasa,Vasa,15,Pohjanmaa,Österbotten
06486,Merikadun koulu,11,Peruskoulut,0,2025,64.683159,24.470729,678,Raahe,Brahestad,174,Raahe,Brahestad,17,Pohjois-Pohjanmaa,Norra Österbotten
00505,Merikarvian lukio,15,Lukiot,0,2025,61.862626,21.503206,484,Merikarvia,Sastmola,043,Pori,Björneborg,04,Satakunta,Satakunta
08452,Merikarvian yhteiskoulu,11,Peruskoulut,0,2025,61.862626,21.503206,484,Merikarvia,Sastmola,043,Pori,Björneborg,04,Satakunta,Satakunta
06320,Merikosken koulu,11,Peruskoulut,2,2025,65.027664,25.473536,564,Oulu,Uleåborg,171,Oulu,Uleåborg,17,Pohjois-Pohjanmaa,Norra Österbotten
00831,Merikosken lukio,15,Lukiot,1,2025,65.006644,25.491115,564,Oulu,Uleåborg,171,Oulu,Uleåborg,17,Pohjois-Pohjanmaa,Norra Österbotten
03614,Merilahden peruskoulu,11,Peruskoulut,0,2025,60.200299,25.132901,091,Helsinki,Helsingfors,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
08507,Merimaskun koulu,11,Peruskoulut,0,2025,60.470804,21.872081,529,Naantali,Nådendal,023,Turku,Åbo,02,Varsinais-Suomi,Egentliga Finland
03326,Meritorin koulu,11,Peruskoulut,0,2025,62.754408,22.817379,743,Seinäjoki,Seinäjoki,142,Seinäjoki,Seinäjoki,14,Etelä-Pohjanmaa,Södra Österbotten
08100,Merituulen koulu,11,Peruskoulut,0,2025,60.053565,24.020992,149,Inkoo,Ingå,014,Raasepori,Raseborg,01,Uusimaa,Nyland
07581,Mertalan koulu,11,Peruskoulut,0,2025,61.868266,28.93708,740,Savonlinna,Nyslott,103,Savonlinna,Nyslott,10,Etelä-Savo,Södra Savolax
08303,Merttelän koulu,11,Peruskoulut,1,2025,60.562348,22.228666,704,Rusko,Rusko,023,Turku,Åbo,02,Varsinais-Suomi,Egentliga Finland
08687,Messukylän koulu,11,Peruskoulut,0,2025,61.486433,23.842218,837,Tampere,Tammerfors,064,Tampere,Tammerfors,06,Pirkanmaa,Birkaland
03780,Metsokankaan koulu,11,Peruskoulut,0,2025,64.945123,25.546438,564,Oulu,Uleåborg,171,Oulu,Uleåborg,17,Pohjois-Pohjanmaa,Norra Österbotten
03023,Metsolan ala-asteen koulu,11,Peruskoulut,0,2025,60.241929,24.960932,091,Helsinki,Helsingfors,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
07012,Metsolan koulu,11,Peruskoulut,0,2025,62.517596,22.702954,301,Kurikka,Kurikka,142,Seinäjoki,Seinäjoki,14,Etelä-Pohjanmaa,Södra Österbotten
08005,Metsolan koulu,11,Peruskoulut,0,2025,60.237536,24.068098,444,Lohja,Lojo,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
03883,Metsäkaltevan koulu,11,Peruskoulut,0,2025,60.601807,24.879119,106,Hyvinkää,Hyvinge,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
05395,Metsäkulman koulu,11,Peruskoulut,0,2025,63.526831,22.521742,893,Uusikaarlepyy,Nykarleby,154,Jakobstadsregionen,Jakobstadsregionen,15,Pohjanmaa,Österbotten
08055,Metsäkylän koulu,11,Peruskoulut,0,2025,60.40654,24.798674,543,Nurmijärvi,Nurmijärvi,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
08734,Metsäkylän yhtenäiskoulu,11,Peruskoulut,0,2025,61.573781,23.507277,980,Ylöjärvi,Ylöjärvi,064,Tampere,Tammerfors,06,Pirkanmaa,Birkaland
08446,Metsämaan koulu,11,Peruskoulut,0,2025,60.940485,23.15255,430,Loimaa,Loimaa,025,Loimaa,Loimaa,02,Varsinais-Suomi,Egentliga Finland
06990,Miedon koulu,11,Peruskoulut,0,2025,62.565844,22.291025,301,Kurikka,Kurikka,142,Seinäjoki,Seinäjoki,14,Etelä-Pohjanmaa,Södra Österbotten
07418,Miehikkälän koulu,11,Peruskoulut,1,2025,60.669519,27.695621,489,Miehikkälä,Miehikkälä,082,Kotka-Hamina,Kotka-Fredrikshamn,08,Kymenlaakso,Kymmenedalen
05165,Mieluskylän koulu,11,Peruskoulut,0,2025,64.173575,25.157925,071,Haapavesi,Haapavesi,175,Haapavesi-Siikalatva,Haapavesi-Siikalatva,17,Pohjois-Pohjanmaa,Norra Österbotten
08821,Miemalan koulu,11,Peruskoulut,0,2025,60.959355,24.498404,109,Hämeenlinna,Tavastehus,051,Hämeenlinna,Tavastehus,05,Kanta-Häme,Egentliga Tavastland
08630,Miinan koulu,11,Peruskoulut,0,2025,60.802312,23.488459,169,Jokioinen,Jockis,053,Forssa,Forssa,05,Kanta-Häme,Egentliga Tavastland
05607,Mika Waltarin koulu,11,Peruskoulut,0,2025,60.433981,25.368801,611,Pornainen,Borgnäs,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
