"unique_id","province_code","geocode","source_id","provider","authority_id","authority_name","full_address","school_id","facility_name","streetAddress","postalCode","addressLocality","min_grade","max_grade","ISCED010","ISCED020","ISCED1","ISCED2","ISCED3","ISCED4Plus","is_OLMS","french_immersion","early_immersion","middle_immersion","late_immersion","facility_type","dguid","csdname","geometry","date_updated"
"6bcbed0934880faa3120","BC",59,20,"Province of British Columbia","64","Gulf Islands","PO Box 70, Saturna","6464004","Saturna Island Elementary Secondary","Saturna","..","Saturna","1","12","0","0","1","1","1","0","0","0","0","0","0","STANDARD","2021A00055917029","Southern Gulf Islands","POINT (-123.17314147949219 48.7943000793457)","2024-07-02"
"926b4707c43a21de78fa","BC",59,20,"Province of British Columbia","73","Kamloops-Thompson","PO Box 170, Savona","7324010","Savona Elementary","Savona","..","Savona","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055933039","Thompson-Nicola J (Copper Desert Country)","POINT (-120.84176635742188 50.75424575805664)","2024-07-02"
"8696f64bd304d1c62510","BC",59,20,"Province of British Columbia","72","Campbell River","PO Box 40, Sayward","7272119","Sayward Elem-Jr Secondary","Sayward","..","Sayward","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055924039","Sayward","POINT (-125.95784759521484 50.377262115478516)","2024-07-02"
"0ea8fdbad5081c4b3a0f","BC",59,20,"Province of British Columbia","46","Sunshine Coast","PO Box 1430, Sechelt","4646017","Chatelech Secondary","Sechelt","..","Sechelt","10","12","0","0","0","0","1","0","0","0","0","0","0","STANDARD","2021A00055929011","Sechelt","POINT (-123.76891326904297 49.47352600097656)","2024-07-02"
"5920152c8bacf3d32cff","BC",59,20,"Province of British Columbia","46","Sunshine Coast","PO Box 512, Sechelt","4646011","Davis Bay Elementary","Sechelt","..","Sechelt","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055929011","Sechelt","POINT (-123.72300720214844 49.443878173828125)","2024-07-02"
"7b40fa75da76c8065cec","BC",59,20,"Province of British Columbia","46","Sunshine Coast","PO Box 142, Sechelt","4646022","Kinnikinnick Elementary","Sechelt","..","Sechelt","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055929011","Sechelt","POINT (-123.77558898925781 49.491336822509766)","2024-07-02"
"030453da082634c8d753","BC",59,20,"Province of British Columbia","93","Conseil scolaire francophone","5904 Cowrie St, Sechelt","9346017","Secondaire Chatelech","5904 Cowrie St, Sechelt","..","Sechelt","10","12","0","0","0","0","1","0","1","0","0","0","0","STANDARD","2021A00055929011","Sechelt","POINT (-123.76891326904297 49.47352600097656)","2024-07-02"
"a542fb2fb0a7dda283cd","BC",59,20,"Province of British Columbia","46","Sunshine Coast","PO Box 220, Sechelt","4646016","West Sechelt Elementary","Sechelt","..","Sechelt","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055929011","Sechelt","POINT (-123.80223846435547 49.47556686401367)","2024-07-02"
"c7da06f3e412914d8fb0","BC",59,20,"Province of British Columbia","93","Conseil scolaire francophone","5538 Shorncliffe Box 390, Sechelt","9346003","du Pacifique","5538 Shorncliffe Box 390, Sechelt","..","Sechelt","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055929011","Sechelt","POINT (-123.76439666748047 49.472957611083984)","2024-07-02"
"ef19e2fbb97025023a94","BC",59,20,"Province of British Columbia","79","Cowichan Valley","PO Box 99, Shawnigan Lake","7965037","Discovery Elementary","Shawnigan Lake","..","Shawnigan Lake","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055919046","Cowichan Valley B","POINT (-123.65180206298828 48.652652740478516)","2024-07-02"
"7e83b85ff2fdea114fb0","BC",59,20,"Province of British Columbia","164.0","Shawnigan Lake School Society","1975 Renfrew Rd, Shawnigan Lake","7996006","Shawnigan Lake","1975 Renfrew Rd, Shawnigan Lake","..","Shawnigan Lake","10","12","0","0","0","0","1","0","0","0","0","0","0","STANDARD","2021A00055919046","Cowichan Valley B","POINT (-123.63887786865234 48.65735626220703)","2024-07-02"
"7d29608e28f78d01194f","BC",59,20,"Province of British Columbia","709.0","St John's Academy Shawnigan Lake Society","2371 Shawnigan Lake Rd, Shawnigan Lake","7996965","St John's Preparatory Academy Shawnigan","2371 Shawnigan Lake Rd, Shawnigan Lake","..","Shawnigan Lake","no enrolment reported","no enrolment reported","0","0","0","0","0","0","0","0","0","0","0","STANDARD","2021A00055919046","Cowichan Valley B","POINT (-123.63004302978516 48.636077880859375)","2024-07-02"
"879e630a15b4faece1f7","BC",59,20,"Province of British Columbia","83","North Okanagan-Shuswap","PO Box 9 518 Main Street, Sicamous","8383044","Eagle River Secondary","518 Main Street, Sicamous","..","Sicamous","1","12","0","0","1","1","1","0","0","0","0","0","0","STANDARD","2021A00055939045","Sicamous","POINT (-118.97972106933594 50.83769989013672)","2024-07-02"
"82c15533681c05b384be","BC",59,20,"Province of British Columbia","83","North Okanagan-Shuswap","PO Box 444, Sicamous","8389032","Parkview Elementary School","Sicamous","..","Sicamous","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055939045","Sicamous","POINT (-118.97599792480469 50.834800720214844)","2024-07-02"
