id_etablissement,nom_etablissement,nom_en,nom_translit,type_etablissement,statut_operateur,gouvernorat_region,district,sous_district,latitude,longitude,ville
node/8164414617,مدارس نماء الحديثه,( Sh ),( Sh ),École,,Sana'a City,As Sab'in,As Sab'in,15.3006731,44.2282019,
node/6007424086,مدرسة محمد اسماعيل,,mdrs@ mHmd sm`yl,École,,Sana'a City,As Sab'in,As Sab'in,15.3128845,44.2231653,
node/4532786189,مدارس المثالية التربوية,idel school,idel school,École,,Sana'a City,As Sab'in,As Sab'in,15.3166004,44.2272414,
node/7056564885,مدرسة خولة,,mdrs@ khwl@,École,,Sana'a City,As Sab'in,As Sab'in,15.3182693,44.224747,
node/13518704570,مدارس أمجاد اليمن الحديثة,,mdrs 'mjd lymn lHdyth@,École,,Sana'a City,As Sab'in,As Sab'in,15.3173793,44.2237794,
node/4729009991,مدرسة سمية للبنات,Somaiah schoolgirls,Somaiah schoolgirls,École,,Sana'a City,As Sab'in,As Sab'in,15.3203406,44.2213926,
node/5348913822,مدارس دار الفكر النموذجية,,mdrs dr lfkr lnmwdhjy@,École,,Sana'a City,As Sab'in,As Sab'in,15.3250732,44.2249387,
node/6134329390,مدرسة أم سلمة للبنات,Om sallamah schoolgirls,Om sallamah schoolgirls,École,,Sana'a City,As Sab'in,As Sab'in,15.3256628,44.2227742,
node/13437303010,مدرسة الشهيد أحمد الحورش,,mdrs@ lshhyd 'Hmd lHwrsh,École,,Sana'a City,As Sab'in,As Sab'in,15.329795,44.2150851,
way/308602675,مدرسة الشهيد العصيمي,,mdrs@ lshhyd l`Symy,École,,Sana'a City,As Safiyah,As Safiyah,,,
node/12200086077,مدرسة الشهيد حزام العصيمي,,mdrs@ lshhyd Hzm l`Symy,École,,Sana'a City,As Safiyah,As Safiyah,15.3327648,44.2132203,الامانة
way/118733113,مدرسة عبدالرزاق الصنعاني,,mdrs@ `bdlrzq lSn`ny,École,,Sana'a City,Al Wehdah,Al Wehdah,,,صنعاء
node/12600862036,مدرسة النزيلي الأهلية,,mdrs@ lnzyly l'hly@,École,,Sana'a City,Al Wehdah,Al Wehdah,15.3344516,44.2094932,
way/104407065,مدرسة التضامن للبنين,,mdrs@ ltDmn llbnyn,École,,Sana'a City,As Safiyah,As Safiyah,,,
node/13437303101,المدارس الثقافية الرائدة,,lmdrs lthqfy@ lry'd@,École,,Sana'a City,Al Wehdah,Al Wehdah,15.3361531,44.2099084,
node/6467137033,مدارس النجاح,,mdrs lnjH,École,,Sana'a City,As Safiyah,As Safiyah,15.3349219,44.2122567,
node/5339491622,مدرسة ذو النورين,,mdrs@ dhw lnwryn,École,,Sana'a City,As Safiyah,As Safiyah,15.3388867,44.2193554,
node/10632742555,مدرسة أنس بن مالك,,mdrs@ 'ns bn mlk,École,,Sana'a City,As Safiyah,As Safiyah,15.3367894,44.2235272,
node/5079949922,مدرسة ابن خلدون للبنين,,mdrs@ bn khldwn llbnyn,École,,Sana'a City,As Safiyah,As Safiyah,15.3399071,44.2255563,
node/5074223622,مدارس الثريا فرع البنات,,mdrs lthry fr` lbnt,École,,Sana'a City,As Safiyah,As Safiyah,15.3397869,44.2274597,
node/5074223621,مدارس الثريا فرع البنين,Althorya school,Althorya school,École,,Sana'a City,As Safiyah,As Safiyah,15.3390455,44.2276164,
node/13437302955,مدارس رواد اليمن الدولية,,mdrs rwd lymn ldwly@,École,,Sana'a City,As Safiyah,As Safiyah,15.331541,44.2275131,
node/10632742535,مدارس رواد اليمن الدولية فرع البراعم,,mdrs rwd lymn ldwly@ fr` lbr`m,École,,Sana'a City,As Safiyah,As Safiyah,15.3319125,44.2243107,صنعاء
node/13437303016,مدارس الأمل الحديثة,,mdrs l'ml lHdyth@,École,,Sana'a City,As Safiyah,As Safiyah,15.3327348,44.2178839,
node/7445084388,مدرسة ابن اليمن,,mdrs@ bn lymn,École,,Sana'a City,As Safiyah,As Safiyah,15.3290176,44.2201258,
node/8383196719,جامعة السعيدة,,jm`@ ls`yd@,Université,,Sana'a City,As Safiyah,As Safiyah,15.3280051,44.2188421,
node/13518640362,مدرسة الفرسان للبنين,,mdrs@ lfrsn llbnyn,École,,Sana'a City,As Safiyah,As Safiyah,15.326026,44.2207687,
node/6013514711,مدرسة طارق بن زياد الأساسية,Tareq Ben zeyad basic school,Tareq Ben zeyad basic school,École,,Sana'a City,As Safiyah,As Safiyah,15.3263493,44.2228004,
node/10632742517,مدرسة عبدالرحمن الغافقي,,mdrs@ `bdlrHmn lGfqy,École,,Sana'a City,As Safiyah,As Safiyah,15.3286449,44.2275869,
node/10632742516,مدرسة سكينة الثانوية للبنات,,mdrs@ skyn@ lthnwy@ llbnt,École,,Sana'a City,As Safiyah,As Safiyah,15.3290451,44.2275328,
node/5079942627,مدرسة الشعب الثانوية,,mdrs@ lsh`b lthnwy@,École,,Sana'a City,Old City,Old City,15.3510261,44.219175,
node/5079952021,مدرسة معين,,mdrs@ m`yn,École,,Sana'a City,Old City,Old City,15.349782,44.219034,
node/5079935324,مدرسة الثورة للبنات,AlThowrah Girls School,AlThowrah Girls School,École,,Sana'a City,Old City,Old City,15.3504799,44.2234547,
node/9106013417,مدارس الوطنية الحديثة - فرع البنات,,mdrs lwTny@ lHdyth@ - fr` lbnt,École,,Sana'a City,As Safiyah,As Safiyah,15.3406759,44.2195931,
way/104407067,مدرسة أم سلمة للبنات,,mdrs@ 'm slm@ llbnt,École,,Sana'a City,As Safiyah,As Safiyah,,,
way/237755285,اكاديمية الشرطة,Police Academy,Police Academy,Collège / Institut,,Sana'a City,Al Wehdah,Al Wehdah,,,
way/104407066,مدرسة المعتصم للبنين,,mdrs@ lm`tSm llbnyn,École,,Sana'a City,Al Wehdah,Al Wehdah,,,
node/4298021947,مدرسة المعتصم,Almoatasem School,Almoatasem School,École,,Sana'a City,Al Wehdah,Al Wehdah,15.3405894,44.2088467,
node/12587743576,الأكاديمية اليمنية للدراسات العليا,,l'kdymy@ lymny@ lldrst l`ly,Université,,Sana'a City,Al Wehdah,Al Wehdah,15.3407212,44.2072957,صنعاء
node/5070410521,كلية الشرطة,,kly@ lshrT@,Collège / Institut,,Sana'a City,Al Wehdah,Al Wehdah,15.341916,44.207064,
node/6560928486,مدارس العلوم والتقنية,Sciences and Technology School,Sciences and Technology School,École,,Sana'a City,Al Wehdah,Al Wehdah,15.3404289,44.2058236,صنعاء
way/237755387,مدرسة الشهيد السماوي,,mdrs@ lshhyd lsmwy,École,,Sana'a City,Al Wehdah,Al Wehdah,,,
way/235752355,مدرسة اروى للبنات,,mdrs@ rw~ llbnt,École,,Sana'a City,Al Wehdah,Al Wehdah,,,
way/104407063,مدرسة الكويت للبنين,,mdrs@ lkwyt llbnyn,École,,Sana'a City,Al Wehdah,Al Wehdah,,,
node/12573635355,مدرسة اللأطفال النموذجية,,mdrs@ ll'Tfl lnmwdhjy@,École,,Sana'a City,Old City,Old City,15.3500327,44.2092329,صنعاء
node/6327119586,مدرسة نشوان الحميري,Nashwan alhomyari school,Nashwan alhomyari school,École,,Sana'a City,Old City,Old City,15.350635,44.2115902,
way/518453324,ثانوية عبدالناصر للمتفوقين,Jamal Abdulnaser highschool,Jamal Abdulnaser highschool,École,,Sana'a City,Al Wehdah,Al Wehdah,,,
node/4354420301,مدرسة الطبري,,mdrs@ lTbry,École,,Sana'a City,Old City,Old City,15.3572376,44.209422,
node/2536820603,مركز تعليم اللغة العربية والدراسات الشرقية,Center For Arabic Learning And Eastern Studies,Center For Arabic Learning And Eastern Studies,École,,Sana'a City,Old City,Old City,15.3557782,44.2145003,صنعاء
node/5079942632,مدرسة اللقية,,mdrs@ llqy@,École,,Sana'a City,Old City,Old City,15.3544574,44.2190037,
