NOM_ETABLISSEMENT,NOM_ETABLISSEMENT_AR,ADRESSE,ADRESSE_AR,COMMUNE,PROVINCE,PROVINCE_AR,REGION,REGION_AR,TEL,FAX,TYPE,SOURCE
ELMANDARE ALJAMILE,المنظر الجميل,RUE INTSRABI AGDAL RABAT,زنقة انتسرابي أكدال الرباط,Agdal Riyad (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ZIRARA,زرارة,HAY EL GUICHE LAODAYA TEMARA,كيش الوداية,Témara (Mun.),Préfecture: Skhirate- Tém,عمالة سخيرات-تمارة,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
KHALID BNO EL WALIDE,خالد بن الوليد,SECTEUR 6 RUE ARACHISE HAY RIAD READ AGDAL,مدرسة خالد بن الوليد سكتور 6 زنقة الأرجوان حي الري,Agdal Riyad (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ABDELMOUMENE,عبدالمومن,RUE LAKSSIBA HASSAN,زنقة القصيبة حسان,Hassan (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ATTAWHID,التوحيد,98 RUE OUKASSA BAB EL MALLAH HASSAN,98 زنقة وقاصة الملاح,Hassan (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
MOULAY RACHID,مولاي رشيد,AV SIDI FATEH Rue  taht el hammam  Rabat,زنقة تحت   الحمام  سيدي فاتح    ,Hassan (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
LOUDAYA,الاوداية,CHARIA BAB LAALOU LOUDAYA HASSAN,شارع لعلو الاوداية الرباط,Hassan (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
HASSANE BNO TABIT,حسان بن ثابت,avenue medv rue 26 Legza,شارع محمد الخامس، زنقة 26 الجزاء,Hassan (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
AHMED CHERKAOUI,أحمد الشرقاوي,AV LA RISISTANCE ELMOHITE HASSAN,شارع المقاومة حي المحيط حسان,Hassan (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
SAHATE CHOUHADA,ساحة الشهداء,AV ABDELKRIM KHATABI LOCEON HASSAN,شارع عبد الكريم الخطابي  المحيط حسان,Hassan (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ELCADI AYYAD,القاضي عياض,RUE TONCAN AV HASSAN 2 HASSAN,زنقة طنكان شارع الحسن الثاني حسان,Hassan (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ALLAL BEN ABDELLAH,علال بن عبد الله,AV ZARKTOUNI EL AKARI HASSANE,شارع محمد الزرقطوني القبيبات العكاري,Hassan (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
DRISS BAHRAOUI,إدريس البحراوي,RUE BEN OTMANE MEKNASSI  AKKARI,زنقة بن عثمان المكناسي العكاري,Hassan (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
MASIRA LKHADRA AKKARI,المسيرة الخضراء العكاري,AV SIDI MED BENABDELLAH AKKARI HASSANE,شارع سيدي محمد بنعبد الله العكاري- حسان,Hassan (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ALLAL KARRAKCHOU,علال كراكشو,AV PRINCE SIDI MOHAMMED SOUISSI RABAT,شارع الأمير سيدي محمدالسويسي الرباط,Souissi (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
DAR ASSALAM ALHASSANIA,دار السلام الحسنية,AV  MOHAMMED VI KM 75 SOUISSI,"شارع  محمد السادس  كلم 7,5 السويسي",Souissi (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ABDERRAHMAN BNO AOUF,عبد الرحمان بن عوف,ROUTE AYNE KHALUYA DAR ESSALAME YOUSSOUFIA,طريق عين خلوية دار السلام اليوسفية,Souissi (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
MOHAMED BELHASSAN ELOUAZZANI,محمد بلحسن الوزاني,HAY NAHDA 1 COMPLEMENTAIRER  RUE  AJANA,حي النهضة 1 إضافي    //زنقة أجانا      ,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
SIX NOVEMBRE,السادس نونبر,HAY NAHDA YOUssouFIA groupe alaahd rabat,حي النهضة 1 مجموعة العهد جماعة اليو سفية,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ALLAMA ABDELLAH ALJIRARI,العلامة عبد الله الجراري,"HAY NAHDA 1 , Avenue TARGA   - Rabat",حي النهضة 1 ،  شارع تاركة  - الرباط,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
AHMED EL KACIMI,أحمد القاسمي,TAKADOUME  YOUSSOUFIA,التقدم اليوسفية,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ABDELHADI BOUTALEB,عبد الهادي بوطالب,AV HOUMANE ELFATOIKI  TAKADOUME YOUSSOUFIA,شارع حمان الفطواكي   التقدم اليوسفية,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
EL MASSIRA,المسيرة,DOUAR EHAJA HAY ELFARAH TAKADOUME YOUSSOUFIA,حي الفرح، التقدم، جماعة اليوسفية,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
LHASSAN ELYOUSSI,الحسن اليوسي,QUARTIER INDUSTRIEL OILJA YOUSSOUFIA,طريق الولجة الحي الصناعي اليوسفية ,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
IDRISS AL AWWAL,إدريس الأول,HAY  LINBIAAT  YOUSSOUFIA,حي الإنبعاث اليوسفية ,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
AHMED RACHIDI,احمد الراشدي,HAY AL INBIAAT YOUSSOUFIA,حي الإنبعاث اليوسفية,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ELFARABI,الفارابي,hay abi regrague el youssoufia,حي اأبي رقراق اليوسفية,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
AL ALAMA   MOHAMED BEN SOULAIMANE EL JAZOULI,ا لعلامة محمد بن سليمان الجزولي,boulevard OULED SBAA RUE 82 n 119  HAY bouregreg,شارع اولاد السبع زنقة 82   رقم 119 حى أبي رقراق,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
DRISS BAHRAOUI YOUSSOUFIA,إدريس البحراوي اليوسفية,AVENUE HAHHA YOUSSOUFIA OUEST RABAT,شارع حاحا اليوسفية الغربية الرباط,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ALINBIAAT,الانبعاث,CITE EL YOUSSOUFIA   OUEST,حي اليوسفية الغربية,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
IMAM MALIK,الإمام مالك,AV HOUMANE EL FATOIKI  YOUSSOUFIA,شارع حمان الفطواكي اليوسفية مابيلا الرباط,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
2023-01-11 00:00:00,11 يناير,CHARIA TADLA MABELA YOUSOUFIA,شارع تادلة، حي الطائرات الرباط,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
OMAR BEN ABDELAZIZ,عمر بن عبد العزيز,HAY EL IDARI YOUSSOUFIA, الحي الإداري اليوسفية,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
AL IMAN GHAZALI,ألإمام الغزالي,Rue Bani warite HAY NAHDA 3 commune alYOUSSOUFIA R,زنقة بني واريث حي النهضة 3 مقاطعة اليوسفية الرباط,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
LISSANE EDDINE BNO LKHATIB,لسان الدين بن الخطيب,HAY NAHDA 2 QUARTIER INDUSTRIEL YOUSSOUIFIA,حي النهضة 2 الحي الصناعي اليوسفية,El Youssoufia (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ANNOUR ALMOUHAMMADI,النور  المحمدي,AV MED BENABDELLAH CYM YAACOUB ELMANSOUR,شارع سيدي محمد بن عبدالله يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
YAACOUB ALMANSOUR,يعقوب المنصور,AV MED BEN ABDELLAH CYM YAACOUB ELMANSOUR,شارع محمد بن عبد الله،الأحباس،حي يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
OKBA BNO NAFIEA,عقبة بن نافع,AV MED BEN ABDELLAH CYM YAACOUB ELMANSOUR,شارع سيدي محمد بنعبد الله ، يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ABDELMALEK SAADI,عبد المالك السعدي,RUE RAHMA 301 HAY RAJAA FI ALLA YAACOUB ELMANSOUR,زنقة الرحمة 301 حي الرجاء في الله، يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
FATIMA AZZAHRA,فاطمة الزهراء,RUE ARRAHMA 301HAY RAJAA FIALLAH YAACOUB ELMANSOUR,زنقة الرحمة  301 حي الرجاء في الله يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
YOUSSEF BEN TACHFINE,يوسف بن تاشفين,AV ANNOUR CITE YAACOUB ELMANSOUR,شارع الإخلاص حي يقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
DAKHLA,الداخلة,boulevard sidi mohammed ben abdellah CYM,شارع سيدي محمد بن عبدالله يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
SOUKINA BINT ELHOUSSAIN,سكينة بنت الحسين,DAOIR GARAA CYM YAACOUB ELMANSOUR,دوار الكرعة يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
AL IMAM ALI,الإمام علي,DouaR alGARAA CYM YAACOUB ELMANSOUR,القامرة حي يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ENNACHIA ALMOUHAMMADIA,الناشئة المحمدية,HAY BOUHLAL ARRONDISSEMENT 5 YAACOUB ELMANSOUR,حي بوهلال الدائرة 5 يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
BOUHLAL,بوهلال,AV BOUHLAL YAACOUB ELMANSOUR,حي بوهلال حي يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ABDELLAH BNO YASSINE,عبد الله بن ياسين,BOUHLAL YAACOUB ELMANSOUR,بوهلال يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
AHMED ELHANSALI,أحمد الحنصالي,BOUHLAL YAACOUB ELMANSOUR,بوهلال يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
MOHAMMED EL KHAMISS,محمد  الخامس,CYM LAKOISSE YAACOUB ELMANSOUR,الاقواس   يعقوب  المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
MOHAMED BEN YOUSSEF,محمد بن  يوسف,AV LA MARCHE  EL KOUASS CYM,شارع المسيرة  الاقواس   ي   م,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ALAMAL,الأمل,J 5 AMAL1 YACACOUB ELMANSOUR,ج 5 امل 1ح ي م,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
AMMAR BNOU YASSIR,عمار بن ياسر,avenue  chbanat  c  ym,شارع الشبانات   يعقوب  المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
MOHAMED RAZI,محمد الرازي,AV EL IJTIHAD YAACOUB ELMANSOUR,شارع ا لاجتهاد   الاقواس   ي  م,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ELMAGHREB ELARABI,المغرب العربي,avenue el massira bittat cym   rabat,شارع المسيرة  البيتات ح.ي.م - الرباط,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
OUED ELMAKHAZIN,وادي المخازن,AL AKOIS Amal 0 hay YAACOUB ELMANSOUR, الأقواس أمل0 حي يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ELAHD ELJADID,العهد الجديد,AVENUE EL MASSIRA AMAL 3 YAACOUB ELMANSOUR,شارع المسيرة امل 3 حي يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
HASSAN ELMARRAKCHI,الحسن المراكشي,AV EL MAJDE YAACOUB MANSOUR,شارع المجد يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
MOUKHTAR JAZOULIT,المختار جزوليت,AVENUE EL FATH AL MASSIRA YAACOUB ELMANSOUR,شارع الفتح المسيرة  يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ESSMARA,اسمارة,HAY EL MASSIRA YAACOUB ELMANSOUR,حي المسيرة يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
FAKIH MOHAMMED GHAZI,الفقيه محمد غازي,AMAL 4 SUPL YAACOUB ELMANSOUR,امل 4 اضافي ح ي م       ,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
MOKHTAR ESSOUSSI,المختار السوسي,AVENUE EL MASSIRA HAY EL MANZAH YAACOUB ELMANSOUR,شارع المسيرة ،حي المنزه يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ELFATH,الفتح,hay el fath boulevard el fath yaacoub manssour,حي الفتح شارع الفتح يعقوب المنصور,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
LHIZAM ALAKHDER,الحزام الأخضر,HAY EL FATH  CYM  RABAT,حي الفتح ح ي م الرباط,Yacoub El Mansour (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
MECHOUAR ESSAID,المشور السعيد,Mechouar essaid touargas rabat,المشور السعيد تواركة البلدية الرب,Touarga (Mun.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
EL OULJA,الولجة,OULJA KM 6  rabat,ولجة كلم 6    الرباط,Souissi (Arrond.),Préfecture: Rabat,عمالة الرباط,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  EL WALI SIDI BEN ACHIR,مدرسة الولي سيدي بن عاشر,AV MASSIRA KHADRA COMMUNE DE BETANA,شارع المسيرة الخضراء بطانة,Bettana (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  MOHAMMED ABDOU,مدرسة محمد عبده,COMMUNE DE BETANA,جماعة بطانة,Bettana (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  IBN KHALDOUN,مدرسة إبن خلدون,COMMUNE DE BETTANA,بطانة حي السلام,Bettana (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  AHMED BEN ABDENBI,مدرسة أحمد بنعبد النبي,AV LMASSIRA LKHADRA COMMUNE DE BETTANA,شارع المسيرة الخضراء - بطانة,Bettana (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  IBN TOFAIL,مدرسة ابن طفيل,AV ARIANA HAY ESSALAM COMMUNE DE BETTANA,شارع أريانة حي السلام,Bettana (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  IBN HAZM,مدرسة ابن حزم,AVENUE ALMILAHA SECTEUR 6 HAY ESSALAM,شارع الملاحة قطاع 6 - حي السلام,Bettana (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  IMAM TABARI,مدرسة الامام الطبري,HAY MY ISMAIL COMMUNE DE BETTANA,حي مولاي اسماعيل,Bettana (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE AL MOUFTI  ABOUBAKER ZNIBER,مدرسة المفتي أبو بكر زنيبر,HAY ESSALAM COMMUNE DE BETTANA,حي السلام جماعة بطانة,Bettana (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  MOHAMMED EZZIRAOUI,مدرسة محمد الزيراوي,HAY MY ISMAIL  COMMUNE DE BETTANA,حي مولاي اسماعيل  - بطانة,Bettana (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  HAY ESSALAM,مدرسة حي السلام,secteur 11 Extention Hay Essalam  Sale,سكتور 11 إضافي - حي السلام - سلا,Bettana (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  MOULAY MEKKI ALAOUI,مدرسة مولاي المكي العلوي,AV MY ALI CHRIF COMMUNE BAB LAMRISSA,شارع مولاي علي الشريف  لمريسة - سلا,Bab Lamrissa (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  FATIMA EL FIHRIA,مدرسة فاطمة الفهرية,AV 2 MARS COMMUNE BAB LAMRISSA,شارع 2 مارس باب الخميس سلا المدينة,Bab Lamrissa (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  HAMMAN ELFATOUAKI,مدرسة حمان الفطواكي,BAB SEBTA COMMUNE BAB LAMRISSA,باب سبتة لمريسة,Bab Lamrissa (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  ZINE EL ABIDINE BENABOUD,مدرسة زين العابدين بن عبود,SIDI MOUSSA COMMUNE BAB LAMRISSA,سيدي موسى,Bab Lamrissa (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  SIDI MOUSSA DOUKKALI,مدرسة سيدي موسى الدكالي,BAB CHAAFA COMMUNE BAB LAMRISSA,خارج باب شعفة,Bab Lamrissa (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  ALLAMA ALI AOUAD,مدرسة العلامة علي عواد,LOTISSEMENT 2 ROUTE KENITRA COMMUNE BAB LAMRISSA,سيدي موسى العلامة علي عواد طريق القنيطرة سلا,Bab Lamrissa (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  ZOUBEIR BNOU EL OUAM,مدرسة الزوبير بن العوام,SANIAT SALIMA SIDI MOUSSA,سيدي موسى,Bab Lamrissa (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  AHMED EL JARIRI,مدرسة أحمد الجريري,AV ENASIR SIDI MOUSSA,شارع النصر سيدي موسى,Bab Lamrissa (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  ASSAKIA EL HAMRA,مدرسة الساقية الحمراء,HAY CHMAOU RKENITRA COMMUNE BAB LAMRISSA,حي اشماعو,Bab Lamrissa (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  LAFKIH BRITEL,مدرسة الفقيه محمد بريطل,LOTISSEMENT RACHID DOUIBI ROUTE KENITRA SALE,تجزئة رشيد الدويبي طريق القنيطرة - سلا,Bab Lamrissa (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  OUED EDDAHAB,مدرسة واد الذهب,AV MY YOUSSEF COMMUNE DE TABRIQUET,"شارع م,يوسف  تابريكت",Tabriquet (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  ABI ALHASSAN ALKABISSI,مدرسة ابو الحسن القابسي,AV ABDELKHALeK toRRISS COMMUNE DE TABRIQUET,شارع عبد الخالق الطريس تابريكت سلا,Tabriquet (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  MOHAMED ERRIHANI,مدرسة محمد الريحاني,01RUE AIN  LOUH PEPINIERE   TABRIQUET,"01 , زنقة عين اللوح  حي المزرعة تابريكت - سلا",Tabriquet (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  MOUSSA BNOU NOUSSAIR,مدرسة موسى بن نصير,AV MY YOUSSEF COMMUNE DE TABRIQUET,شارع مولاي يويف تابريكت,Tabriquet (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
