NOM_ETABLISSEMENT,NOM_ETABLISSEMENT_AR,ADRESSE,ADRESSE_AR,COMMUNE,PROVINCE,PROVINCE_AR,REGION,REGION_AR,TEL,FAX,TYPE,SOURCE
ECOLE ABI HANIFA NOMANE,مدرسة أبي حنيفة النعمان,hay al idari SIDI YAHIA LGHARB,الحي الإداري سيدي يحيى الغرب,Sidi Yahya El Gharb (Mun.),Province: Sidi Slimane,إقليم سيدي سليمان,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
HAJ MANSOUR,الحاج منصور,HAY ELMANZAH SECTEUR D   KENITRA,قطاع د   حي المنزه الحاج منصور,Kénitra (Mun.),Province: Kénitra,إقليم القنيطرة,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
EL YARMOUK,اليرموك,BIR RAMI  KENITRA,بئر الرامي القنيطرة,Kénitra (Mun.),Province: Kénitra,إقليم القنيطرة,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE MERE SIDI YOUSSEF,المركزية سيدي يوسف,DOUAR SIDI YOUSSEF COMMUNE DAR BEL AMRI,دوار سيدي يوسف جماعة دار بلعامري,Dar Bel Amri,Province: Sidi Slimane,إقليم سيدي سليمان,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE OUED BAHT,مدرسة واد بهت,DAR BeLAMRI CENTRE COMMUNE DAR BELAMRI,دار بلعامري المركز جماعة دار بلعامري,Dar Bel Amri,Province: Sidi Slimane,إقليم سيدي سليمان,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
HALIMA SAADIA,حليمة السعدية, COMMUNE LALLA MIMOUNA centre,جماعة للا ميمونة المركز,Lalla Mimouna,Province: Kénitra,إقليم القنيطرة,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE PRIMAIRE EL MOSTAKBAL,مدرسة المستقبل الابتدائية,LOTISSEMENT ALKHAIR  BIR CHIFA COMMUNE BNI MAKADA,تجزئة الخير بئر الشفا  بني مكادة,Bni Makada (Arrond.),Préfecture: Tanger-Assila,عمالة طنجة-أصيلة,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
LA NOUVELLE ECOLE PRIMAIRE,المدرسة الجديدة الابتدائية,LOTISSEMENT AL MAJD COMMUNE BNI MAKADA,زنقة 9 تجزئة المجد بني مكادة,Bni Makada (Arrond.),Préfecture: Tanger-Assila,عمالة طنجة-أصيلة,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
ECOLE PRIMAIRE EL BADIA, مدرسة البديع الابتدائية,QUARTIER ACHENNAD lmars COMMUNE BNI MAKADA,حي أشناد المرس بني مكادة,Bni Makada (Arrond.),Préfecture: Tanger-Assila,عمالة طنجة-أصيلة,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
ECOLE PRIMAIRE ABDELLAH IBRAHIM, مدرسة عبد الله إبراهيم الابتدائية,QUARTIER BIR CHIFA COMMUNE BNI MAKADA,حي بئر الشفا بني مكادة,Bni Makada (Arrond.),Préfecture: Tanger-Assila,عمالة طنجة-أصيلة,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
ECOLE PRIMAIRE EL FATH, مدرسة الفتح الابتدائية,QUARTIER BIR CHIFA COMMUNE BNI MAKADA,بوحوت 03شارع الكويت طنجة,Bni Makada (Arrond.),Préfecture: Tanger-Assila,عمالة طنجة-أصيلة,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
ECOLE PRIMAIRE AL AMAL,المدرسة الابتدائية الأمـــل,HAY AL AMAL COMMUNE SAIS,حي الأمل,Saiss (Arrond.),Préfecture: Fès,عمالة فاس,Fès-Meknès,فاس-مكناس,,,PUBLIC,MENPS 2023
SS TALAT EL AMAL,م.م ثلاث الأمل,DOUAR TALAT COMMUNE TAGOUNITE,دوار ثلاث.جماعة تاگونيت,Tagounite,Province: Zagora,إقليم زاكورة,Drâa-Tafilalet,درعة-تافيلالت,,,PUBLIC,MENPS 2023
E ZAITOUNA,م. الزيتونة   ,CENTRE AGDEZ,مركز أكدز,Agdz (Mun.),Province: Zagora,إقليم زاكورة,Drâa-Tafilalet,درعة-تافيلالت,,,PUBLIC,MENPS 2023
OUANCHAKRIR,ونشكرير,DOUAR OUNCHAKRIR  COMMUNE LALLA AAZIZA,دوار ونشكرير,Lalla Aaziza,Province: Chichaoua,إقليم شيشاوة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
ECOLE TAHER AL IFRANI,مدرسة الطاهر الافراني,DOUAR LABDOUA COMMUNE TEMSIA,دوار البدوع,Temsia,Préfecture: Inezgane- Ait,عمالة إنزكان-آيت ملول,Souss-Massa,سوس-ماسة,,,PUBLIC,MENPS 2023
FATIMA EL FIHRYA,فاطمة الفهرية,HAY AL ALAOUYINE ROUTE EL OUAHDA  TAZA EL JADIDA,حي العلويين طريق الوحدة تازة الجديدة,Taza (Mun.),Province: Taza,إقليم تازة,Fès-Meknès,فاس-مكناس,,,PUBLIC,MENPS 2023
SS TIMASNINE IDORANE,م.م تماسنين-إضـوران,DOUAR IDORANE              COMMUNE  TAMRI,دوار اضـوران  جماعة التامـري,Tamri,Préfecture: Agadir-Ida -O,عمالة أكادير-إداو أوتنان,Souss-Massa,سوس-ماسة,,,PUBLIC,MENPS 2023
ECOLE PRIMAIRE IBN ZOHR,المدرسة الابتدائية ابن زهر,hay el fath,حي الفتح,Es-semara (Mun.),Province: Es-Semara,إقليم السمارة,Laayoune-Sakia El Hamra,العيون-الساقية الحمراء,,,PUBLIC,MENPS 2023
ECOLE  JAMAL EDDINE LAMHIYAOUI,مدرسة جمال الدين المهياوي,HAY EL WALAA EL KARIA,حي الولاء القرية,Hssaine (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
E HASSANE IBN THABIT,"م,حسان بن ثابت",Hay Bikharbichen    COMMUNE  AOURIR,حي بيخريبيشن جماعة أورير,Aourir,Préfecture: Agadir-Ida -O,عمالة أكادير-إداو أوتنان,Souss-Massa,سوس-ماسة,,,PUBLIC,MENPS 2023
