Total Enrolment in Mainstream National Schools by Standard (Incl. Special Classes),,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,County Description,Local Authority Description,DEIS (Y/N),Gaeltacht Indicator (Y/N),Ethos Description,Junior Infants,Senior Infants,First Class,Second Class,Third Class,Fourth Class,Fifth Class,Sixth Class,Special Class,Enrolment per Return
2024,14829M,Scoil San Eoin,Wicklow,Wicklow County Council,N,N,Catholic,7,8,6,8,4,4,4,3,,44
2024,14830U,BAREFIELD MIXED N S,Clare,Clare County Council,N,N,Catholic,50,52,46,51,48,56,41,55,,399
2024,14837L,S N PEADAR AGUS POL,Carlow,Carlow County Council,N,N,Catholic,23,32,30,26,23,44,35,37,,250
2024,14838N,MARYBORO N S,Laois,Laois County Council,N,N,Church Of Ireland,10,10,12,13,10,13,12,13,,93
2024,14839P,CLONDROHID N S,Cork,Cork County Council,N,N,Catholic,31,40,28,34,29,31,33,25,18,269
2024,14863M,ACHILL SOUND CONVENT NS,Mayo,Mayo County Council,Y,Y,Catholic,4,1,1,2,1,3,2,,,14
2024,14873P,DOOKINELLA N.S.,Mayo,Mayo County Council,Y,N,Catholic,4,5,3,1,2,7,3,3,,28
2024,14898I,DRUMEELA N S,Leitrim,Leitrim County Council,Y,N,Catholic,3,2,5,2,5,2,4,4,,27
2024,14900P,GUSSERANE N S,Wexford,Wexford County Council,N,N,Catholic,5,7,7,12,10,8,15,11,,75
2024,14903V,ST JOSEPHS N S,Wexford,Wexford County Council,N,N,Catholic,26,26,25,19,21,30,35,23,,205
2024,14909K,ST LEONARDS N S,Wexford,Wexford County Council,N,N,Catholic,21,8,11,18,16,10,19,9,,112
2024,14910S,St Mary's National School,Donegal,Donegal County Council,Y,N,Catholic,15,25,16,21,21,15,18,17,3,151
2024,14917J,ZION PARISH PRIMARY SCHOOL,Dublin,Dublin City Council,N,N,Church Of Ireland,12,12,14,12,14,11,9,13,,97
2024,14925I,S N NAOMH EOIN,Roscommon,Roscommon County Council,N,N,Catholic,5,7,7,7,8,4,5,5,,48
2024,14939T,RATHFARNHAM PARISH N S,Dublin,South Dublin County Council,N,N,Church Of Ireland,28,28,27,28,30,28,23,28,,220
2024,14941G,RAY N S,Donegal,Donegal County Council,Y,N,Church Of Ireland,9,7,8,4,12,5,5,10,,60
2024,14952L,MUIRE GAN SMAL,Kerry,Kerry County Council,Y,N,Catholic,20,15,20,9,9,14,11,4,15,117
2024,14966W,KILTEEVAN N S,Roscommon,Roscommon County Council,Y,N,Catholic,3,4,6,4,3,3,6,7,,36
2024,14972R,ALL SAINTS NATIONAL SCHOOL,Wicklow,Wicklow County Council,Y,N,Church Of Ireland,2,4,3,6,2,,4,7,,28
2024,14980Q,GLASNEVIN N S,Dublin,Dublin City Council,N,N,Church Of Ireland,9,14,11,12,8,7,16,9,,86
2024,14987H,S N AN CHLOCHAN,Kerry,Kerry County Council,N,Y,Catholic,6,9,10,3,9,5,3,6,,51
2024,14989L,PASSAGE EAST N S,Waterford,Waterford County Council,N,N,Catholic,10,6,12,12,10,15,13,14,12,104
2024,14993C,S N Rae na nDoiri,Cork,Cork County Council,N,Y,Catholic,2,2,2,2,2,7,3,1,,21
2024,14998M,LYRE A CROMPANE N S,Kerry,Kerry County Council,Y,N,Multi Denominational,4,4,3,1,3,4,3,4,,26
2024,15004P,SCOIL ASICUS,Sligo,Sligo County Council,N,N,Catholic,26,41,34,36,29,37,23,29,,255
2024,15008A,SHRONELL N S,Tipperary,Tipperary (Sr) County Council,N,N,Catholic,8,6,7,3,9,5,9,7,,54
2024,15014S,CORCLOUGH NS,Mayo,Mayo County Council,Y,Y,Catholic,10,13,10,8,10,12,10,6,,79
2024,15027E,S N na hEaglaise,Galway,Galway County Council,Y,N,Catholic,9,7,9,5,12,9,4,9,,64
2024,15030Q,ST MARYS N S,Mayo,Mayo County Council,Y,N,Catholic,14,6,15,13,12,11,14,10,,95
2024,15033W,S N TREASA NAOFA MXD,Kerry,Kerry County Council,N,N,Catholic,10,14,11,10,16,14,17,15,,107
2024,15040T,MERCY CONVENT PRIMARY SCHOOL,Kildare,Kildare County Council,N,N,Catholic,88,68,92,70,56,80,81,63,,598
2024,15042A,ENNIS N S,Clare,Clare County Council,N,N,Catholic,79,64,79,70,76,76,81,76,21,622
2024,15045G,S N NAOMH PADRAIG,Roscommon,Roscommon County Council,Y,N,Catholic,,,,,10,15,9,15,,49
2024,15046I,ST STEPHENS N S,Waterford,Waterford City Council,Y,N,Catholic,44,42,47,49,43,47,50,53,,375
2024,15056L,S N SAN VINSEANN CAILIN,Dublin,Dublin City Council,Y,N,Catholic,28,20,25,27,24,22,41,19,6,212
2024,15071H,S N CILLINI DIOMA,Galway,Galway County Council,N,N,Catholic,18,13,21,20,22,15,18,11,,138
2024,15101N,KNOCKBRIDGE MIXED N S,Louth,Louth County Council,N,N,Catholic,37,42,23,32,47,45,29,51,,306
2024,15104T,SCOIL BHRÍDE,Meath,Meath County Council,N,N,Catholic,54,47,55,43,51,41,49,46,,386
2024,15113U,S N SHEAMAIS,Mayo,Mayo County Council,Y,N,Catholic,2,3,1,2,4,2,1,6,,21
2024,15116D,ARDVARNEY MXD N S,Leitrim,Leitrim County Council,Y,N,Catholic,4,2,5,5,4,3,6,3,,32
2024,15120R,KILLYCONNAN N S,Cavan,Cavan County Council,N,N,Catholic,5,11,8,6,11,11,10,7,,69
2024,15122V,ST BERNARDS MIXED N S,Longford,Longford County Council,Y,N,Catholic,2,5,2,3,5,4,2,2,,25
2024,15132B,HAROLD BOYS N S,Dublin,Dun Laoghaire Rathdown,N,N,Catholic,,,,19,25,22,26,21,,113
2024,15140A,BALLINAGREE MXD N S,Cork,Cork County Council,N,N,Catholic,9,4,9,11,10,3,7,6,,59
2024,15142E,NAOMH MICHEAL,Monaghan,Monaghan County Council,N,N,Catholic,17,11,18,7,18,13,9,14,2,109
2024,15143G,LISDOONAN N S,Monaghan,Monaghan County Council,N,N,Catholic,20,20,15,19,22,21,24,15,,156
2024,15154L,NAOMH DOMINIC N S,Longford,Longford County Council,N,N,Catholic,11,14,15,16,15,17,12,19,,119
2024,15157R,MOUNT BRUIS N S,Tipperary,Tipperary (Sr) County Council,N,N,Catholic,3,5,8,5,10,12,10,9,,62
2024,15160G,THE ROWER MIXED N S,Kilkenny,Kilkenny County Council,N,N,Catholic,16,9,19,16,12,13,19,19,,123
2024,15165Q,BALLINTOTAS N S,Cork,Cork County Council,N,N,Catholic,10,13,9,12,13,19,14,16,,106
2024,15170J,CASHELSHANAGHAN N S,Donegal,Donegal County Council,N,N,Presbyterian,4,4,3,3,2,2,6,7,,31
2024,15177A,CARRIGDUFF NAT SCHOOL,Carlow,Carlow County Council,N,N,Church Of Ireland,14,9,12,9,10,11,15,11,,91
2024,15194A,NAOMH CAILLIN,Leitrim,Leitrim County Council,N,N,Catholic,16,10,10,13,19,11,19,4,,102
2024,15208I,Scoil an tStratha Mhóir,Donegal,Donegal County Council,Y,Y,Catholic,4,8,9,8,16,6,11,8,,70
2024,15217J,ARDKEERIN N S,Sligo,Sligo County Council,N,N,Catholic,19,14,16,16,11,16,10,16,,118
2024,15221A,ANNAGH N S,Clare,Clare County Council,Y,N,Catholic,9,9,11,9,10,9,15,6,,78
2024,15226K,CAHERLINE N S,Limerick,Limerick County Council,N,N,Catholic,15,18,19,18,38,23,23,21,,175
2024,15253N,ST PATRICKS GIRLS NS,Dublin,Dublin City Council,Y,N,Catholic,15,12,20,19,14,19,21,28,,148
2024,15255R,DON N S,Roscommon,Roscommon County Council,Y,N,Catholic,5,5,7,7,4,6,1,8,,43
2024,15257V,QUIGNAMANGER N S,Mayo,Mayo County Council,N,N,Catholic,44,38,44,44,65,48,39,42,,364
2024,15259C,S N N MAOLMHAODHAGH C,Louth,Louth County Council,N,N,Catholic,,,,41,47,34,67,41,,230
2024,15260K,S N N MAOLMHAODHAGH N,Louth,Louth County Council,N,N,Catholic,70,69,76,,,,,,,215
2024,15279I,CLOONEY N S,Clare,Clare County Council,N,N,Catholic,9,7,2,4,9,6,5,9,,51
2024,15284B,TANEY N S,Dublin,Dun Laoghaire Rathdown,N,N,Church Of Ireland,48,46,50,53,48,52,42,50,,389
2024,15285D,Scoil na gCreagacha Dubha,Louth,Louth County Council,N,N,Catholic,69,56,50,60,67,51,61,60,,474
2024,15291V,STREAMSTOWN MIXED N S,Westmeath,Westmeath County Council,N,N,Catholic,18,7,12,18,10,13,18,6,,102
2024,15299O,GAILE N S,Tipperary,Tipperary (Sr) County Council,Y,N,Catholic,1,5,2,4,4,5,3,3,6,33
2024,15301V,KILDYSART N S,Clare,Clare County Council,N,N,Catholic,7,13,20,6,18,22,16,10,,112
2024,15307K,DALYSTOWN N S,Westmeath,Westmeath County Council,N,N,Catholic,7,11,10,10,10,5,14,16,,83
2024,15308M,ATHLEAGUE N S,Roscommon,Roscommon County Council,N,N,Catholic,15,12,16,12,8,17,12,16,,108
2024,15315J,ST GEORGES N S,Dublin,Fingal County Council,N,N,Church Of Ireland,19,24,40,24,47,45,64,53,18,334
2024,15318P,GLENBEG N S,Waterford,Waterford County Council,N,N,Catholic,13,16,10,19,23,15,21,17,11,145
2024,15320C,ST MICHAELS NS,Limerick,Limerick City Council,Y,N,Catholic,33,40,42,,,,,,,115
2024,15325M,CLONBULLOGUE N S,Offaly,Offaly County Council,N,N,Catholic,10,14,16,8,7,11,15,11,,92
2024,15329U,Bunscoil Louis Naofa,Monaghan,Monaghan County Council,N,N,Catholic,31,28,28,32,34,38,38,38,,267
2024,15331H,S N BAILE NUA,Galway,Galway County Council,N,Y,Catholic,9,7,10,7,14,6,11,6,,70
2024,15337T,S N MHUIRE,Sligo,Sligo County Council,N,N,Catholic,4,4,3,3,4,,4,2,,24
2024,15340I,CARIGEEN N S,Kilkenny,Kilkenny County Council,N,N,Catholic,14,19,8,11,14,18,19,19,4,126
2024,15342M,S N NAOMH MHUIRE,Sligo,Sligo County Council,N,N,Catholic,3,,8,5,8,7,10,7,,48
2024,15346U,Scoil Abán Naofa,Cork,Cork County Council,N,Y,Catholic,14,23,16,23,16,13,17,19,,141
2024,15350L,STONEHALL N S,Clare,Clare County Council,N,N,Catholic,11,7,13,14,14,14,13,7,6,99
2024,15354T,CAMOLIN N S,Wexford,Wexford County Council,Y,N,Catholic,11,7,9,14,6,16,10,13,,86
2024,15359G,SHILLELAGH NO 1 N S,Wicklow,Wicklow County Council,N,N,Church Of Ireland,1,3,4,,2,2,8,2,,22
2024,15362S,S N MICHIL NAOFA,Tipperary,Tipperary (Sr) County Council,Y,N,Catholic,21,14,20,21,10,20,15,21,,142
2024,15367F,RIVERCHAPEL N S,Wexford,Wexford County Council,Y,N,Catholic,36,36,34,37,44,43,38,36,,304
2024,15370R,KILLALOE BOYS N S,Clare,Clare County Council,Y,N,Catholic,8,11,15,15,19,13,11,19,,111
2024,15378K,ROCKFIELD N S,Sligo,Sligo County Council,N,N,Catholic,23,22,23,21,18,24,24,32,,187
2024,15380U,DROMAGH MIXED N S,Cork,Cork County Council,N,N,Catholic,3,5,,3,,,9,1,,21
2024,15382B,DRUMLEASE N S,Leitrim,Leitrim County Council,N,N,Catholic,12,15,17,28,21,24,18,15,,150
2024,15395K,MOUNT BOLUS N S,Offaly,Offaly County Council,N,N,Catholic,3,2,6,3,,7,1,4,,26
2024,15407O,SN BAILE THOMAIS,Wexford,Wexford County Council,N,N,Catholic,9,7,13,6,8,7,2,9,,61
2024,15408Q,CONNOLLY N S,Clare,Clare County Council,N,N,Catholic,1,3,5,3,3,5,4,8,,32
2024,15410D,KILCROHANE N S,Cork,Cork County Council,N,N,Catholic,5,2,3,4,4,4,5,4,,31
2024,15413J,BRIDESWELL N S,Roscommon,Roscommon County Council,N,N,Catholic,9,12,6,8,11,7,5,5,,63
2024,15419V,OULART N S,Wexford,Wexford County Council,N,N,Catholic,13,14,12,15,15,25,16,28,,138
2024,15420G,BALLYCANEW N S,Wexford,Wexford County Council,Y,N,Catholic,21,28,21,26,30,31,25,30,18,230
2024,15425Q,FAIRYMOUNT N S,Roscommon,Roscommon County Council,Y,N,Catholic,5,2,10,4,4,2,6,5,,38
2024,15431L,KILLAVILLE N S,Sligo,Sligo County Council,Y,N,Catholic,1,3,1,1,4,2,,4,,16
2024,15446B,TRUMMERA N S,Laois,Laois County Council,N,N,Catholic,6,9,1,5,6,5,3,6,,41
2024,15452T,KILDALLON N S,Cavan,Cavan County Council,N,N,Catholic,4,9,5,4,7,5,5,8,,47
2024,15456E,BALLYSHANNON N S,Kildare,Kildare County Council,N,N,Catholic,10,11,19,12,15,24,10,22,,123
2024,15475I,KILCONLY N S,Galway,Galway County Council,N,N,Catholic,13,10,10,12,10,11,15,14,,95
2024,15483H,ST LOUIS N S,Meath,Meath County Council,N,N,Catholic,1,,,2,1,2,1,6,,13
2024,15484J,GLOUNTHAUNE MIXED N.S.,Cork,Cork County Council,N,N,Catholic,47,51,57,49,52,55,54,54,13,432
2024,15496Q,LEAFFONEY N S,Sligo,Sligo County Council,N,N,Church Of Ireland,,1,,,2,2,1,2,,8
2024,15502I,KILLINKERE N S,Cavan,Cavan County Council,N,N,Catholic,24,20,20,21,24,23,24,28,,184
2024,15512L,ST BRIGID'S PRIMARY SCHOOL,Westmeath,Westmeath County Council,N,N,Catholic,24,51,41,25,19,17,28,19,,224
2024,15516T,CLONPRIEST N S,Cork,Cork County Council,N,N,Catholic,25,16,17,16,20,13,16,19,,142
2024,15523Q,S N NAOMH IOSEF,Galway,Galway County Council,N,N,Catholic,23,40,36,32,28,52,44,49,12,316
2024,15531P,"SCOIL MHUIRE,",Roscommon,Roscommon County Council,N,N,Catholic,17,10,11,18,17,17,13,16,,119
2024,15537E,S N BAILE FINN,Laois,Laois County Council,N,N,Catholic,26,20,27,29,25,26,28,33,,214
2024,15539I,ST JOHNS NS,Mayo,Mayo County Council,Y,N,Catholic,5,3,2,5,7,4,1,5,,32
2024,15540Q,BALLYDUFF B 2 N S,Waterford,Waterford County Council,N,N,Catholic,12,13,10,14,14,11,15,18,,107
2024,15543W,TIBOHINE N S,Roscommon,Roscommon County Council,Y,N,Catholic,11,5,8,9,4,7,5,8,,57
2024,15545D,CASTLEPLUNKETT N S,Roscommon,Roscommon County Council,N,N,Catholic,4,4,5,7,4,3,5,5,,37
2024,15550T,BALLYHEEDA N S,Cork,Cork County Council,N,N,Catholic,20,19,15,26,16,25,16,21,6,164
2024,15554E,GORTNACART N S,Donegal,Donegal County Council,Y,N,Catholic,4,5,3,1,4,1,4,5,,27
2024,15555G,SCOIL CHOLMCILLE,Mayo,Mayo County Council,N,N,Catholic,26,28,31,27,33,29,29,29,,232
2024,15556I,PRESENTATION PRIMARY SCHOOL,Laois,Laois County Council,N,N,Catholic,41,41,47,56,66,75,91,75,17,509
2024,15557K,CLOONFAD N S,Roscommon,Roscommon County Council,Y,N,Catholic,15,8,15,16,16,20,22,21,,133
2024,15560W,Bishop Harty NS,Tipperary,Tipperary (Nr) County Council,N,N,Catholic,5,15,9,17,12,10,9,10,,87
2024,15562D,CLOCH AN TSIONNAIGH N S,Laois,Laois County Council,N,N,Catholic,11,4,9,5,9,7,9,10,,64
2024,15563F,LISHEEN MIXED N S,Cork,Cork County Council,N,N,Catholic,4,6,6,11,4,8,9,8,,56
2024,15569R,SCOIL MOIBHI,Dublin,Fingal County Council,N,N,Catholic,8,15,10,13,14,7,7,10,,84
2024,15571E,KILGLASS N S,Sligo,Sligo County Council,Y,N,Catholic,20,14,12,14,10,15,11,19,,115
2024,15584N,GRANGE N S,Roscommon,Roscommon County Council,N,N,Catholic,5,4,3,3,5,3,3,5,,31
2024,15592M,SN CEANN TRA MEASCAITHE,Kerry,Kerry County Council,N,Y,Catholic,14,7,11,5,6,10,2,12,,67
2024,15594Q,GRANGE FERMOY N S,Cork,Cork County Council,N,N,Catholic,18,8,16,16,22,15,12,18,5,130
2024,15597W,MACROOM BOYS SENIOR NATIONAL SCHOOL,Cork,Cork County Council,N,N,Catholic,5,3,,26,31,38,41,31,17,192
2024,15614T,TAUGHMACONNELL N S,Roscommon,Roscommon County Council,N,N,Catholic,14,7,15,18,14,12,14,12,,106
2024,15618E,SANDFORD PARISH NATIONAL SCHOOL,Dublin,Dublin City Council,N,N,Church Of Ireland,16,23,24,26,30,27,30,24,,200
2024,15622S,ST PATRICKS NS,Dublin,Dublin City Council,N,N,Catholic,25,25,29,27,24,22,26,24,,202
2024,15625B,ST CATHERINES WEST N S,Dublin,Dublin City Council,N,N,Church Of Ireland,24,25,22,22,26,24,22,22,,187
2024,15627F,ST MURAS N S,Donegal,Donegal County Council,N,N,Catholic,22,20,31,27,23,29,27,26,,205
2024,15638K,EDENDERRY 2 N S,Offaly,Offaly County Council,N,N,Church Of Ireland,3,8,2,4,7,9,6,8,,47
2024,15644F,TIERNABOUL N S,Kerry,Kerry County Council,N,N,Catholic,3,9,5,9,11,6,7,13,,63
2024,15646J,COOMHOLA N S,Cork,Cork County Council,N,N,Catholic,18,11,11,10,11,11,10,16,,98
2024,15650A,CORDUFF N S,Dublin,Fingal County Council,N,N,Catholic,10,10,10,13,10,13,9,15,,90
2024,15654I,KNOCKCONNON N S,Monaghan,Monaghan County Council,N,N,Catholic,16,8,20,13,18,16,11,15,,117
2024,15656M,BALLYKILMURRY N S,Offaly,Offaly County Council,N,N,Catholic,22,25,22,19,23,24,24,25,11,195
2024,15664L,GRANLAHAN G N S,Roscommon,Roscommon County Council,Y,N,Catholic,5,8,4,3,6,6,5,4,5,46
2024,15676S,PADRAIG NAOFA N S,Wicklow,Wicklow County Council,Y,N,Catholic,29,41,35,52,40,51,49,46,26,369
2024,15680J,Scoil an Spioraid Naomh,Limerick,Limerick County Council,N,N,Catholic,31,40,26,38,43,26,30,32,,266
2024,15685T,ATHEA N SCHOOL,Limerick,Limerick County Council,N,N,Catholic,23,17,28,19,10,21,17,9,17,161
2024,15692Q,BILBOA N SCHOOL,Limerick,Limerick County Council,N,N,Catholic,10,11,11,12,11,17,12,12,,96
2024,15696B,SILVERMINES N S,Tipperary,Tipperary (Nr) County Council,N,N,Catholic,7,10,7,6,7,6,5,6,,54
2024,15700M,CLOVERFIELD N S,Limerick,Limerick County Council,N,N,Catholic,4,2,9,5,9,8,3,7,,47
2024,15701O,BARTLEMY N S,Cork,Cork County Council,N,N,Catholic,10,4,5,9,12,12,21,15,6,94
2024,15718I,S N SEOSAMH COBH,Cork,Cork County Council,N,N,Catholic,21,21,23,39,34,40,51,37,7,273
2024,15729N,RATHMULLEN N S,Donegal,Donegal County Council,Y,N,Catholic,11,18,16,21,11,16,11,18,,122
2024,15763N,MOVILLE N S,Donegal,Donegal County Council,N,N,Church Of Ireland,5,3,6,5,2,7,3,6,,37
2024,15769C,MONASTEREVAN CONVENT,Kildare,Kildare County Council,N,N,Catholic,78,70,34,41,36,43,31,43,6,382
2024,15770K,S N NAOMH NAILLE,Donegal,Donegal County Council,N,N,Catholic,19,12,12,20,14,12,10,11,,110
2024,15778D,ST MARYS N S,Tipperary,Tipperary (Nr) County Council,N,N,Church Of Ireland,2,9,8,10,8,8,7,7,,59
2024,15781P,BALLINTEMPLE N S,Cork,Cork City Council,N,N,Catholic,30,27,30,29,55,29,26,28,,254
2024,15792U,UPPER GLANMIRE N S,Cork,Cork City Council,N,N,Catholic,26,33,35,30,43,40,41,43,,291
2024,15795D,ST MARYS N S,Tipperary,Tipperary (Nr) County Council,Y,N,Church Of Ireland,2,3,3,5,3,2,1,5,,24
2024,15796F,S N COR AN DROMA,Galway,Galway County Council,N,N,Catholic,7,4,10,5,9,9,12,10,3,69
2024,15816I,ST VINCENTS INF BOYS,Dublin,Dublin City Council,Y,N,Catholic,36,25,28,,,,,,,89
2024,15835M,ST BRENDANS N S,Galway,Galway County Council,N,N,Catholic,,,26,40,34,37,42,47,,226
2024,15847T,S N LEITIR MHIC AN BHAIRD,Donegal,Donegal County Council,Y,Y,Catholic,1,4,2,3,1,1,,7,,19
2024,15866A,CARRAKENNEDY N S,Mayo,Mayo County Council,Y,N,Catholic,6,4,3,3,2,5,5,2,,30
2024,15870O,SCOIL CHONNLA PHADRAIG,Kildare,Kildare County Council,N,N,Catholic,,,,60,42,74,53,75,,304
2024,15878H,DERRYQUAY MXD N S,Kerry,Kerry County Council,N,N,Catholic,4,8,4,4,4,,2,3,5,34
2024,15895H,DRUMCONDRA N S,Dublin,Dublin City Council,N,N,Church Of Ireland,7,10,7,11,8,9,11,7,,70
2024,15900U,THE GLEBE N.S.,Galway,Galway County Council,N,N,Church Of Ireland,2,3,3,3,1,1,2,2,,17
2024,15903D,KILLAVULLEN N S,Cork,Cork County Council,N,N,Catholic,8,12,7,16,19,13,18,20,,113
2024,15923J,CLONEYHURKE N S,Offaly,Offaly County Council,N,N,Catholic,2,1,4,2,2,3,5,3,,22
2024,15933M,CAMROSS N S,Laois,Laois County Council,N,N,Catholic,24,15,19,20,18,19,17,4,,136
2024,15937U,MONASEED N S,Wexford,Wexford County Council,N,N,Catholic,3,1,12,6,5,7,12,4,,50
2024,15940J,TOMBRACK N S,Wexford,Wexford County Council,N,N,Catholic,5,7,6,8,8,11,6,2,,53
2024,15945T,FIRIES MXD N S,Kerry,Kerry County Council,N,N,Catholic,31,30,39,29,30,33,31,35,,258
2024,15955W,SN ARAINN MHOR I,Donegal,Donegal County Council,Y,Y,Catholic,3,,1,2,3,3,4,6,,22
2024,15957D,RATHANGAN B N S,Kildare,Kildare County Council,N,N,Catholic,36,42,26,41,43,43,42,41,5,319
2024,15958F,ST. JOSEPHS N.S.,Galway,Galway County Council,Y,N,Catholic,5,7,3,10,1,7,9,5,5,52
2024,15960P,GORTLETTERAGH CENTRAL,Leitrim,Leitrim County Council,N,N,Catholic,10,10,10,12,11,4,9,11,,77
2024,15962T,BALLINDAGGIN N S,Wexford,Wexford County Council,N,N,Catholic,21,8,19,13,12,18,17,25,,133
2024,15963V,RATHGORMACK B N S,Waterford,Waterford County Council,N,N,Catholic,11,13,13,15,16,16,20,20,,124
2024,15967G,CRIMLIN N S,Mayo,Mayo County Council,N,N,Catholic,3,6,2,5,,6,3,2,,27
2024,15970S,BALLYTARSNA N S,Tipperary,Tipperary (Sr) County Council,N,N,Catholic,14,6,9,8,10,12,12,7,,78
2024,15978L,CURRAHEEN MXD N S,Kerry,Kerry County Council,Y,N,Catholic,6,7,7,1,6,5,6,5,,43
2024,15980V,CAMCLOON N S,Roscommon,Roscommon County Council,N,N,Catholic,5,6,9,6,5,12,5,5,3,56
2024,15981A,LAKYLE N S,Clare,Clare County Council,N,N,Catholic,,,7,5,7,11,13,10,,53
2024,15983E,S N NAOMH BROGAIN,Offaly,Offaly County Council,Y,N,Catholic,9,7,10,10,7,9,7,12,6,77
2024,15995L,Star of the Sea,Dublin,Dublin City Council,N,N,Catholic,25,29,30,31,32,22,27,24,6,226
2024,15996N,RATHBANE N S,Mayo,Mayo County Council,N,N,Catholic,9,4,12,8,12,2,9,4,,60
2024,15997P,ST BRENDAN'S N.S.,Galway,Galway County Council,Y,N,Catholic,2,11,7,2,10,7,5,7,,51
2024,16009H,CARRICK MIXED N S,Roscommon,Roscommon County Council,Y,N,Catholic,10,8,8,11,10,11,11,13,,82
2024,16013V,EDENDERRY CONVENT N S,Offaly,Offaly County Council,N,N,Catholic,44,55,45,47,44,69,59,40,12,415
2024,16014A,ST FINIANS,Kerry,Kerry County Council,N,N,Catholic,9,16,12,22,12,20,5,11,,107
2024,16023B,RATHGAROGUE N S,Wexford,Wexford County Council,N,N,Catholic,16,18,15,12,19,25,30,15,12,162
2024,16027J,S N MUIRE,Wicklow,Wicklow County Council,Y,N,Catholic,10,5,7,8,12,5,13,5,,65
2024,16034G,TULSK N S,Roscommon,Roscommon County Council,N,N,Catholic,6,7,8,12,5,10,11,14,,73
2024,16044J,KILROSS N S,Sligo,Sligo County Council,N,N,Catholic,3,5,3,9,8,2,4,2,,36
2024,16052I,S N NAOMH PADRAIG SAILE,Mayo,Mayo County Council,Y,Y,Catholic,10,12,6,9,8,6,6,2,,59
2024,16054M,ST PATRICKS N S,Donegal,Donegal County Council,Y,N,Catholic,26,21,17,20,23,12,20,15,6,160
2024,16057S,CONVENT OF MERCY N S,Cavan,Cavan County Council,Y,N,Catholic,24,32,27,21,17,14,13,16,,164
2024,16067V,SCOIL NAIS FININ NAOFA,Meath,Meath County Council,N,N,Catholic,15,2,11,6,6,4,11,6,,61
2024,16070K,MOUNTMELLICK BOYS N S,Laois,Laois County Council,Y,N,Catholic,20,22,24,21,24,26,28,33,5,203
2024,16072O,NEWBAWN N S,Wexford,Wexford County Council,N,N,Catholic,24,16,25,19,31,21,13,25,13,187
2024,16077B,ARDFINNAN N S,Tipperary,Tipperary (Sr) County Council,N,N,Catholic,31,35,25,25,25,33,30,25,12,241
2024,16080N,S N PHADRAIG NAOFA,Carlow,Carlow County Council,Y,N,Catholic,12,20,16,19,27,25,20,25,,164
2024,16083T,VIRGINIA MXD N S,Cavan,Cavan County Council,N,N,Catholic,55,62,60,68,53,56,61,60,6,481
2024,16087E,KEALKIL N S,Cork,Cork County Council,N,N,Catholic,23,26,22,22,21,24,30,26,,194
2024,16092U,ATHLONE N S,Westmeath,Westmeath County Council,N,N,Church Of Ireland,6,5,8,11,7,6,5,8,,56
2024,16093W,BALLYCONNELL MXD N S,Cavan,Cavan County Council,N,N,Catholic,22,22,20,25,29,20,23,25,18,204
2024,16100Q,MERCY CONVENT N S,Meath,Meath County Council,Y,N,Catholic,33,38,40,49,54,57,63,50,,384
2024,16108J,SCOIL NAOMH TREASA C,Donegal,Donegal County Council,Y,N,Catholic,7,5,2,7,7,9,9,12,,58
2024,16109L,Scoil Realt na Mara,Cork,Cork County Council,N,N,Catholic,11,19,8,11,11,10,11,8,,89
2024,16111V,KILLUSTY N S,Tipperary,Tipperary (Sr) County Council,N,N,Catholic,,3,2,,2,4,2,7,,20
2024,16112A,ST MARYS CONVENT,Tipperary,Tipperary (Nr) County Council,N,N,Catholic,29,35,41,49,40,50,55,50,15,364
2024,16113C,S N Toin na Gaoithe,Mayo,Mayo County Council,Y,Y,Catholic,1,10,3,12,9,9,6,8,,58
2024,16116I,S N NAOMH COLMAIN,Kilkenny,Kilkenny County Council,N,N,Catholic,26,22,27,29,23,25,22,29,6,209
2024,16118M,DONOUGHMORE N S,Limerick,Limerick County Council,N,N,Catholic,7,12,19,12,16,22,26,20,12,146
2024,16121B,ATTYMON N S,Galway,Galway County Council,N,N,Catholic,,,,,1,,,1,,2
2024,16122D,KNOCK N S,Mayo,Mayo County Council,Y,N,Catholic,15,15,9,17,16,15,20,22,18,147
2024,16127N,GORTHAGANNY N S,Roscommon,Roscommon County Council,Y,N,Catholic,6,6,7,6,4,9,3,8,,49
2024,16128P,Bunscoil na Toirbhirte,Cork,Cork County Council,N,N,Catholic,59,41,32,24,29,22,32,34,15,288
2024,16129R,CORCAGHAN N S,Monaghan,Monaghan County Council,N,N,Catholic,15,13,13,12,13,9,10,9,,94
2024,16130C,ST JOSEPHS N S,Leitrim,Leitrim County Council,N,N,Catholic,8,6,4,10,9,5,6,7,,55
2024,16136O,CLIFFONEY N S,Sligo,Sligo County Council,N,N,Catholic,10,9,15,6,15,9,7,12,,83
2024,16137Q,DRUMFAD N S,Donegal,Donegal County Council,Y,N,Presbyterian,5,4,3,5,5,2,5,7,,36
2024,16138S,RAPHOE CENTRAL N S,Donegal,Donegal County Council,Y,N,Church Of Ireland,29,12,26,19,23,20,31,27,,187
2024,16140F,SKEAGHVASTHEEN N S,Kilkenny,Kilkenny County Council,N,N,Catholic,7,9,8,11,11,15,9,11,,81
