Total Enrolment in Mainstream National Schools by Standard (Incl. Special Classes),,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,County Description,Local Authority Description,DEIS (Y/N),Gaeltacht Indicator (Y/N),Ethos Description,Junior Infants,Senior Infants,First Class,Second Class,Third Class,Fourth Class,Fifth Class,Sixth Class,Special Class,Enrolment per Return
2024,12339I,S N INIS MEADHOIN,Galway,Galway County Council,Y,Y,Catholic,3,5,1,2,1,3,2,1,,18
2024,12343W,SHINRONE MIXED N S,Offaly,Offaly County Council,Y,N,Catholic,20,15,19,16,14,13,15,13,6,131
2024,12349L,SN Mhuire na nAingeal,Tipperary,Tipperary (Sr) County Council,N,N,Catholic,54,60,52,51,40,39,52,44,,392
2024,12350T,SN na hAille,Mayo,Mayo County Council,N,N,Catholic,20,19,25,17,16,12,17,22,,148
2024,12354E,CLOGHER MXD N S,Kerry,Kerry County Council,N,N,Catholic,4,6,3,4,4,8,5,4,,38
2024,12358M,SWORDS BOROUGH N S,Dublin,Fingal County Council,N,N,Church Of Ireland,5,13,12,9,12,14,11,14,,90
2024,12368P,S N NAOMH PADRAIG,Limerick,Limerick County Council,N,N,Catholic,10,5,10,10,7,7,2,3,,54
2024,12370C,ST BRENDANS MONASTERY,Offaly,Offaly County Council,Y,N,Catholic,19,23,14,23,20,23,22,24,21,189
2024,12373I,S N EACHLEIME,Mayo,Mayo County Council,Y,Y,Catholic,10,4,7,9,5,4,10,7,,56
2024,12382J,CURRIGLASS NS,Cork,Cork County Council,N,N,Catholic,4,3,6,9,2,3,12,7,,46
2024,12383L,UNION HALL MIXED N S,Cork,Cork County Council,N,N,Catholic,5,6,11,9,7,9,12,10,,69
2024,12395S,RUSHEEN NS,Cork,Cork County Council,N,N,Catholic,10,6,6,7,14,7,15,13,,78
2024,12413R,DONAGHMORE N S,Wicklow,Wicklow County Council,N,N,Church Of Ireland,3,6,,7,1,8,,2,,27
2024,12446J,SN Gleann na hUladh,Cork,Cork County Council,N,N,Catholic,14,14,14,13,9,10,9,12,,95
2024,12447L,BALTYDANIEL N S,Cork,Cork County Council,N,N,Catholic,26,23,27,28,25,23,29,27,,208
2024,12448N,GARDINER STREET CONVENT,Dublin,Dublin City Council,Y,N,Catholic,31,32,36,37,44,40,51,42,,313
2024,12456M,TIMOLEAGUE N S,Cork,Cork County Council,N,N,Catholic,14,19,21,24,20,18,21,17,,154
2024,12467R,CRAGGAGH N S,Mayo,Mayo County Council,N,N,Catholic,1,3,1,2,2,1,,4,,14
2024,12473M,GREENMOUNT MONASTERY NS,Cork,Cork City Council,Y,N,Catholic,37,25,33,29,27,31,21,30,4,237
