,name,struct,addr,lat,lon
17562,Муниципальное образовательное учреждение Великовская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606224, Нижегородская область, Лысковский район, село Великовское, площадь Победы, дом 1",56.12051,45.35918
17563,Муниципальное образовательное учреждение Богородская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"606770, Нижегородская область, Варнавинский район, село Богородское",57.36143,45.00996
17564,Муниципальное образовательное учреждение Макарьевская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"606772, Нижегородская область, Варнавинский район, село Макарий",57.29446,45.00971
17565,Муниципальное образовательное учреждение Алтунинская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606168, Нижегородская область, Вачский район, деревня Алтунино, улица Школьная, дом 13",55.79656,42.63931
17566,Муниципальное образовательное учреждение Ягубовская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607433, Нижегородская область, Бутурлинский район, село Ягубовка",55.37643,44.70308
17567,Новоникольская основная общеобразовательная школа,(Государственное образовательное учреждение),"606771, Нижегородская область, Варнавинский район, село Новоникольское",57.34,44.80998
17568,Муниципальное образовательное учреждение Балахонихинская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607216, Нижегородская область, Арзамасский район, село Балахониха",55.48084,43.35596
17569,Муниципальное образовательное учреждение Чулковская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606149, Нижегородская область, Вачский район, село Чулково, улица Садовая, дом 2",55.80143,42.76386
17570,Муниципальное образовательное учреждение Ломовская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607027, Нижегородская область, Кулебакский район, село Ломовка",55.42227,42.79462
17571,Муниципальное образовательное учреждение Малиновская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"606235, Нижегородская область, Лысковский район, деревня Малиновка, улица Школьная, дом 74 а",55.96665,45.18434
17572,Муниципальное образовательное учреждение для детей дошкольного и младшего школьного возраста Никольская начальная школа-детский сад,(Муниципальное образовательное учреждение),"606237, Нижегородская область, Лысковский район, село Никольское, улица Завражная, дом 22",56.03968,45.06629
17573,Муниципальное образовательное учреждение средняя общеобразовательная школа села Безводное,(Муниципальное образовательное учреждение),"607242, Нижегородская область, Кстовский район, село Безводное",56.14336,44.33696
17574,Муниципальное образовательное учреждение средняя общеобразовательная школа села Новоликеево,(Муниципальное образовательное учреждение),"607676, Нижегородская область, Кстовский район, село Новоликеево, улица Ленина, дом 25",56.11728,44.2405
17575,Муниципальное образовательное учреждение для детей дошкольного и младшего школьного возраста Кичанзинская начальная школа-детский сад,(Муниципальное образовательное учреждение),"607257, Нижегородская область, Арзамасский район, село Кичанзино, улица Советская, дом 88",55.38479,43.78833
17576,Муниципальное образовательное учреждение Леньковская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606228, Нижегородская область, Лысковский район, село Леньково, улица Школьная, дом 1",55.96665,45.18434
17577,Муниципальное образовательное учреждение основная общеобразовательная школа поселка Волжский,(Муниципальное образовательное учреждение),"607697, Нижегородская область, Кстовский район, поселок Волжский",56.04425,44.5657
17578,"Муниципальное образовательное учреждение вечерняя (сменная) общеобразовательная школа район, ный поселка Выездное",(Муниципальное образовательное учреждение),"607247, Нижегородская область, Арзамасский район, район, ный поселок Выездное",55.38291,43.78879
17579,Муниципальное образовательное учреждение Барминская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606248, Нижегородская область, Лысковский район, село Бармино, улица Полевая, дом 2",56.01884,45.05378
17580,Муниципальное образовательное учреждение Берендеевская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606241, Нижегородская область, Лысковский район, село Берендеевка, улица Центральная, дом 21",56.08075,45.28795
17581,Муниципальное образовательное учреждение Чернухинская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"606240, Нижегородская область, Лысковский район, село Чернуха, улица Центральная, дом 50",56.03179,45.00771
17582,Муниципальное образовательное учреждение Протопоповская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"607266, Нижегородская область, Арзамасский район, село Протопоповка",55.48484,43.91513
17583,Муниципальное образовательное учреждение Семеновская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"607244, Нижегородская область, Арзамасский район, село Семеново",55.3667,43.54214
17584,Муниципальное образовательное учреждение средняя общеобразовательная школа поселка Сельхозтехника,(Муниципальное образовательное учреждение),"607247, Нижегородская область, Арзамасский район, поселок Сельхозтехника",55.35673,43.79381
17585,Муниципальное образовательное учреждение Мотовиловская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607204, Нижегородская область, Арзамасский район, село Мотовилово",55.58983,43.83493
17586,Муниципальное образовательное учреждение Пошатовский детский дом-школа,(Муниципальное образовательное учреждение),"607213, Нижегородская область, Арзамасский район, поселок Пошатово, улица Нагорная",55.63212,43.70494
17587,Муниципальное образовательное учреждение Никольская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607212, Нижегородская область, Арзамасский район, село Никольское",55.53253,43.58561
17588,Муниципальное образовательное учреждение Наумовская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607215, Нижегородская область, Арзамасский район, село Наумовка",55.6424,43.50576
17589,Муниципальное образовательное учреждение Пустынская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607214, Нижегородская область, Арзамасский район, село Пустынь",55.65865,43.60289
17590,Муниципальное образовательное учреждение Ичаловская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"607336, Нижегородская область, Дивеевский район, село Ичалово",55.17542,43.69101
17591,Муниципальное образовательное учреждение средняя общеобразовательная школа № 2 село Тумботино,(Муниципальное образовательное учреждение),"606130, Нижегородская область, Павловский район, район, ный поселок Тумботино, улица Школьная, дом 17",56.00172,43.03192
17592,Муниципальное образовательное учреждение средняя общеобразовательная школа село Грудцыно,(Муниципальное образовательное учреждение),"606118, Нижегородская область, Павловский район, село Грудцыно, улица Школьная, дом 20",55.96377,43.21587
