place_id,name,longitude,latitude,country,country_code,state,county,city,district,street,formatted
5154ed37453262534059a0ec756324774340f00102f90199003f4c0000000092031be5b88ce4be9de68f90e5a2a9e4b9a1e4b8ade5bf83e5b08fe5ada6,希依提墩乡中心小学,77.5343182607806,38.930797989444955,China,cn,Xinjiang,Makit County,Shehitdong,,S310,"希依提墩乡中心小学, S310, Makit County, Xinjiang, China"
517c99418b7909534059e627164fa17c4340f00102f901402c274000000000920318e88bb1e59089e6b299e58ebfe7acace4ba94e5b08fe5ada6,英吉沙县第五小学,76.14804345518309,38.97367275792912,China,cn,Xinjiang,Yengisar County,Ujme Town,,S214,"Yengisar County No.5 Primary School, S214, Yengisar County, Xinjiang, China"
515377df07a409534059f905f536887a4340f00102f901522c274000000000920318e88bb1e59089e6b299e58ebfe8818ce4b89ae9ab98e4b8ad,英吉沙县职业高中,76.15063664267409,38.957281942024515,China,cn,Xinjiang,Yengisar County,Yengisar,,S214,"英吉沙县职业高中, S214, Yengisar County, Xinjiang, China"
511b89913ef809534059706ea87cad794340f00102f901432c27400000000092031ee88bb1e59089e6b299e58ebfe789b9e6ae8ae69599e882b2e5ada6e6a0a1,英吉沙县特殊教育学校,76.15577663624246,38.95060690139951,China,cn,Xinjiang,Yengisar County,Yengisar,,S214,"英吉沙县特殊教育学校, S214, Yengisar County, Xinjiang, China"
51c3e3912eecef5340593e8166c691a24240f00103f901b640123e02000000920318e5a2a8e78e89e58d97e888aae6988ee78fa0e5b08fe5ada6,墨玉南航明珠小学,79.7487904,37.2700737,China,cn,Xinjiang,,Qaraqash County,,经四路,"墨玉南航明珠小学, 经四路, Xinjiang, China"
5188b67870a8ee534059f15fc57a29a34240f00102f901a53f6e3e00000000920315e5a2a8e78e89e58ebfe7acace59b9be5b08fe5ada6,墨玉县第四小学,79.72903072155361,37.27470335614624,China,cn,Xinjiang,,Qaraqash County,,英协海尔路,"墨玉县第四小学, 英协海尔路, Xinjiang, China"
51f49beb4ad0ed534059b67827b99aa04240f00102f901b2fb673900000000920315e5a2a8e78e89e58ebfe7acace585ade4b8ade5ada6,墨玉县第六中学,79.71583817490301,37.25472177913018,China,cn,Xinjiang,,Qaraqash County,,Yinhe North Road,"墨玉县第六中学, Yinhe North Road, Xinjiang, China"
511a55eafadcef5340598e0401a158a14240f00102f9019c3f6e3e00000000920315e5a2a8e78e89e58ebfe7acace585ade5b08fe5ada6,墨玉县第六小学,79.74786255725886,37.260517240044564,China,cn,Xinjiang,,Qaraqash County,,奥依巴格路,"墨玉县第六小学, 奥依巴格路, Xinjiang, China"
51b2304f37c9ef534059ed6486d211a04240f00102f901513cc52c00000000920315e5a2a8e78e89e58ebfe58c97e4baace4b8ade5ada6,墨玉县北京中学,79.74665625317974,37.250543895361126,China,cn,Xinjiang,,Qaraqash County,,火车站路,"墨玉县北京中学, 火车站路, Xinjiang, China"
51bc6973db91f6534059f0a99280e8a24240f00102f901e9e3305400000000,,79.85265241881183,37.272720405209725,China,cn,Xinjiang,Hotan County,Baihe,,民生路,"民生路, Hotan County, 848000 Xinjiang, China"
