Ville,District,Nom_Ecole,Type_Ecole,Statut,Adresse,Telephone
ADANA,CEYHAN,Ceyhan Özel Eğitim Uygulama Okulu III. Kademe,Diğer,Public,,
ADANA,CEYHAN,Ceyhan Polis Amca Anaokulu,Anaokulu,Public,,
ADANA,CEYHAN,Ceyhan Rehberlik ve Araştırma Merkezi,Diğer,Public,,
ADANA,CEYHAN,Ceyhan Şehit Tuncay Ateş İmam Hatip Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Ceyhan Ticaret Borsası Sosyal Bilimler Lisesi,Lise,Public,,
ADANA,CEYHAN,Cumhuriyet İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Dokuztekne Şehit Adem Çoban  İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Dokuztekne Şehit Adem Çoban Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Doruk Merkez İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Doruk Şehit Necip Un Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Dumlupınar İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Eczacı Bahattin-Sevinç Erdinç Fen Lisesi,Lise,Public,,
ADANA,CEYHAN,Fatih Sultan Mehmet İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Fevzi Çakmak Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Gazi Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Gaziosmanpaşa İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Güler Aral Anaokulu,Anaokulu,Public,,
ADANA,CEYHAN,Gümürdülü Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Gümürdülü Şehit Ali Fuat Haydaroğlu İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Gümüşdere İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Hafsa Sultan Anaokulu,Anaokulu,Public,,
ADANA,CEYHAN,Halil Çiftçi Anadolu Lisesi,Lise,Public,,
ADANA,CEYHAN,Hamdilli İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Hamdilli Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Hamidiye Anaokulu,Anaokulu,Public,,
ADANA,CEYHAN,Heydar Aliyev Mesleki ve Teknik Anadolu Lisesi,Lise,Public,,
ADANA,CEYHAN,İhsan Demirtaş İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,İlbeyli-Beyteks Mesleki ve Teknik Anadolu Lisesi,Lise,Public,,
ADANA,CEYHAN,İsmail-Ayşe Önük Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Kadir Sevil Aydar Anaokulu,Anaokulu,Public,,
ADANA,CEYHAN,Kasım Garipoğlu Anadolu Lisesi,Lise,Public,,
ADANA,CEYHAN,Kaymakam Gürbüz Karakuş Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Kıvrıklı İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Körkuyu İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Kösreli İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Kösreli Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Küçükmangıt İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Kurtkulağı Orhan Ekinci İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Kurtkulağı Orhan Ekinci Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Kuzucak İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Kuzucak Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Mehmet Akif Ersoy İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Mehmet Orhun Yaylacı Anadolu Lisesi,Lise,Public,,
ADANA,CEYHAN,Mehmetçik İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Mercimek Anaokulu,Anaokulu,Public,,
ADANA,CEYHAN,Mercimek Tevhide Atçı İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Mercimek Tevhide Atçı Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Mithatpaşa Şehit Battal Özaslan İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Mürüvvet - Mahmut Kayhan Anaokulu,Anaokulu,Public,,
ADANA,CEYHAN,Mustafabeyli İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Mustafabeyli Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Namık Kemal İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Necati Akçağlılar İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Nurhan Demirtaş Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Pamukeli Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Polis Amca Özel Eğitim Anaokulu,Anaokulu,Public,,
ADANA,CEYHAN,Remzi Oğuz Arık İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Şaban Üçgül ve Kardeşleri Mesleki ve Teknik Anadolu Lisesi,Lise,Public,,
