CODE_ETABLISSEMENT,CODE_AUTO,NOM_ETABLISSEMENT,NOM_ETABLISSEMENT_AR,TYPE,TYPE_AR,DELEGATION,DELEGATION_AR,GOUVERNORAT,GOUVERNORAT_AR,ZONE,ZONE_AR,LATITUDE,LONGITUDE,SOURCE
10100101,100101,E.P.BAB JEDID,م.إ.  باب الجديد,École Primaire Publique,مدرسة ابتدائية,TUNIS EL MADINA,تونس المدينة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.79216,10.173194,data.gov.tn 2024
10100104,100104,E.P.RUE EL MARR,م.إ.  نهج المر,École Primaire Publique,مدرسة ابتدائية,TUNIS EL MADINA,تونس المدينة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.473968,10.1075,data.gov.tn 2024
10100107,100107,E.P.ABD AZIZ LASREM,م.إ.  عبد العزيز الأصرم,École Primaire Publique,مدرسة ابتدائية,TUNIS EL MADINA,تونس المدينة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.796852,10.174021,data.gov.tn 2024
10100110,100110,E.P.7 RUE DOCTEUR CASSAR,م.إ.  نهج الحكيم كسار,École Primaire Publique,مدرسة ابتدائية,TUNIS EL MADINA,تونس المدينة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.80274,10.1699,data.gov.tn 2024
10100115,100115,E.P.AP.SADIKI RUE SINAN PACHA,م.إ.  الصادقية نهج سنان باشا,École Primaire Publique,مدرسة ابتدائية,TUNIS EL MADINA,تونس المدينة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.798828,10.166001,data.gov.tn 2024
10100116,100116,E.P.PLACE LEADER,م.إ.  ساحة معقل الزعيم,École Primaire Publique,مدرسة ابتدائية,TUNIS EL MADINA,تونس المدينة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.79269,10.164906,data.gov.tn 2024
10100301,100301,E.P.RUE CHARLES DE GAULLE,م.إ.  نهج شارل ديقول,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7946969999999,10.178131,data.gov.tn 2024
10100304,100304,E.P.17 RUE DE RUSSIE,م.إ.  نهج روسيا عدد17,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7945509999999,10.17733961,data.gov.tn 2024
10100307,100307,E.P.16 RUE EL IDRISSI,م.إ.  نهج الإدريسي,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.482663,10.103779,data.gov.tn 2024
10100309,100309,E.P.12.RUE ALI JELILI,م.إ.  12 نهج علي الجليلي,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.807989,10.179,data.gov.tn 2024
10100312,100312,E.P.18 RUE DE L'INDE,م.إ.  18 نهج الهند,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.811464,10.1823599999999,data.gov.tn 2024
10100314,100314,E.P.29 RUE DE MARSEILLE,م.إ.  29 نهج مرسيليا,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.803462,10.181684,data.gov.tn 2024
10100315,100315,E.P.80 RUE ABD RAZAK CHRAIBI,م.إ.  80 نهج عبد الرزاق الشرايبي,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7953357299999,10.18627077,data.gov.tn 2024
10100318,100318,E.P.16 RUE DE RUSSIE,م.إ.  16 نهج روسيا,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7952488299999,10.17729156,data.gov.tn 2024
10100402,100402,E.P.CITE OLYM.MONGI SLIM,م.إ.  الحي الاولمبي المنجي سليم,École Primaire Publique,مدرسة ابتدائية,EL KHADRA,الخضراء,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.838059,10.196148,data.gov.tn 2024
10100403,100403,E.P.2/3/34 CITE KHADRA 6,م.إ. 34/3/2 حي الخضراء 6,École Primaire Publique,مدرسة ابتدائية,EL KHADRA,الخضراء,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.828679,10.196489,data.gov.tn 2024
10100404,100404,E.P.MAHMOUD BEN CHABAAN14-1,م.إ.  محمود بن شبعان 14-1,École Primaire Publique,مدرسة ابتدائية,EL KHADRA,الخضراء,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8334479999999,10.1948729999999,data.gov.tn 2024
10100406,100406,E.P.RUE CLAUDE BERNARD,م.إ.  نهج كلود برنار,École Primaire Publique,مدرسة ابتدائية,EL KHADRA,الخضراء,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8231589999999,10.181818,data.gov.tn 2024
10100407,100407,E.P. BERGES DU LAC,م.إ.  ضفاف البحيرة,École Primaire Publique,مدرسة ابتدائية,EL KHADRA,الخضراء,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8363879999999,10.246522,data.gov.tn 2024
10100408,100408,E.P.el LAC 2,م.إ. البحيرة 2,École Primaire Publique,مدرسة ابتدائية,EL KHADRA,الخضراء,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.83250898735564,10.23216429719375,data.gov.tn 2024
10100501,100501,E.P.55 RUE BAB SOUIKA,م.إ.  55 نهج باب سويقة,École Primaire Publique,مدرسة ابتدائية,BAB SOUIKA,باب سويقة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.80547818,10.1703245399999,data.gov.tn 2024
10100502,100502,E.P.SIDI ALOUI/EL HALFAOUINE,م.إ. ساحة سيدي العلوي,École Primaire Publique,مدرسة ابتدائية,BAB SOUIKA,باب سويقة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8077884499999,10.16497578,data.gov.tn 2024
10100504,100504,E.P.RUE DES ARCS,م.إ.  نهج الأقواس,École Primaire Publique,مدرسة ابتدائية,BAB SOUIKA,باب سويقة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.806136,10.163182,data.gov.tn 2024
10100509,100509,E.P.3 HASSEN BELKHODJA,م.إ. حسان بلخوجة,École Primaire Publique,مدرسة ابتدائية,BAB SOUIKA,باب سويقة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8114100199999,10.1730470099999,data.gov.tn 2024
10100601,100601,E.P.KABARIA  1,م.إ.  الكبارية 1,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.747045,10.189883,data.gov.tn 2024
10100602,100602,E.P.KABARIA  3,م.إ.  الكبارية 3,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7626229999999,10.191848,data.gov.tn 2024
10100603,100603,E.P.KABARIA  4,م.إ. الكبارية 4,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7636079999999,10.19356,data.gov.tn 2024
10100604,100604,E.P.KABARIA  5,م.إ.  الكبارية 5,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.760277,10.184504,data.gov.tn 2024
10100606,100606,E.P.OUARDIA  2,م.إ.  الوردية 2,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7565469999999,10.196735,data.gov.tn 2024
10100607,100607,E.P.OUARDIA  6,م.إ.  الوردية 6,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7532459999999,10.19848,data.gov.tn 2024
10100608,100608,E.P.MOUROUG 2 C.MUNICIPALITE,م.إ.  المروج 2 الحي البلدي,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7596879999999,10.190135,data.gov.tn 2024
10100609,100609,E.P.IBN SINA 1,م.إ.  ابن سينا 1,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.754021,10.193599,data.gov.tn 2024
10100610,100610,E.P.CITE ENNOUR 1,م.إ.  حي النور 1,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7483629999999,10.203457,data.gov.tn 2024
10100611,100611,E.P.IBN SINA 2,م.إ.  ابن سينا 2,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7547629999999,10.1891149999999,data.gov.tn 2024
10100612,100612,E.P.MOUROUJE 2/Ibnkhaldoun,م.إ.  المروج 2-ابن خلدون,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.74054,10.1986539999999,data.gov.tn 2024
10100613,100613,E.P.CITE ENNOUR 2,م.إ.  حي النور 2,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.751854,10.201324,data.gov.tn 2024
10100614,100614,E.P.IBN SINA 6-1 EL IMTIEZ,م.إ.  الامتياز ( ابن سينا 6-1 ),École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.747548,10.1789799999999,data.gov.tn 2024
10100615,100615,E.P.MED ElMESADI(IBN SINA 6-2),م.إ.  محمود المسعدي( ابن سينا 6-2 ),École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.751285,10.176754,data.gov.tn 2024
10100616,100616,E.P.MOUROUJE 2 EL GHAZALI,م.إ.  المروج 2 الغزالي,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.742724,10.204043,data.gov.tn 2024
10100617,100617,E.P.El MANARA (IBN SINA 6/3),م.إ.  المنارة ( ابن سينا 6-3 ),École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7517009999999,10.1796779999999,data.gov.tn 2024
10100618,100618,E.P.EN'NAJMA EZZAHRA KABBARIA,م.إ.  النجمة الزهراء الكبارية,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.745089,10.18177,data.gov.tn 2024
10100619,100619,E.P.EL HANA EL MOUROUJ 2,م.إ. الهناء المروج2,École Primaire Publique,مدرسة ابتدائية,KABBARIA,الكبارية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7417919999999,10.19302,data.gov.tn 2024
10100702,100702,E.P.RUE ALI DOUAGI MONFLERI,م.إ.  نهج علي الدوعاجي مونفلوري,École Primaire Publique,مدرسة ابتدائية,TUNIS SIDI EL BECHIR,تونس سيدي البشير,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.78437917,10.17692368,data.gov.tn 2024
10100703,100703,E.P.RUE KARABAKA MONFLERI,م.إ.  نهج كرباكة مونفلوري,École Primaire Publique,مدرسة ابتدائية,TUNIS SIDI EL BECHIR,تونس سيدي البشير,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.783645,10.175293,data.gov.tn 2024
10100704,100704,E.P.RUE DU SAHEL,م.إ.  نهج الساحل,École Primaire Publique,مدرسة ابتدائية,TUNIS SIDI EL BECHIR,تونس سيدي البشير,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7827309999999,10.17423,data.gov.tn 2024
10100723,100723,E.APP.RUE DES SAVANTS,م.إ.  نهج العلماء,École Primaire Publique,مدرسة ابتدائية,TUNIS SIDI EL BECHIR,تونس سيدي البشير,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.789672,10.172931,data.gov.tn 2024
10100725,100725,E.P.CITE HILAL 1,م.إ.  حي هلال1,École Primaire Publique,مدرسة ابتدائية,TUNIS SIDI EL BECHIR,تونس سيدي البشير,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.782062,10.168417,data.gov.tn 2024
10100728,100728,E.P.CITE HILAL 2,م.إ.  حي هلال 2,École Primaire Publique,مدرسة ابتدائية,TUNIS SIDI EL BECHIR,تونس سيدي البشير,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.778387,10.169824,data.gov.tn 2024
10100801,100801,E.P.RUE KHARROUBA,م.إ.  نهج الخروبة,École Primaire Publique,مدرسة ابتدائية,EL OUERDIA,الوردية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.776845,10.1915,data.gov.tn 2024
10100804,100804,E.P.RUE DE LA SOMME,م.إ.  نهج لاصوم,École Primaire Publique,مدرسة ابتدائية,EL OUERDIA,الوردية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.778803,10.188725,data.gov.tn 2024
10100812,100812,E.P.EL OUARDIA 1,م.إ.  الوردية 1,École Primaire Publique,مدرسة ابتدائية,EL OUERDIA,الوردية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.76803,10.18611,data.gov.tn 2024
10100815,100815,E.P.RUE SALAH MALKI-EL WAFA,م.إ.  الوفاء نهج صالح المالقي,École Primaire Publique,مدرسة ابتدائية,EL OUERDIA,الوردية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7696109999999,10.179261,data.gov.tn 2024
10100816,100816,E.P.CITE IZDIHAR,م.إ.  حي الازدهار الوردية,École Primaire Publique,مدرسة ابتدائية,EL OUERDIA,الوردية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.770372,10.182757,data.gov.tn 2024
10100817,100817,E.P.2 MARS  LA CANIA,م.إ.  2 مارس لاكانيا,École Primaire Publique,مدرسة ابتدائية,EL OUERDIA,الوردية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.772516,10.181368,data.gov.tn 2024
10100818,100818,E.P.CITE MED ALI,م.إ.  حي محمد علي الوردية,École Primaire Publique,مدرسة ابتدائية,EL OUERDIA,الوردية,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7677169999999,10.185852,data.gov.tn 2024
10101301,101301,E.P.9 RUE 2 MARS 34,م.إ.  9 نهج 2 مارس حلق الواد,École Primaire Publique,مدرسة ابتدائية,LA GOULETTE,حلق الوادي,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.817708,10.303804,data.gov.tn 2024
10101304,101304,E.P.RUE KHEIREDDINE,م.إ. خير الدين الكرم,École Primaire Publique,مدرسة ابتدائية,LA GOULETTE,حلق الوادي,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.827204,10.311495,data.gov.tn 2024
10101305,101305,E.P.AOUINA RTE SOUKRA,م.إ. العوينة طريق سكرة,École Primaire Publique,مدرسة ابتدائية,LA GOULETTE,حلق الوادي,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.851601,10.258233,data.gov.tn 2024
10101307,101307,E.P.AOUINA CITE MHIRI,م.إ. العوينة حي المهيري,École Primaire Publique,مدرسة ابتدائية,LA GOULETTE,حلق الوادي,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8507329999999,10.264224,data.gov.tn 2024
10101309,101309,E.P.CITE DES IMMEUBLES,م.إ. حي العمارات العوينة,École Primaire Publique,مدرسة ابتدائية,LA GOULETTE,حلق الوادي,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.85235,10.259549,data.gov.tn 2024
10101310,101310,E.P. jardin ELAOUINA,م.إ.حدائق العوينة,École Primaire Publique,مدرسة ابتدائية,LA GOULETTE,حلق الوادي,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.495622,10.135592,data.gov.tn 2024
10101401,101401,E.P.RUE HAMMAM-LIF,م.إ.  نهج حمام الأنف,École Primaire Publique,مدرسة ابتدائية,JEBEL JLOUD,جبل الجلود,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7646889999999,10.20398,data.gov.tn 2024
10101402,101402,E.P.ROUTE LACAGNA,م.إ.  طريق لاكانيا ,École Primaire Publique,مدرسة ابتدائية,JEBEL JLOUD,جبل الجلود,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7669939999999,10.195197,data.gov.tn 2024
10101403,101403,E.P.RUE PHILIPE VILLE,م.إ.  نهج فليب فيل ,École Primaire Publique,مدرسة ابتدائية,JEBEL JLOUD,جبل الجلود,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7701149999999,10.197978,data.gov.tn 2024
10101405,101405,E.P.SIDI FATHALLAH 1,م.إ.  سيدي فتح الله 1,École Primaire Publique,مدرسة ابتدائية,JEBEL JLOUD,جبل الجلود,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7647059999999,10.204458,data.gov.tn 2024
10101408,101408,E.P.SIDI FATHALLAH 2,م.إ.  سيدي فتح الله 2 ,École Primaire Publique,مدرسة ابتدائية,JEBEL JLOUD,جبل الجلود,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.765087,10.204453,data.gov.tn 2024
10101409,101409,E.P.CITE THAMEUR,م.إ.  حي ثامر ,École Primaire Publique,مدرسة ابتدائية,JEBEL JLOUD,جبل الجلود,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7596909999999,10.21179,data.gov.tn 2024
10101608,101608,E.P.RUE DES ROSES,م.إ.  نهج الورد ,École Primaire Publique,مدرسة ابتدائية,EL MARSA,المرسى,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.886307,10.325267,data.gov.tn 2024
10101609,101609,E.P.AVENUE BOURGUIBA,م.إ.  شارع بورقيبة ,École Primaire Publique,مدرسة ابتدائية,EL MARSA,المرسى,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8817939999999,10.326371,data.gov.tn 2024
10101610,101610,E.P.CITE RIADH EL MARSA,م.إ.  حي الرياض,École Primaire Publique,مدرسة ابتدائية,EL MARSA,المرسى,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8843699999999,10.312411,data.gov.tn 2024
10101611,101611,E.P.AV. T. M'HIRI,م.إ.  المرسى شارع الطيب المهيري,École Primaire Publique,مدرسة ابتدائية,EL MARSA,المرسى,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8807019999999,10.327344,data.gov.tn 2024
10101612,101612,E.P.GAMMARTH Village,م.إ. قمرت,École Primaire Publique,مدرسة ابتدائية,EL MARSA,المرسى,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.905363,10.300057,data.gov.tn 2024
10101613,101613,E.P.SIDI DAOUD,م.إ.  سيدي داود,École Primaire Publique,مدرسة ابتدائية,EL MARSA,المرسى,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.864863,10.302975,data.gov.tn 2024
10101615,101615,E.P Farhat Hached,م.إ.  فرحات حشاد,École Primaire Publique,مدرسة ابتدائية,EL MARSA,المرسى,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.89012,10.309257,data.gov.tn 2024
10101616,101616,E.P.BAHER LAZREG,م.إ.  البحر الأزرق ,École Primaire Publique,مدرسة ابتدائية,EL MARSA,المرسى,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8753919999999,10.290996,data.gov.tn 2024
10101617,101617,E.P.RUE MOHAMED ALI,م.إ.  نهج محمد علي,École Primaire Publique,مدرسة ابتدائية,EL MARSA,المرسى,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.878011,10.3115349999999,data.gov.tn 2024
10101618,101618,E.P.CITE NOUVELLE,م.إ.  الحي الجديد ,École Primaire Publique,مدرسة ابتدائية,EL MARSA,المرسى,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8866629999999,10.304983,data.gov.tn 2024
10101619,101619,E.P. HARROUCHE EL MARSA,م.إ.  حروش ,École Primaire Publique,مدرسة ابتدائية,EL MARSA,المرسى,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.90905,10.2909089999999,data.gov.tn 2024
10101620,101620,E.P.CITE EL KHALIL,م.إ.  حي الخليل,École Primaire Publique,مدرسة ابتدائية,EL MARSA,المرسى,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.532401,10.181115,data.gov.tn 2024
10101901,101901,E.P.RUE PLUTARQUE SALAMBO,م.إ.  صلامبو نهج بلوتارك,École Primaire Publique,مدرسة ابتدائية,CARTHAGE,قرطاج,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.843176,10.32298636,data.gov.tn 2024
10101902,101902,E.P.32 C.IB.NAF.CARTHAGE BYRSA,م.إ.  32 حي عقبة ابن نافع قرطاج بيرصة,École Primaire Publique,مدرسة ابتدائية,CARTHAGE,قرطاج,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.848599,10.32120492,data.gov.tn 2024
10101903,101903,E.P.2 RUE TANIT CARTHAGE,م.إ.  2 نهج تانيت ,École Primaire Publique,مدرسة ابتدائية,CARTHAGE,قرطاج,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8540629999999,10.3288648999999,data.gov.tn 2024
10101904,101904,E.P.RUE IBN KHALDOUN AMILKAR,م.إ.  نهج ابن خلدون أميلكار,École Primaire Publique,مدرسة ابتدائية,CARTHAGE,قرطاج,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8689979999999,10.33714778,data.gov.tn 2024
10101905,101905,E.P.6 RUE 2 MARS SIDI BOUSAID,م.إ.  6 نهج 2 مارس سيدي بوسعيد,École Primaire Publique,مدرسة ابتدائية,CARTHAGE,قرطاج,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.870652,10.34497876,data.gov.tn 2024
10101906,101906,E.P CARTHAGE YASSMINA RUE TAREK IBN ZIED,م.إ.   قرطاج الياسمينة نهج طارق ابن,École Primaire Publique,مدرسة ابتدائية,CARTHAGE,قرطاج,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8479015899999,10.31052333,data.gov.tn 2024
10101907,101907,E.P.CITE MOHAMED ALI,م.إ.  حي محمد علي,École Primaire Publique,مدرسة ابتدائية,CARTHAGE,قرطاج,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.85432161,10.3102295,data.gov.tn 2024
10109901,109901,E.P.TUNISIE INTERNATIONAL,م.إ. المدرسة الدوليـة تونس,École Primaire Publique,مدرسة ابتدائية,CARTHAGE,قرطاج,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.84897 ,10.30161 ,data.gov.tn 2024
10102201,102201,E.P.RUE DE LIBYE SALAMBO,م.إ.  نهج ليبيا صلامبو,École Primaire Publique,مدرسة ابتدائية,EL KREM,الكرم,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.843364,10.31511,data.gov.tn 2024
10102202,102202,E.P.RUE BOUCHOUCHA,م.إ. نهج بوشوشة ,École Primaire Publique,مدرسة ابتدائية,EL KREM,الكرم,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.831541,10.317284,data.gov.tn 2024
10102203,102203,E.P.AVENUE BOURGUIBA,م.إ. شارع بورقيبة ,École Primaire Publique,مدرسة ابتدائية,EL KREM,الكرم,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.832481,10.315827,data.gov.tn 2024
10102204,102204,E.P.CHERIFA MESSADI,م.إ.  شريفة المسعدي,École Primaire Publique,مدرسة ابتدائية,EL KREM,الكرم,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.855839,10.281636,data.gov.tn 2024
10102205,102205,E.P.SIDI AMOR,م.إ.  سيدي عمر الكرم الغربي,École Primaire Publique,مدرسة ابتدائية,EL KREM,الكرم,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8440659999999,10.305681,data.gov.tn 2024
10102206,102206,E.P.M.SLIM AIN ZAGHOUAN S.CH.,م.إ. المنجي سليم عين زغوان,École Primaire Publique,مدرسة ابتدائية,EL KREM,الكرم,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.8779469999999,10.267505,data.gov.tn 2024
10102207,102207,E.P.2 R.FARHAT HACHED,م.إ. 2 نهج فرحات حشاد صلامبو,École Primaire Publique,مدرسة ابتدائية,EL KREM,الكرم,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.839035,10.308839,data.gov.tn 2024
10102208,102208,E.P.1 RUE 5 DECEMBRE,م.إ. 1 نهج 5 ديسمبر صلامبو,École Primaire Publique,مدرسة ابتدائية,EL KREM,الكرم,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.838976,10.307466,data.gov.tn 2024
10110905,110905,E.P.PLACE MENDES FRANCE,م.إ.  ساحة منداس فرانس ميتيال فيل,École Primaire Publique,مدرسة ابتدائية,EL MENZAH,المنزه,Tunis 2,تونس 2,Zone Communale,منطقة بلدية,36.8326009999999,10.1720659999999,data.gov.tn 2024
10110907,110907,E.P.RUE HEDI KHEFACHA,م.إ.  الهادي خفشة ,École Primaire Publique,مدرسة ابتدائية,EL MENZAH,المنزه,Tunis 2,تونس 2,Zone Communale,منطقة بلدية,36.83724,10.17835,data.gov.tn 2024
10110912,110912,E.P.CITE EL MANAR 2,م.إ.  حي المنار 2,École Primaire Publique,مدرسة ابتدائية,EL MENZAH,المنزه,Tunis 2,تونس 2,Zone Communale,منطقة بلدية,36.83609,10.15692,data.gov.tn 2024
10110914,110914,E.P.MENZEH 9,م.إ.  المنزه التاسع,École Primaire Publique,مدرسة ابتدائية,EL MENZAH,المنزه,Tunis 2,تونس 2,Zone Communale,منطقة بلدية,36.84716,10.15628,data.gov.tn 2024
10110915,110915,E.P.MANAR 1,م.إ.  المنار 1,École Primaire Publique,مدرسة ابتدائية,EL MENZAH,المنزه,Tunis 2,تونس 2,Zone Communale,منطقة بلدية,36.83395,10.15271,data.gov.tn 2024
10110916,110916,E.P.JARDIN EL MANZAH,م.إ. حدائق المنزه,École Primaire Publique,مدرسة ابتدائية,EL MENZAH,المنزه,Tunis 2,تونس 2,Zone Communale,منطقة بلدية,36.844071,10.13253,data.gov.tn 2024
10111002,111002,E.P.RUE DE FESS/ RAS ETTABIA,م.إ.   نهج فاس/رأس الطابية,École Primaire Publique,مدرسة ابتدائية,EL OMRANE,العمران,Tunis 2,تونس 2,Zone Communale,منطقة بلدية,36.820129,10.142721,data.gov.tn 2024
10111003,111003,E.P.BIR ATIG JBAL LAHMER,م.إ.  بئر عتيق جبل الأحمر,École Primaire Publique,مدرسة ابتدائية,EL OMRANE,العمران,Tunis 2,تونس 2,Zone Communale,منطقة بلدية,36.819647,10.155509,data.gov.tn 2024
10111004,111004,E.P.BIR KRAM JBAL LAHMER,م.إ.   بئر الكرم جبل الأحمر,École Primaire Publique,مدرسة ابتدائية,EL OMRANE,العمران,Tunis 2,تونس 2,Zone Communale,منطقة بلدية,36.818221,10.158872,data.gov.tn 2024
10111006,111006,E.P.EL FAOUEZ EL OMRAN,م.إ.  الفوز العمران,École Primaire Publique,مدرسة ابتدائية,EL OMRANE,العمران,Tunis 2,تونس 2,Zone Communale,منطقة بلدية,36.8220049999999,10.164232,data.gov.tn 2024
