X,Y,OBJECTID,PPIN,NAME,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR
-122.083918878,37.3967100630001,12389,A1700308,KHAN LAB SCHOOL,1200 VILLA ST STE 100,MOUNTAIN VIEW,CA,94041,06,085,Santa Clara County,13,37.396715,-122.083932,41940,"San Jose-Sunnyvale-Santa Clara, CA",1,488,"San Jose-San Francisco-Oakland, CA",0616,06023,06013,2023-2024
-122.268226804,37.7991490430001,12390,A1700319,LAMBO ACADEMY INTERNATIONAL,"900 ALICE ST, STE #10",OAKLAND,CA,94607,06,001,Alameda County,11,37.799154,-122.26824,41860,"San Francisco-Oakland-Fremont, CA",1,488,"San Jose-San Francisco-Oakland, CA",0612,06018,06007,2023-2024
-117.760397932,33.5814431700001,12391,A1700322,ANNELIESE SCHOOL,20062 LAGUNA CANYON RD,LAGUNA BEACH,CA,92651,06,059,Orange County,41,33.581448,-117.76041,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",0647,06072,06036,2023-2024
-121.941644915,37.257709065,12392,A1700323,LEARNING PATHWAYS KINDERGARTEN,4115 JACKSOL DR BLDG 3,SAN JOSE,CA,95124,06,085,Santa Clara County,11,37.257714,-121.941658,41940,"San Jose-Sunnyvale-Santa Clara, CA",1,488,"San Jose-San Francisco-Oakland, CA",0616,06028,06015,2023-2024
-117.254424063,32.9910522120001,12393,A1700327,LEPORT MONTESSORI,1010 SOLANA DR,DEL MAR,CA,92014,06,073,San Diego County,21,32.991057,-117.254436,41740,"San Diego-Chula Vista-Carlsbad, CA",1,N,N,0649,06077,06038,2023-2024
-118.308500805,34.005715153,12394,A1700340,LITTLET CITIZEN WESTSIDE ACD,4256 WESTERN AVE,LOS ANGELES,CA,90062,06,037,Los Angeles County,11,34.00572,-118.308513,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",0637,06055,06028,2023-2024
-118.634892743,34.1119491600001,12395,A1700356,MANZANITA SCHOOL AND INSTITUTE,1717 OLD TOPANGA CANYON RD,TOPANGA,CA,90290,06,037,Los Angeles County,41,34.111954,-118.634905,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",0632,06042,06024,2023-2024
-121.357525862,38.485650918,12396,A1700370,MILHOUS SCHOOL INC. - GERBER,9200 SWEET ACAIA WAY,SACRAMENTO,CA,95829,06,067,Sacramento County,21,38.485656,-121.357539,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",0607,06010,06008,2023-2024
-122.421873785,37.768930057,12397,A1700371,MILLENNIUM SCHOOL OF SAN FRANCISCO,245 VALENCIA ST,SAN FRANCISCO,CA,94103,06,075,San Francisco County,11,37.768935,-122.421887,41860,"San Francisco-Oakland-Fremont, CA",1,488,"San Jose-San Francisco-Oakland, CA",0611,06017,06011,2023-2024
-121.427066943,37.70356099,12398,A1700377,MONTESSORI ELEMENTARY & MIDDLE SCHOOL OF TRACY,120 MURRIETA WAY,TRACY,CA,95377,06,077,San Joaquin County,22,37.703566,-121.42708,44700,"Stockton-Lodi, CA",1,488,"San Jose-San Francisco-Oakland, CA",0609,06013,06005,2023-2024
-122.485462711,38.3167070170001,12399,A1700398,NEW SONG SCHOOL,121 LICHTENBERG AVE,SONOMA,CA,95476,06,097,Sonoma County,31,38.316712,-122.485476,42220,"Santa Rosa-Petaluma, CA",1,N,N,0604,06004,06003,2023-2024
