codigo_escola_dgeec,nome_escola,municipio,distrito,nuts_III,nuts_II,source_donnees,total_alunos_2022_23,alunos_1ano_2022_23,alunos_2ano_2022_23,alunos_3ano_2022_23,alunos_4ano_2022_23,taxa_retencao_media_2022_23,alunos_2ciclo_2019_2020_5ano,alunos_2ciclo_2019_2020_6ano,alunos_2ciclo_2020_2021_5ano,alunos_2ciclo_2020_2021_6ano,alunos_2ciclo_2021_2022_5ano,alunos_2ciclo_2021_2022_6ano,alunos_2ciclo_2022_2023_5ano,alunos_2ciclo_2022_2023_6ano,pct_2ciclo_homens,pct_2ciclo_mulheres,total_alunos_2ciclo,retencao_2ciclo_5ano_2022_23,retencao_2ciclo_6ano_2022_23,conclusao_2ciclo_n_amostra,conclusao_2ciclo_pct_escola,conclusao_2ciclo_pct_nat_comparable
1504219,"Escola Básica da Telha Nova, Barreiro",Barreiro,,,,1er_cycle_uniquement,359.0,82.0,94.0,88.0,95.0,0.005,,,,,,,,,,,,,,,,
1504237,Escola Básica n.º 6 do Barreiro,Barreiro,,,,1er_cycle_uniquement,142.0,25.0,50.0,42.0,25.0,0.04,,,,,,,,,,,,,,,,
1504298,"Escola Básica n.º 2 do Lavradio, Barreiro",Barreiro,,,,1er_cycle_uniquement,177.0,47.0,46.0,42.0,42.0,0.01,,,,,,,,,,,,,,,,
1504299,"Escola Básica D. Luís de Mendonça Furtado, Barreiro",Barreiro,,,,1er_et_2eme_cycle,96.0,15.0,34.0,26.0,21.0,0.0,128,127,92,131,125,101,143,129,0.55,0.45,272,0.019999999552965164,0.05000000074505806,106,0.9150943396226415,0.9454286166374529
1504438,"Escola Básica da Quinta Nova da Telha, Alto do Seixalinho, Barreiro",Barreiro,,,,1er_et_2eme_cycle,123.0,27.0,26.0,44.0,26.0,0.0,141,140,119,141,129,131,126,144,0.52,0.48,270,0.03999999910593033,0.09000000357627869,124,0.9354838709677419,0.9557832945125938
1504519,Colégio Minerva - Espaço D. Manuel de Mello,Barreiro,,,,1er_cycle_uniquement,152.0,39.0,32.0,38.0,43.0,0.0,,,,,,,,,,,,,,,,
1504524,Externato O Início,Barreiro,,,,1er_cycle_uniquement,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1504528,"Escola Básica de Palhais, Barreiro",Barreiro,,,,1er_cycle_uniquement,94.0,25.0,23.0,24.0,22.0,0.0,,,,,,,,,,,,,,,,
1504565,"Escola Básica e Secundária Alfredo da Silva, Barreiro",Barreiro,,,,2eme_cycle_uniquement,,,,,,,60,58,69,64,65,68,53,77,0.5900000000000001,0.41,130,0.12999999523162842,0.25,53,0.8490566037735849,0.9402689951447593
1504596,"Escola Básica de Santo António da Charneca, Barreiro",Barreiro,,,,1er_cycle_uniquement,83.0,18.0,21.0,20.0,24.0,0.0,,,,,,,,,,,,,,,,
1504621,"Escola Básica de Fidalguinhos, Barreiro",Barreiro,,,,1er_cycle_uniquement,185.0,48.0,47.0,43.0,47.0,0.005,,,,,,,,,,,,,,,,
1504641,"Escola Básica n.º 1 do Lavradio, Barreiro",Barreiro,,,,1er_cycle_uniquement,186.0,46.0,46.0,49.0,45.0,0.005,,,,,,,,,,,,,,,,
1504660,Escola Básica n.º 5 do Barreiro,Barreiro,,,,1er_cycle_uniquement,95.0,23.0,25.0,24.0,23.0,0.02,,,,,,,,,,,,,,,,
1504723,"Escola Básica e Secundária de Santo António, Barreiro",Barreiro,,,,2eme_cycle_uniquement,,,,,,,129,119,108,108,128,115,115,143,0.56,0.44,258,0.10000000149011612,0.09000000357627869,119,0.9411764705882353,0.9415722659776218
1504736,Colégio O Carinho,Barreiro,,,,1er_cycle_uniquement,64.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,,
1504784,"Escola Básica Álvaro Velho, Lavradio, Barreiro",Barreiro,,,,2eme_cycle_uniquement,,,,,,,170,149,164,167,170,168,175,176,0.5,0.5,351,0.09000000357627869,0.029999999329447746,155,0.9483870967741935,0.9498002476418037
1504856,"Escola Básica de Vila Chã, Barreiro",Barreiro,,,,1er_cycle_uniquement,149.0,34.0,47.0,44.0,24.0,0.01,,,,,,,,,,,,,,,,
1504878,Brincadeiras ao Cubo - Secção II,Barreiro,,,,2eme_cycle_uniquement,,,,,,,0,0,0,0,41,25,24,43,0.5700000000000001,0.43,67,0,0,27,1,0.9938830597546309
