NatEmis,OldNATEMIS,NewNATEMIS,DataYear,Quarter,Province,Institution_Name,DoE_Status,Sector,Type_DoE,Phase_PED,Specialisation,OwnerLand,OwnerBuild,ExDept,ExamNo,ExamCentre,PaypointNo,ComponentNo,GIS_Long,GIS_Lat,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,SP_Code,SP_Name,EIDistrict,EICircuit,Township_Village,Suburb,Town_City,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,Learners_2023,Educators_2023
500289562,0,500289562,2023,3. Q3,5. KwaZulu Natal,Umzinto Secondary School,1. Open,1. Public,1. Ordinary School,4. Secondary School,Secondary School,1. Public/State,1. Public/State,7. House of Delegates(HOD),,5312327,,60325,30.668,-30.308,20. DC21,20. Ugu District Municipality,88. KZN212,88. Umdoni Local Municipality,52102011,50215000,None,Ugu,,,Umzinto,,2. No,99. None,4. Upper middle 20% (Fee paying),1. Yes,12. Ugu,03jan1900,2. No,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,1265,50
500289599,0,500289599,2023,3. Q3,5. KwaZulu Natal,Umzintovale Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,7. House of Delegates(HOD),,,,60534,30.666,-30.309,20. DC21,20. Ugu District Municipality,88. KZN212,88. Umdoni Local Municipality,52102011,50215000,None,Ugu,,,Vale Road,,2. No,99. None,4. Upper middle 20% (Fee paying),1. Yes,12. Ugu,03jan1900,2. No,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,642,22
500289636,0,500289636,2023,3. Q3,5. KwaZulu Natal,Umzinyathi Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,3. Tribal/Land Trust,1. Public/State,12. Kwazulu Natal Education Department,,,,180146,30.897,-29.652,5. ETH,5. eThekwini Metropolitan Municipality,87. ETH,87. eThekwini Metropolitan Municipality,59500003,57234010,Upper Ukumanaza,Pinetown,,,Kumanaza Site No 409079,,2. No,99. None,3. Middle 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,493,13
500289673,0,500289673,2023,3. Q3,5. KwaZulu Natal,Umzokhanyayo Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,,,,120116,30.021,-30.483,20. DC21,20. Ugu District Municipality,90. KZN214,90. Umuziwabantu Local Municipality,52104001,50401008,Umzokhanyoya,Ugu,,,,,2. No,99. None,1. Poorest 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,589,18
500289710,0,500289710,2023,3. Q3,5. KwaZulu Natal,Umzokhulayo Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,,,,180147,30.979,-29.519,28. DC29,28. Ilembe District Municipality,125. KZN293,125. Ndwedwe Local Municipality,52903015,54506003,Inhlabamkhosi,Ilembe,,,Umzokhulayo Area,,2. No,99. None,3. Middle 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,356,16
500289747,0,500289747,2023,3. Q3,5. KwaZulu Natal,George Mbhele High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,Secondary School,2. Independent/Private,1. Public/State,3. Department of Education & Training(DET),5312261,5312261,,51433,30.518,-30.612,20. DC21,20. Ugu District Municipality,91. KZN216,91. Ray Nkonyeni Local Municipality,52106013,50635003,Fairview Mission,Ugu,,,,,2. No,99. None,3. Middle 20% (No fee paying),1. Yes,12. Ugu,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,314,9
500289784,0,500289784,2023,3. Q3,5. KwaZulu Natal,Umzumbe Junior Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,,,,130171,30.423,-30.571,20. DC21,20. Ugu District Municipality,89. KZN213,89. Umzumbe Local Municipality,52103013,50307013,Sizamadada,Ugu,,,,,2. No,99. None,1. Poorest 20% (No fee paying),1. Yes,12. Ugu,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,271,8
500289821,0,500289821,2023,3. Q3,5. KwaZulu Natal,Umzwangedwa Secondary School,1. Open,1. Public,1. Ordinary School,4. Secondary School,Secondary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,5413238,5413238,,270198,31.106,-29.006,28. DC29,28. Ilembe District Municipality,126. KZN294,126. Maphumulo Local Municipality,52904003,54608005,Jojingwenya,Ilembe,,,Kranskop,,2. No,99. None,1. Poorest 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,159,8
500289858,0,500289858,2023,3. Q3,5. KwaZulu Natal,Underberg School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,,,,70567,29.5,-29.794,43. DC43,43. Harry Gwala District Municipality,130. KZN436,130. Dr Nkosazana Dlamini Zuma Local Municipality,54306003,54806001,Clouds,Harry Gwala,,,Underberg,,2. No,99. None,4. Upper middle 20% (Fee paying),2. No,,03jan1900,2. No,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,194,15
500289895,0,500289895,2023,3. Q3,5. KwaZulu Natal,Union Park Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,7. House of Delegates(HOD),,,,60535,30.399,-29.543,21. DC22,21. uMgungundlovu District Municipality,96. KZN225,96. Msunduzi Local Municipality,52205028,51109005,Bombay Heights,Umgungundlovu,,,Northdale,,2. No,99. None,4. Upper middle 20% (Fee paying),2. No,,03jan1900,2. No,1. Urban,0,6. KwaZulu Natal,6. KwaZulu Natal,751,29
