NatEmis,OldNATEMIS,NewNATEMIS,DataYear,Quarter,Province,Institution_Name,DoE_Status,Sector,Type_DoE,Phase_PED,Specialisation,OwnerLand,OwnerBuild,ExDept,ExamNo,ExamCentre,PaypointNo,ComponentNo,GIS_Long,GIS_Lat,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,SP_Code,SP_Name,EIDistrict,EICircuit,Township_Village,Suburb,Town_City,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,Learners_2023,Educators_2023
100000029,0,100000029,2023,3. Q3,1. Western Cape,Gaia Waldorf School,1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,18.489,-33.94,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100053,99,,Metro Central,3,Oude Molen Village,Observatory,City Of Cape Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,125,14
100000030,0,100000030,2023,3. Q3,1. Western Cape,Darun Na'Im Academy,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),1009984,Darun Na'Im Academy,99,,18.47,-34.012,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100063,99,,Metro South,2,Wynberg,Wynberg,City Of Cape Town,1. Yes,,,,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,120,17
100000031,0,100000031,2023,3. Q3,1. Western Cape,Atlantic Beach College,1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,18.439,-33.729,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100023,99,,Metro North,10,Melkbosstrand Sp,Melkbosch Strand,City Of Cape Town,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,38,5
100000036,0,100000036,2023,3. Q3,1. Western Cape,Trinity Primary School,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,23.045,-34.035,40. DC4,40. Garden Route District Municipality,22. WC048,22. Knysna Local Municipality,10408010,99,,Eden And Central Kar,4,Old Place,Knysna Central,Knysna,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,128,9
100000037,0,100000037,2023,3. Q3,1. Western Cape,"Eagle'S Nest Ministries, Sa",1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,18.743,-33.853,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100101,99,,Metro East,6,Kraaifontein East 1,Wallacedene,City Of Cape Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,469,17
100000038,0,100000038,2023,3. Q3,1. Western Cape,Silvermine Academy,1. Open,2. Independent,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),99,,99,,18.398,-34.121,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100069,99,,Metro South,9,Sun Valley,Sunvalley,City Of Cape Town,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,84,11
100000054,0,100000054,2023,3. Q3,1. Western Cape,Academy Private School,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),1004494,Academy Private School,99,,18.708,-33.928,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100014,99,,Metro East,2,Kuils River Estate,Klein Zevenwacht,City Of Cape Town,1. Yes,,,,,,2. No,2. Rural,0,2. Western Cape,1. Not Moved,163,18
100000055,0,100000055,2023,3. Q3,1. Western Cape,Claremont High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1001203,Claremont High School,316857,61061,18.469,-33.988,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100059,99,,Metro Central,6,Claremont,Claremont,City Of Cape Town,1. Yes,4. ABCDE,5. Richest 20% (Fee paying),,,,2. No,1. Urban,277,2. Western Cape,1. Not Moved,504,26
100000056,0,100000056,2023,3. Q3,1. Western Cape,Westlake Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,314390,61060,18.436,-34.073,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100071,99,,Metro South,4,Westlake 1,Westlake,City Of Cape Town,2. No,6. ABDE,4. Upper middle 20% (Fee paying),,,,1. Yes,1. Urban,1601,2. Western Cape,1. Not Moved,752,23
100000065,0,100000065,2023,3. Q3,1. Western Cape,Reddam House Atlantic Seaboard,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,18.408,-33.91,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100115,99,,Metro Central,2,Green Point,Green Point,City Of Cape Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,470,47
100000070,0,100000070,2023,3. Q3,1. Western Cape,Ies International Heldeberg School (Pty,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,18.857,-34.1,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100084,99,,Metro East,8,Heritage Park,Heritage Park,City Of Cape Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,206,24
100000078,0,100000078,2023,3. Q3,1. Western Cape,Disa Primary School (Hout Bay),1. Open,1. Public,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,312770,61065,18.359,-34.027,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100074,99,,Metro Central,5,Imizamo Yethu Sp,Hout Bay,City Of Cape Town,2. No,6. ABDE,3. Middle 20% (No fee paying),,,,1. Yes,1. Urban,1601,2. Western Cape,1. Not Moved,681,38
100000091,0,100000091,2023,3. Q3,1. Western Cape,Cederberg Academy,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1005596,Cederberg Academy,323195,61064,19.014,-32.585,9. DC1,9. West Coast District Municipality,3. WC012,3. Cederberg Local Municipality,10102002,99,,West Coast,4,Citrusdal Sp,Citrusdal,Citrusdal,2. No,6. ABDE,4. Upper middle 20% (Fee paying),,,,2. No,2. Rural,802,2. Western Cape,1. Not Moved,871,26
100000103,0,100000103,2023,3. Q3,1. Western Cape,Lycee Francais Du Cap Francois Le Vaill,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,18.418,-33.931,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100115,99,,Metro Central,2,Gardens,Gardens,City Of Cape Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,2. Rural,0,2. Western Cape,1. Not Moved,283,26
100000108,0,100000108,2023,3. Q3,1. Western Cape,Northpine Technical High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1004497,Northpine Technical High School,329053,61066,18.708,-33.87,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100007,99,,Metro East,2,Northpine,Northpine,City Of Cape Town,2. No,6. ABDE,5. Richest 20% (Fee paying),,,,2. No,1. Urban,277,2. Western Cape,1. Not Moved,617,23
100000109,0,100000109,2023,3. Q3,1. Western Cape,Delft Technical High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1005432,Delft Technical High School,329061,61069,18.629,-33.965,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100013,99,,Metro North,5,The Hague,Delft 4,City Of Cape Town,2. No,6. ABDE,4. Upper middle 20% (Fee paying),,,,2. No,1. Urban,1040,2. Western Cape,1. Not Moved,875,32
100000110,0,100000110,2023,3. Q3,1. Western Cape,Melkbos High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1002273,Melkbos High School,328812,61067,18.443,-33.73,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100023,99,,Metro North,10,Melkbosstrand Sp,Melkbosch Strand,City Of Cape Town,2. No,6. ABDE,5. Richest 20% (Fee paying),,,,2. No,1. Urban,380,2. Western Cape,1. Not Moved,1066,51
100000122,0,100000122,2023,3. Q3,1. Western Cape,Fisantekraal High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1002291,Fisantekraal High School,328820,61088,18.722,-33.779,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100105,99,,Metro North,7,Fistantekraal Sp,Fisantekraal,City Of Cape Town,2. No,6. ABDE,1. Poorest 20% (No fee paying),,,,1. Yes,1. Urban,1601,2. Western Cape,1. Not Moved,1191,43
100000123,0,100000123,2023,3. Q3,1. Western Cape,Beaufort West PrimﾊRe Skool,1. Open,1. Public,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,350702,61071,22.569,-32.351,48. DC5,48. Central Karoo District Municipality,25. WC053,25. Beaufort West Local Municipality,10503007,99,,Eden And Central Kar,7,Hillside,Beaufort West,Beaufort West,1. Yes,4. ABCDE,3. Middle 20% (No fee paying),,,,1. Yes,2. Rural,1601,2. Western Cape,1. Not Moved,1108,32
100000124,0,100000124,2023,3. Q3,1. Western Cape,Louwville HoﾋRskool,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1005532,Louwville HoﾋRskool,328839,61070,18.005,-32.916,9. DC1,9. West Coast District Municipality,5. WC014,5. Saldanha Bay Local Municipality,10104013,99,,West Coast,3,Louwville,Louwville,Vredenburg,1. Yes,4. ABCDE,4. Upper middle 20% (Fee paying),,,,1. Yes,2. Rural,1601,2. Western Cape,1. Not Moved,1482,47
100000126,0,100000126,2023,3. Q3,1. Western Cape,Gateway Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,328804,61072,18.628,-33.969,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100106,99,,Metro North,4,Delft Sp,Delft 6,City Of Cape Town,1. Yes,4. ABCDE,4. Upper middle 20% (Fee paying),,,,1. Yes,1. Urban,1601,2. Western Cape,1. Not Moved,1562,44
100000127,0,100000127,2023,3. Q3,1. Western Cape,Rouxville Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,325767,61073,18.677,-33.942,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100011,99,,Metro East,7,Bellville Teachers' Training College,Bellville Teachers College,City Of Cape Town,1. Yes,4. ABCDE,4. Upper middle 20% (Fee paying),,,,2. No,1. Urban,802,2. Western Cape,1. Not Moved,881,31
100000128,0,100000128,2023,3. Q3,1. Western Cape,Hope And Light Community Welfare (Npc),1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),1004903,Hope And Light Community Welfare (Npc),99,,18.872,-34.107,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100084,99,,Metro East,8,Helderberg,Fernwood,City Of Cape Town,1. Yes,,4. Upper middle 20% (Fee paying),,,,1. Yes,2. Rural,0,2. Western Cape,1. Not Moved,377,23
100000129,0,100000129,2023,3. Q3,1. Western Cape,Silikamva High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1009919,Silikamva High School,313130,61074,18.36,-34.03,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100074,99,,Metro Central,2,Imizamo Yethu Sp,Hout Bay,City Of Cape Town,2. No,6. ABDE,3. Middle 20% (No fee paying),,,,1. Yes,1. Urban,1601,2. Western Cape,1. Not Moved,902,31
100000143,0,100000143,2023,3. Q3,1. Western Cape,Pringle House,1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,18.831,-34.351,29. DC3,29. Overberg District Municipality,13. WC032,13. Overstrand Local Municipality,10302010,99,,Overberg,2,Pringle Bay Sp,Pringle Bay,Pringle Bay,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,2. Rural,0,2. Western Cape,1. Not Moved,25,5
100000151,0,100000151,2023,3. Q3,1. Western Cape,Al-Azhar High School,1. Open,2. Independent,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1001158,Al-Azhar High School,99,,18.502,-33.967,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100049,99,,Metro Central,9,Athlone Sp,Athlone,City Of Cape Town,1. Yes,,,,,,2. No,2. Rural,0,2. Western Cape,1. Not Moved,506,31
100000152,0,100000152,2023,3. Q3,1. Western Cape,Hyde Park College,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,18.584,-34.034,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100075,99,,Metro South,7,Weltevreden Valley,Rondevlei Park,City Of Cape Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,247,9
100000153,0,100000153,2023,3. Q3,1. Western Cape,Mount View Education Centre,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,18.744,-33.964,18. DC2,18. Cape Winelands District Municipality,9. WC024,9. Stellenbosch Local Municipality,10204020,99,,Cape Winelands,9,Stellenbosch Nu,Stellenbosch,Outside A Town,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,5,2
100000211,0,100000211,2023,3. Q3,1. Western Cape,Crescent Primary School Npc,1. Open,2. Independent,1. Ordinary School,3. Intermediate School,,,,1. Cape Education Department(CED),99,,99,,18.473,-34.041,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100072,99,,Metro South,7,Elfindale,Elfindale,City Of Cape Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,186,10
100000217,0,100000217,2023,3. Q3,1. Western Cape,Christmas Tinto Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,61090,18.856,-34.107,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100085,99,,Metro East,9,Nomzamo Sp,Asanda,City Of Cape Town,2. No,7. ABE,3. Middle 20% (No fee paying),,,,1. Yes,1. Urban,1601,2. Western Cape,1. Not Moved,1383,46
100000220,0,100000220,2023,3. Q3,1. Western Cape,Curro Hermanus,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,19.191,-34.412,29. DC3,29. Overberg District Municipality,13. WC032,13. Overstrand Local Municipality,10302007,99,,Overberg,2,Sand Bay Sp,Sand Bay,Sand Bay,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,2. Rural,0,2. Western Cape,1. Not Moved,754,53
100000231,0,100000231,2023,3. Q3,1. Western Cape,Albert College,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,22.029,-33.227,48. DC5,48. Central Karoo District Municipality,24. WC052,24. Prince Albert Local Municipality,10502004,99,,Eden And Central Kar,7,Prince Albert Sp,Prince Albert,Prince Albert,1. Yes,,,,,,2. No,2. Rural,0,2. Western Cape,1. Not Moved,45,12
100000232,0,100000232,2023,3. Q3,1. Western Cape,Christelike Privaatskool Leipoldtville,1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,18.484,-32.222,9. DC1,9. West Coast District Municipality,3. WC012,3. Cederberg Local Municipality,10102005,99,,West Coast,4,Leipoldtville Sp,Leipoldtville,Outside A Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,61,8
100000235,0,100000235,2023,3. Q3,1. Western Cape,Sunningdale Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,322547,61093,18.483,-33.797,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100107,99,,Metro North,9,Cape Metro Nu1,Sunningdale,City Of Cape Town,1. Yes,4. ABCDE,5. Richest 20% (Fee paying),,,,2. No,1. Urban,277,2. Western Cape,1. Not Moved,1122,47
100000250,0,100000250,2023,3. Q3,1. Western Cape,Destinatus Privaatskool,1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,18.703,-33.901,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100008,99,,Metro East,5,Brackenfell South 1,Brackenfell South,City Of Cape Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,412,26
100000260,0,100000260,2023,3. Q3,1. Western Cape,Carnegie House Preparatory,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,18.896,-33.384,9. DC1,9. West Coast District Municipality,6. WC015,6. Swartland Local Municipality,10105012,99,,West Coast,1,Riebeek-Kasteel Sp,Riebeek-Kasteel,Riebeek-Kasteel,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,44,6
100000262,0,100000262,2023,3. Q3,1. Western Cape,Longacres Privaatskool,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),1005599,Longacres Privaatskool,99,,18.065,-33.048,9. DC1,9. West Coast District Municipality,5. WC014,5. Saldanha Bay Local Municipality,10104014,99,,West Coast,3,Long Acres Country Estate,Long Acres Country Estate,Langebaan,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,355,32
100000265,0,100000265,2023,3. Q3,1. Western Cape,Brandvlei Youth Centre,1. Open,2. Independent,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1008807,Brandvlei Youth Centre,99,,19.41,-33.749,18. DC2,18. Cape Winelands District Municipality,10. WC025,10. Breede Valley Local Municipality,10205019,99,,Cape Winelands,4,Brandvlei Prison,Worcester,Outside A Town,1. Yes,,,,,,1. Yes,2. Rural,0,2. Western Cape,1. Not Moved,38,5
100000266,0,100000266,2023,3. Q3,1. Western Cape,Concordia High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1003421,Concordia High School,99,61091,23.086,-34.029,40. DC4,40. Garden Route District Municipality,22. WC048,22. Knysna Local Municipality,10408008,99,,Eden And Central Kar,4,Concordia,Concordia,Knysna,1. Yes,4. ABCDE,2. Lower middle 20% (No fee paying),,,,1. Yes,1. Urban,1601,2. Western Cape,1. Not Moved,1235,37
100000267,0,100000267,2023,3. Q3,1. Western Cape,Concordia PrimﾊRe Skool,1. Open,1. Public,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,61092,23.085,-34.028,40. DC4,40. Garden Route District Municipality,22. WC048,22. Knysna Local Municipality,10408008,99,,Eden And Central Kar,4,Concordia,Concordia,Knysna,1. Yes,4. ABCDE,2. Lower middle 20% (No fee paying),2. No,,,1. Yes,1. Urban,1601,2. Western Cape,1. Not Moved,977,33
100000268,0,100000268,2023,3. Q3,1. Western Cape,A.Z. Berman High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1009987,A.Z. Berman High School,313963,61095,18.633,-34.054,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100082,99,,Metro South,1,Tafelsig,Tafelsig,City Of Cape Town,2. No,6. ABDE,4. Upper middle 20% (Fee paying),,,,1. Yes,1. Urban,1601,2. Western Cape,1. Not Moved,985,34
100000271,0,100000271,2023,3. Q3,1. Western Cape,Capella House,1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,18.432,-34.131,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100064,99,,Metro South,9,Imhofs Gift,Sunnydale,City Of Cape Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,117,9
100000272,0,100000272,2023,3. Q3,1. Western Cape,Soneike High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1004406,Soneike High School,313963,61094,18.68,-33.948,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100019,99,,Metro East,7,Highbury,Highbury,City Of Cape Town,2. No,6. ABDE,4. Upper middle 20% (Fee paying),,,,2. No,1. Urban,802,2. Western Cape,1. Not Moved,864,30
100000286,0,100000286,2023,3. Q3,1. Western Cape,Key To Education Trading As Focus Colle,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),1009986,Key To Education Trading As Focus Colle,99,,18.478,-34.01,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100063,99,,Metro South,1,Wynberg,Wynberg,City Of Cape Town,1. Yes,,,,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,413,17
100000287,0,100000287,2023,3. Q3,1. Western Cape,Generation Schools Blue Moon,1. Open,2. Independent,1. Ordinary School,3. Intermediate School,,,,1. Cape Education Department(CED),99,,99,,18.463,-34.049,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100073,99,,Metro South,6,Heathfield,Heathfield,City Of Cape Town,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,65,5
100000288,0,100000288,2023,3. Q3,1. Western Cape,Umyezo Wama Apile High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1008914,Umyezo Wama Apile High School,99,61076,18.991,-34.154,29. DC3,29. Overberg District Municipality,12. WC031,12. Theewaterskloof Local Municipality,10301008,99,,Overberg,2,Theewaterskloof Nu,Grabouw,Grabouw,2. No,6. ABDE,1. Poorest 20% (No fee paying),,,,1. Yes,2. Rural,1601,2. Western Cape,1. Not Moved,1955,51
100000305,0,100000305,2023,3. Q3,1. Western Cape,Meridian Pinehurst Private School,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),1002263,Meridian Pinehurst Private School,99,,18.695,-33.827,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100103,99,,Metro North,7,Langeberg Hoogte,Pinehurst,City Of Cape Town,1. Yes,,,,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,2051,85
100000306,0,100000306,2023,3. Q3,1. Western Cape,Imhoff Waldorf Primary School,1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,18.348,-34.141,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100061,99,,Metro South,5,Imhofs Gift,Kommetjie,City Of Cape Town,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,100,10
100000307,0,100000307,2023,3. Q3,1. Western Cape,Carnegie House Preparatory (Paarl),1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,18.964,-33.733,18. DC2,18. Cape Winelands District Municipality,8. WC023,8. Drakenstein Local Municipality,10203004,99,,Cape Winelands,8,Esterville,Paarl Central East,Paarl,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,62,4
100000311,0,100000311,2023,3. Q3,1. Western Cape,Curro Century City,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,18.52,-33.883,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100055,99,,Metro North,9,Century City,Century City,City Of Cape Town,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,944,64
100000312,0,100000312,2023,3. Q3,1. Western Cape,Pomario Private School,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),1005590,Pomario Private School,99,,19.012,-32.598,9. DC1,9. West Coast District Municipality,3. WC012,3. Cederberg Local Municipality,10102002,99,,West Coast,4,Citrusdal Sp,Citrusdal,Citrusdal,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,2. Rural,0,2. Western Cape,1. Not Moved,104,16
100000313,0,100000313,2023,3. Q3,1. Western Cape,Rundle College,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),100,Rundle College,99,,22.429,-33.965,40. DC4,40. Garden Route District Municipality,19. WC044,19. George Local Municipality,10404026,99,,Eden And Central Kar,8,Kingswood Golf Estate,Kingswood Golf Estate,George,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,2. Rural,0,2. Western Cape,1. Not Moved,113,22
100000318,0,100000318,2023,3. Q3,1. Western Cape,Jubilee Montessori Academy,1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,22.216,-33.587,40. DC4,40. Garden Route District Municipality,20. WC045,20. Oudtshoorn Local Municipality,10405007,99,,Eden And Central Kar,6,Oudtshoorn Sp,Oudtshoorn,Oudtshoorn,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,26,8
100000319,0,100000319,2023,3. Q3,1. Western Cape,Young Ambassadors Primary School,1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,22.458,-33.965,40. DC4,40. Garden Route District Municipality,19. WC044,19. George Local Municipality,10404019,99,,Eden And Central Kar,8,George Central,George Central,George,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,124,8
100000320,0,100000320,2023,3. Q3,1. Western Cape,Stonefountain College - Kenilworth,1. Open,2. Independent,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1001205,Stonefountain College - Kenilworth,99,,18.487,-33.986,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100058,99,,Metro Central,4,Claremont,Claremont,City Of Cape Town,1. Yes,,,,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,76,7
100000321,0,100000321,2023,3. Q3,1. Western Cape,Reddam House Durbanville,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,18.636,-33.818,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100112,99,,Metro North,7,D'Urbanvale,D`Urbanvale,City Of Cape Town,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,907,77
