Calendar Year;ACARA SML ID;Location AGE ID;School AGE ID;School Name;Suburb;State;Postcode;School Sector;School Type;Campus Type;Rolled Reporting Description;Two years before Year 1 Offered;Two years before Year 1 Enrolments;One year before Year 1 Offered;One year before Year 1 Enrolments;Year 1 Offered;Year 1 Enrolments;Year 2 Offered;Year 2 Enrolments;Year 3 Offered;Year 3 Enrolments;Year 4 Offered;Year 4 Enrolments;Year 5 Offered;Year 5 Enrolments;Year 6 Offered;Year 6 Enrolments;Year 7 Offered;Year 7 Enrolments;Year 8 Offered;Year 8 Enrolments;Year 9 Offered;Year 9 Enrolments;Year 10 Offered;Year 10 Enrolments;Year 11 Offered;Year 11 Enrolments;Year 12 Offered;Year 12 Enrolments;Primary Ungraded Offered;Primary Ungraded Enrolments;Secondary Ungraded Offered;Secondary Ungraded Enrolments;Total Enrolments
2025;45467;50887;10887;St Arnaud Secondary College;St Arnaud;VIC;3478;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;32;1;33;1;26;1;32;1;30;1;15;0;;0;;168
2025;45468;49268;9268;Oakwood School;Caulfield North;VIC;3161;Government;Secondary;School Head Campus;Rolled Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;3;1;48;1;114;1;162;1;171;1;124;0;;0;;622
2025;45469;47998;7998;Strathmore Secondary College;Strathmore;VIC;3041;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;340;1;317;1;306;1;331;1;352;1;312;0;;0;;1958
2025;45470;55054;15054;Sunbury College;Sunbury;VIC;3429;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;163;1;152;1;166;1;191;1;155;1;153;0;;0;;980
2025;45471;46268;6268;Sydney Road Community School;Brunswick;VIC;3056;Government;Secondary;School Head Campus;Rolled Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;13;1;16;1;19;1;18;1;24;1;17;0;;0;;107
2025;45472;51650;11650;Tallangatta Secondary College;Tallangatta;VIC;3700;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;64;1;65;1;58;1;43;1;44;1;34;0;;0;;308
2025;45473;46280;6280;Thomastown Secondary College;Thomastown;VIC;3074;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;85;1;65;1;75;1;85;1;92;1;59;0;;0;;461
2025;45474;51896;11896;Trafalgar High School;Trafalgar;VIC;3824;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;120;1;115;1;119;1;132;1;100;1;96;0;;0;;682
2025;45475;48032;8032;University High School;Parkville;VIC;3052;Government;Secondary;School Head Campus;Rolled Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;340;1;298;1;297;1;333;1;367;1;348;0;;0;;1983
2025;45476;57510;17510;Roxburgh College;Roxburgh Park;VIC;3064;Government;Secondary;School Head Campus;Rolled Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;166;1;148;1;167;1;193;1;174;1;159;0;;1;34;1041
2025;45477;46331;6331;Upper Yarra Secondary College;Yarra Junction;VIC;3797;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;141;1;136;1;138;1;133;1;105;1;83;0;;0;;736
2025;45478;49045;9045;Upwey High School;Upwey;VIC;3158;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;139;1;120;1;128;1;143;1;111;1;103;0;;0;;744
2025;45479;48406;8406;Vermont Secondary College;Vermont;VIC;3133;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;311;1;285;1;289;1;258;1;266;1;241;0;;0;;1650
2025;45480;57171;17171;Kambrya College;Berwick;VIC;3806;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;449;1;488;1;446;1;394;1;330;1;262;0;;0;;2369
2025;45482;57818;17818;Carrum Downs Secondary College;Carrum Downs;VIC;3201;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;165;1;145;1;170;1;161;1;142;1;145;0;;0;;928
2025;45483;51573;11573;Wangaratta High School;Wangaratta;VIC;3676;Government;Secondary;School Head Campus;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;112;1;129;1;114;1;101;1;78;1;61;0;;0;;595
2025;45484;48980;8980;Wantirna College;Wantirna;VIC;3152;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;233;1;246;1;259;1;277;1;245;1;198;0;;0;;1458
2025;45485;50642;10642;Warracknabeal Secondary College;Warracknabeal;VIC;3393;Government;Secondary;School Head Campus;Rolled Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;15;1;42;1;25;1;37;1;31;1;25;0;;0;;175
2025;45486;48263;8263;Warrandyte High School;Warrandyte;VIC;3113;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;43;1;43;1;46;1;52;1;64;1;30;0;;0;;278
2025;45487;54992;14992;Wellington Secondary College;Mulgrave;VIC;3170;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;256;1;249;1;238;1;284;1;338;1;278;0;;0;;1643
2025;45488;46250;6250;Werribee Secondary College;Werribee;VIC;3030;Government;Secondary;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;254;1;253;1;321;1;277;1;281;1;251;0;;0;;1637
2025;45489;52086;12086;Bairnsdale Secondary College;Bairnsdale;VIC;3875;Government;Secondary;School Head Campus;Rolled Reporting;0;;0;;0;;0;;0;;0;;0;;0;;1;256;1;224;1;195;1;220;1;194;1;124;0;;0;;1213
