nom,nature,section,type_ecole,niveau,type_eleves,curriculum,langue,nationalite,municipalite,zone,quartier,frais,nb_eleves,latitude,longitude
مدرسة الاشبال الدولية – عين خالد,privée,Les écoles britanniques,مدرسة خاصة,ابتدائي,,المنهج البريطاني,,,بلدية الريان,56,ام السنيم,,,25.21578317,51.48525095
مدرسة الإنجليزية الحديثة الخاصة - المسيلة,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الدوحه,36,المسيلة,,,25.30483971,51.47427089
مدرسة الأطياف العالمية,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,31,ام لخبا,,,25.34664367,51.47510719
مدرسة الجيل القادم - الوكرة 2,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي + اعدادي,,المنهج البريطاني,,,بلدية الوكرة,90,الوكرة,,,25.14207124,51.59238596
مدرسة الجيل القادم - فرع الوكير,privée,Les écoles britanniques,مدرسة خاصة,ابتدائي,,المنهج البريطاني,,,بلدية الوكرة,91,الوكير,,,25.16988727,51.55593594
مدرسة الجيل القادم الابتدائية الخاصة – عين خالد,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الريان,56,ام السنيم,,,25.20895066,51.47048391
مدرسة الجيل القادم الخاصة,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,44,نعيجة 44,,,25.23913418,51.53783081
مدرسة الجيل القادم الخاصة – روضة الحمامة,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الظعاين,70,روضة الحمامة,,,25.43479718,51.47274416
مدرسة الخليج الإنجليزية – فريج بن عمران,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,37,مدينة حمد الطبية,,,25.29676243,51.50151699
مدرسة الخليج الإنجليزية الخاصة,privée,Les écoles britanniques,مدرسة خاصة,ابتدائي + اعدادي + ثانوي,,"منهج IB, المنهج البريطاني",,,بلدية الريان,51,الغرافة,,,25.33936044,51.44894556
مدرسة الخليج الإنجليزية الخاصة – الغرافة,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الريان,51,الغرافة,,,25.33877786,51.4510539
مدرسة الخور الدولية الخاصة - المنهج البريطاني,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الخور و الذخيرة,74,ام اعنيق,,,25.71441844,51.53224635
مدرسة الدوحة البريطانية - روضة الحمامة,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الظعاين,70,روضة الحمامة,,,25.43282608,51.46626907
مدرسة الدوحة البريطانية - فرع الوكرة,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الوكرة,90,الوكرة,,,25.18005893,51.59880414
مدرسة الدوحة البريطانية الخاصة,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي + اعدادي,,المنهج البريطاني,,,بلدية الدوحه,35,فريج كليب,,,25.31495175,51.49048102
مدرسة الرويال كراون,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,41,نعيجة 41,,,25.26059459,51.53314203
مدرسة السلم الأولى,privée,Les écoles britanniques,مدرسة خاصة,ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,17,الرفاع,,,25.28445001,51.54182562
مدرسة السلم الثالثة,privée,Les écoles britanniques,مدرسة خاصة,ابتدائي + اعدادي + ثانوي,,المنهج البريطاني,,,بلدية الريان,53,الريان الجديد,,,25.29616692,51.40770574
مدرسة الشويفات الدولية الخاصة,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج بريطاني + أمريكي SABIS,,,بلدية الدوحه,66,لقطيفية,,,25.3534663,51.51307632
مدرسة الفرسان الخاصة,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الظعاين,70,روضة الحمامة,,,25.43041735,51.46851958
مدرسة القادة العالمية الخاصة,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي + اعدادي,,المنهج البريطاني,,,بلدية الريان,56,عين خالد,,,25.23173765,51.45558203
مدرسة المتحدة الدولية,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الدوحه,66,اللؤلؤة,,,25.37404828,51.55602719
مدرسة المنتزه الانجليزية الخاصة,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الريان,56,بو هامور,,,25.22994298,51.50116089
مدرسة ألفا كمبردج,privée,Les écoles britanniques,مدرسة خاصة,ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,68,جليعة,,,25.35135156,51.49659314
مدرسة أوفاز العالمية فرع الغرافة,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الريان,51,ازغوى 51,,,25.35627192,51.42776635
مدرسة باك شمعة الخاصة,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,"المنهج البريطاني, المنهج الباكستاني",,,بلدية الريان,56,مسيمير,,,25.21079088,51.52187384
مدرسة باك شمعة الخاصة - المشاف,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الريان,51,الغرافة,,,25.33142202,51.45625141
مدرسة دخان الإنجليزية الخاصة,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الشيحانية,86,دخان,,,25.41915126,50.7858057
مدرسة درم الدوحة للبنات,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية ام صلال,71,ام صلال محمد,,,25.42087316,51.41645105
مدرسة ريتشموند الدولية,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الظعاين,70,العب,,,25.39377117,51.45562395
مدرسة غراس الدولية,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,66,لقطيفية,,,25.37111285,51.49838369
مدرسة فينكس الخاصة,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي + اعدادي,,المنهج البريطاني,,,بلدية الدوحه,43,المعمورة 43,,,25.25812286,51.49006948
مدرسة قطر العالمية الخاصة,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الدوحه,63,عنيزة 63,,,25.32896236,51.52144496
مدرسة كمبردج الخاصة,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الريان,56,المعمورة 56,,,25.2453307,51.50460805
مدرسة كمبردج العالمية,privée,Les écoles britanniques,مدرسة خاصة,جميع المراحل,,المنهج البريطاني,,,بلدية الدوحه,44,نعيجة 44,,,25.24428853,51.53753039
مدرسة كنجز كوليج الدوحة,privée,Les écoles britanniques,مدرسة خاصة,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,25,المنصورة,,,25.26621641,51.53566666
مدرسة نور الخليج العالمية الخاصة,privée,Les écoles britanniques,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج الأمريكي,,,بلدية الدوحه,3,مشيرب 3,,,25.28591599,51.52689778
مدرسة السلم الأولى,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,25,المنصورة,,,25.26621641,51.53566666
روضة اوفاز العالمية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,31,ام لخبا,,,25.34632729,51.46621011
روضة برايت هورايزون الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,32,دحل الحمام,,,25.3330155,51.47545248
روضة قرطبة الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي + اعدادي + ثانوي,,"منهج IB, المنهج البريطاني",,,بلدية الدوحه,32,دحل الحمام,,,25.32920315,51.47807016
أكاديمية أديسون انترناشيونال,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي + اعدادي,,المنهج البريطاني,,,بلدية الدوحه,35,فريج كليب,,,25.31495175,51.49048102
المدرسة الإنجليزية الحديثة - فرع الدوحة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الدوحه,36,المسيلة,,,25.304283780608767,51.474138719403925
مدرسة الإنجليزية الحديثة الخاصة-فرع المسيلة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الدوحه,36,المسيلة,,,25.30483971,51.47427089
مدرسة درم الدوحة للبنات,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الدوحه,36,المسيلة,,,25.30188775,51.47835408
روضة عيالنا الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,37,الهتمي الجديد,,,25.29894706,51.49025095
مدرسة الخليج الإنجليزية – فريج بن عمران,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,منهج IB,,,بلدية الدوحه,38,السد 38,,,25.287874,51.49084094
مدرسة طارق بن زياد,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج الألماني,,,بلدية الدوحه,41,نعيجة 41,,,25.26196583,51.528593
روضة الثريا الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,42,الهلال,,,25.25936063,51.54280203
روضة نور الخليج العالمية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج الكندي,,,بلدية الدوحه,43,المعمورة 43,,,25.24656419,51.50704465
المدرسة الألمانية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,"منهج IB, المنهج الألماني",,,بلدية الدوحه,43,المعمورة 43,,,25.25573314,51.50205904
روضة الأشبال الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,43,نعيجة 43,,,25.24646242,51.52114377
مدرسة الشرق الأوسط الدولية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,43,نعيجة 43,,,25.25188175,51.51985422
مدرسة نور الخليج العالمية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الدوحه,43,نعيجة 43,,,25.25352286,51.51678909
مدرسة نيوتن العالمية الخاصة - الهلال,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,44,نعيجة 44,,,25.25180897,51.52656343
روضة اقرأ الإنجليزية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,44,نعيجة 44,,,25.24001988,51.53171771
روضة الجود الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,44,نعيجة 44,,,25.24762586,51.53653536
مدرسة كمبردج العالمية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,45,المطار العتيق,,,25.24859806,51.56080112
روضة الخلود العالمية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,45,المطار العتيق,,,25.24358216,51.55694225
مدرسة الأشبال الدولية الخاصة - المطار العتيق,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الدوحه,45,المطار العتيق,,,25.2410121,51.55385371
مدرسة كنجز كوليج الدوحة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,47,الثمامة 47,,,25.23756013,51.55346593
اكسفورد الانجليزية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الريان,51,الغرافة,,,25.34209352,51.44374065
المدرسة اليابانية بالدوحة الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي + اعدادي,,المنهج الياباني,,,بلدية الريان,51,روضة اقديم,,,25.32661585,51.38628759
مدرسة الحياة العالمية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج الكندي,,,بلدية الريان,51,الثميد,,,25.35013711,51.39408644
مدرسة المنار الدولية - الثميد,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الريان,51,الغرافة,,,25.3252784,51.45069154
أكاديمية قطر السدرة - الابتدائية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,منهج IB,,,بلدية الريان,52,الشقب,,,25.31051257,51.43328539
المدرسة السويسرية الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,منهج IB,,,بلدية الريان,52,اللقطة,,,25.30979577,51.46358041
أكاديمية الكون العالمية - الريان الجديد,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,53,معيذر 53,,,25.27678819,51.42272828
روضة فكتوري الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,53,معيذر 53,,,25.26956635,51.41982002
مدرسة رويال الدولية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الريان,53,الريان الجديد,,,25.29627004,51.41698411
أكاديمية اديسون العالمية – فرع مريخ,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج الأمريكي,,,بلدية الريان,54,محيرجة,,,25.2742722,51.46390952
المدرسة القطرية الفرنسية (فولتير) الخاصة - فرع الوعب,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج الفرنسي,,,بلدية الريان,54,محيرجة,,,25.27138472,51.47105553
روضة المعرفة الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,54,محيرجة,,,25.26674281,51.45906356
مدرسة نيوتن البريطانية – مريخ,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الريان,54,مريخ,,,25.28295359,51.44495567
أكاديمية القمة الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الريان,55,العزيزية,,,25.25045101,51.45067146
أكاديمية نون الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج الكندي,,,بلدية الريان,55,العزيزية,,,25.25714994,51.44630994
المدرسة الأمريكية بالدوحة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,"المنهج الأمريكي , منهج IB",,,بلدية الريان,55,فريج السودان 55,,,25.26418226,51.48007631
المدرسة القطرية الفرنسية (فولتير) فرع سلوى,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي + اعدادي + ثانوي,,المنهج الفرنسي,,,بلدية الريان,55,الوعب,,,25.24823334,51.46561969
روضة الطلائع,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,55,العزيزية,,,25.25174629,51.457939
روضة برمنجهام الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,55,فريج السودان 55,,,25.26663251,51.49249158
روضة سمارت كيدز,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,55,الوعب,,,25.26368659,51.47411447
روضة كوفنتري,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,55,فريج السودان 55,,,25.26803379,51.47988317
مدرسة اقرأ الإنجليزية للبنين,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الريان,55,فريج السودان 55,,,25.26357176,51.49418293
مدرسة نيوتن البريطانية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الريان,55,الوعب,,,25.25804156,51.45646176
أكاديمية المها الخاصة للبنات,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الريان,56,عين خالد,,,25.21921692,51.44375871
أكاديمية المها الخاصة للبنين,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الريان,56,عين خالد,,,25.21853909,51.44256535
أكاديمية برايتون الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الريان,56,المعمورة 56,,,25.24917601,51.49844862
اكاديمية اعداد الدولية - عين خالد,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الريان,56,ام السنيم,,,25.21124366,51.44660644
اكاديمية اوسكار الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي,,المنهج البريطاني,,,بلدية الريان,56,ام السنيم,,,25.21724488,51.45737738
اكاديمية نيوتن العالمية - فرع المشاف,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي + اعدادي + ثانوي,,المنهج البريطاني,,,بلدية الريان,56,مسيمير,,,25.1936475,51.50139568
الروضة الانجليزية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,56,المعمورة 56,,,25.24534411,51.49897961
روضة أجيال,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,56,ام السنيم,,,25.19968731,51.46000114
روضة أوسكار الخاصة - أبو هامور,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج الأمريكي,,,بلدية الريان,56,بو هامور,,,25.25203397,51.48318356
روضة الدوحة العالمية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,56,بو هامور,,,25.23298652,51.49304285
روضة العبقري الصغير الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج الفرنسي,,,بلدية الريان,56,ام السنيم,,,25.19854125,51.46214346
روضة النيل الأزرق,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,56,عين خالد,,,25.23183599,51.46841804
روضة نيوتن البريطانية الأولى - المشاف,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,56,مسيمير,,,25.19506082,51.49722491
روضة نيوتن البريطانية الثانية - المشاف,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,56,مسيمير,,,25.19506082,51.49722491
روضة نيوتن العالمية الأولى,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,56,مسيمير,,,25.19155033,51.49904917
روضة نيوتن العالمية الثانية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الريان,56,مسيمير,,,25.18958429,51.50385454
مدرسة الأشبال الابتدائية الدولية – عين خالد,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي,,المنهج البريطاني,,,بلدية الريان,56,ام السنيم,,,25.21578317,51.48525095
مدرسة الدوحة البريطانية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الريان,56,عين خالد,,,25.24177166,51.46655015
مدرسة هاملتون الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,63,عنيزة 63,,,25.3187789,51.51717356
المدرسة الفرنسية - بونابرت,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,63,عنيزة 63,,,25.33087966,51.51943332
الروضة المغاربية الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج الأمريكي,,,بلدية الدوحه,65,عنيزة 65,,,25.3293151,51.50809635
أكاديمية شكسبير الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي + اعدادي,,المنهج البريطاني,,,بلدية الدوحه,66,لقطيفية,,,25.37109951,51.49767346
المدرسة القطرية الفرنسية فولتير الخاصة - الدفنة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي + اعدادي + ثانوي,,المنهج الفرنسي,,,بلدية الدوحه,66,لقطيفية,,,25.3719812,51.50163727
روضة الدفنة العالمية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,66,لقطيفية,,,25.35270351,51.51904059
روضة نيوتن العالمية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,66,لقطيفية,,,25.35718996,51.51905175
مدرسة غراس الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الدوحه,66,لقطيفية,,,25.35793611,51.51639972
مدرسة نيوتن العالمية الخاصة - الخليج الغربي,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,66,لقطيفية,,,25.35387689,51.51149423
أكاديمية أديسون الدولية - دحل الحمام,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,67,حزم المرخية,,,25.34133667,51.48566784
روضة فيرساي الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج الأمريكي,,,بلدية الدوحه,67,حزم المرخية,,,25.34159547,51.48157417
مدرسة ريتشموند الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,67,حزم المرخية,,,25.33575011,51.48514146
روضة التميز,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الدوحه,68,جليعة,,,25.34984896,51.49847396
روضة نولج بريدج انترناشيونال,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي,,المنهج البريطاني,,,بلدية الدوحه,68,جليعة,,,25.35135156,51.49659314
أكاديمية أديسون جلوبال,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج الأمريكي,,,بلدية الظعاين,69,لوسيل 69,,,25.408186427981697,51.50756058849315
أكاديمية اتقان الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي + اعدادي,,منهج IB,,,بلدية الظعاين,70,جريان جنيحات,,,25.41805602,51.43471392
أكاديمية نيوتن العالمية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الظعاين,70,وادي البنات,,,25.39057671,51.48807629
المدرسة الفنلندية القطرية الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج الفنلندي,,,بلدية الظعاين,70,وادي البنات,,,25.40514336,51.45864927
روضة الضياء الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الظعاين,70,العب,,,25.38982794,51.45310798
روضة الغد المشرق,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الظعاين,70,روضة الحمامة,,,25.42611161,51.45761923
روضة رواد المستقبل الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الظعاين,70,روضة الحمامة,,,25.43029256,51.44382486
مدرسة الفرسان الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الظعاين,70,العب,,,25.39377117,51.45562395
مدرسة لندن الدولية قطر الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,منهج IB,,,بلدية الظعاين,70,العب,,,25.39840953,51.45039169
المدرسة الثانوية العسكرية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ثانوي,,المنهج البريطاني,,,بلدية ام صلال,71,بو حصيه,,,25.46415549,51.36187754
روضة روبين,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية ام صلال,71,ام العمد,,,25.48985517,51.40053684
روضة منارة الدوحة الإنجليزية الخاصة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية ام صلال,71,ام صلال محمد,,,25.42087316,51.41645105
المدرسة الإنجليزية الحديثة - فرع الخور,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الخور و الذخيرة,74,الخور,,,25.713548880852116,51.516475783679226
المدرسة الانجليزية الحديثة الخاصة - فرع الخور,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الخور و الذخيرة,74,ام اعنيق,,,25.71345849,51.51816473
مدرسة الخور الدولية الخاصة - المنهج البريطاني,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الخور و الذخيرة,74,الخور,,,25.67925087,51.5132488
روضة القادة العالمية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الريان,81,مبيريك,,,25.18852031,51.38310864
الروضة الإنجليزية الحديثة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الوكرة,90,الوكرة,,,25.19081654,51.6099157
المدرسة الإنجليزية الحديثة- فرع الوكرة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة + ابتدائي,,المنهج البريطاني,,,بلدية الوكرة,90,الوكرة,,,25.18013841,51.60672619
المدرسة الإنجليزية الحديثة - الوكرة كي جي,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الوكرة,90,الوكرة,,,25.1573824,51.5870991
روضة الشموخ للامتياز الدولية - الوكرة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الوكرة,90,الوكرة,,,25.14598066,51.58905177
روضة المدينة الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الوكرة,90,الوكرة,,,25.14891557,51.60339247
